0.03333,MOT_mc_light_center_00,off,,
0.03333,MOT_control_all,aruka_01,,
0.03333,MOT_all,aruka_cut1,,
0.03333,MOT_mc_light_up_00,l1,,
0.03333,MOT_mc_bg_black_00,stay,,
0.03333,1,1-2,,,D40
0.03333,3,1-2,,,D60
0.03333,2,1-2,,,D60
0.03333,4,1-2,,,D60
0.03333,5,1-2,,,D60
0.9665699999999999,5,w2,,,
0.9665699999999999,4,w2,,,
0.9665699999999999,3,w2,,,
0.9665699999999999,2,w2,,,
0.9665699999999999,1,w2,,,
3.3329999999999997,MOT_mc_light_center_00,off,,
3.3329999999999997,MOT_control_all,aruka_02,,
3.36633,1,2-3,,,
3.4663199999999996,2,2-3,,,
3.4663199999999996,3,2-3,,,
3.59964,4,2-3,,,
3.59964,5,2-3,,,
3.9996,1,lp3,,,
3.9996,2,lp3,,,
3.9996,3,lp3,,,
3.9996,4,lp3,,,
3.9996,5,lp3,,,
5.2994699999999995,1,3-4,,,
5.3994599999999995,2,3-4,l1,,
5.3994599999999995,3,3-4,r1,,
5.4994499999999995,4,3-4,l1,,
5.4994499999999995,5,3-4,r1,,
5.86608,1,lp4,,,
5.86608,2,lp4,,,
5.86608,3,lp4,,,
5.86608,4,lp4,,,
5.86608,5,lp4,,,
8.565809999999999,1,j4-1,,,
8.565809999999999,2,j4-1,,,
8.565809999999999,3,j4-1,,,
8.565809999999999,4,j4-1,,,
8.565809999999999,5,j4-1,,,
8.93244,1,lp1,,,
8.93244,2,lp1,,,
8.93244,3,lp1,,,
8.93244,4,lp1,,,
8.93244,5,lp1,,,
9.899009999999999,1,j1-2,,,
10.698929999999999,2,j1-2,,,
10.698929999999999,3,j1-2,,,
10.96557,1,w2,,,
11.69883,4,j1-2,,,
11.69883,5,j1-2,,,
11.76549,3,w2,,,
11.76549,2,w2,,,
12.332099999999999,1,2-3,,,
12.532079999999999,2,2-3,l2,,
12.532079999999999,3,2-3,r2,,
12.732059999999999,4,2-3,l2,,
12.732059999999999,5,2-3,r2,,
13.26534,1,w3,,,
13.46532,3,w3,,,
13.46532,2,w3,,,
13.6653,5,w3,,,
13.6653,4,w3,,,
14.3319,1,3-4,,,
14.53188,2,3-4,lb1,,
14.53188,3,3-4,rb1,,
14.73186,4,3-4,lb1,,
14.73186,5,3-4,rb1,,
15.265139999999999,1,w4,,,
15.465119999999999,3,w4,,,
15.465119999999999,2,w4,,,
15.665099999999999,5,w4,,,
15.665099999999999,4,w4,,,
15.89841,1,j4-1,,,
16.03173,2,j4-1,,,
16.03173,3,j4-1,,,
16.16505,4,j4-1,,,
16.16505,5,j4-1,,,
16.96497,1,w1,,,
17.09829,3,w1,,,
17.09829,2,w1,,,
17.23161,5,w1,,,
17.23161,4,w1,,,
17.564909999999998,1,1-2,,,
17.564909999999998,4,1-2,,,
17.564909999999998,5,1-2,,,
17.93154,2,1-2,,,
17.93154,3,1-2,,,
18.29817,1,2-3,,,
18.29817,4,2-3,,,
18.29817,5,2-3,,,
18.63147,2,2-3,,,
18.63147,3,2-3,,,
18.9981,1,3-4,,,
18.9981,4,3-4,,,
18.9981,5,3-4,,,
19.364729999999998,2,sp3-4,,,
19.364729999999998,3,sp3-4,,,
19.69803,1,sp4-1,,,
19.69803,4,sp4-1,,,
19.69803,5,sp4-1,,,
20.597939999999998,MOT_mc_light_center_00,off,,
20.76459,1,sj1,,,
20.83125,2,sj4,,,
20.83125,3,sj4,,,
20.86458,MOT_mc_light_center_00,on2,,
20.86458,MOT_mc_stage_color_00,b-flash,,
20.89791,4,sj1,,,
20.89791,5,sj1,,,
21.16455,1,j1-2,,,
21.16455,2,j4-1,,,
21.16455,3,j4-1,,,
21.16455,4,j1-2,,,
21.16455,5,j1-2,,,
21.56451,1,lp2,,,
21.56451,2,lp1,,,
21.56451,3,lp1,,,
21.56451,4,lp2,,,
21.56451,5,lp2,,,
22.53108,1,2-3,l1,,
22.53108,2,1-2,l2,,
22.53108,3,1-2,rb0,,
22.53108,4,2-3,l2,,
