0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,MOT_control_all,tokiwo_zoom1,,
0.03333,MOT_all,tokiwo_cut1,,
0.06666,1,,,,D100
0.06666,2,,,,D100
0.06666,3,,,,D100
0.06666,4,,,,D100
0.06666,5,,,,D100
2.9997,1,j1-2,,,
2.9997,2,j1-2,,,
2.9997,3,j1-2,,,
2.9997,4,j1-2,,,
2.9997,5,j1-2,,,
3.26634,1,,,,L80
3.26634,2,,,,L80
3.26634,3,,,,L80
3.26634,4,,,,L80
3.26634,5,,,,L80
3.29967,MOT_mc_stage_color_00,y-flash,,
3.39966,1,lp2,,,
3.39966,2,lp2,,,
3.39966,3,lp2,,,
3.39966,4,lp2,,,
3.39966,5,lp2,,,
5.03283,4,j2-3,,,
5.03283,5,j2-3,,,
5.4994499999999995,3,j2-3,,,
5.4994499999999995,4,lp3,,,
5.4994499999999995,5,lp3,,,
5.966069999999999,1,j2-3,,,
5.966069999999999,2,j2-3,,,
5.966069999999999,3,lp3,,,
6.366029999999999,1,3-4,,,
6.366029999999999,2,3-4,,,
6.366029999999999,3,3-4,,,
6.366029999999999,4,3-4,,,
6.366029999999999,5,3-4,,,
6.73266,1,lp4,,,
6.73266,2,lp4,,,
6.73266,3,lp4,,,
6.73266,4,lp4,,,
6.73266,5,lp4,,,
8.9991,1,4-1,,,
8.9991,2,4-1,,,
8.9991,3,4-1,,,
8.9991,4,4-1,,,
8.9991,5,4-1,,,
9.39906,1,1-2,,,
9.39906,2,1-2,,,
9.39906,3,1-2,,,
9.39906,4,1-2,,,
9.39906,5,1-2,,,
9.83235,1,2-3,l1,,
9.83235,2,2-3,l1,,
9.83235,3,2-3,l1,,
9.83235,4,2-3,l1,,
9.83235,5,2-3,l1,,
10.23231,1,lp3,,,
10.23231,2,lp3,,,
10.23231,3,lp3,,,
10.23231,4,lp3,,,
10.23231,5,lp3,,,
11.06556,1,3-4,lb0,,
11.06556,2,3-4,lb0,,
11.06556,3,3-4,lb0,,
11.06556,4,3-4,lb0,,
11.06556,5,3-4,lb0,,
11.46552,1,lp4,,,
11.46552,2,lp4,,,
11.46552,3,lp4,,,
11.46552,4,lp4,,,
11.46552,5,lp4,,,
12.39876,1,4-1,r1,,
12.39876,2,4-1,r1,,
12.39876,3,4-1,r1,,
12.39876,4,4-1,r1,,
12.39876,5,4-1,r1,,
12.79872,1,lp1,,,
12.79872,2,lp1,,,
