0.03333,MOT_mc_bg_black_00,stay,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,MOT_all,aruka_cut1,,
0.03333,1,,,,D20
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,4,,,,D60
0.03333,5,,,,D60
2.9997,MOT_mc_stage_color_00,b-flash,,
2.9997,MOT_mc_bg_black_00,b80-65,,
2.9997,MOT_mc_light_up_00,l1,,
2.9997,1,j1-2,,,
3.59964,2,j1-2,,,
3.59964,3,j1-2,,,
4.06626,1,w2,,,
4.39956,4,j1-2,,,
4.39956,5,j1-2,,,
4.6662,3,w2,,,
4.6662,2,w2,,,
5.46612,5,w2,,,
5.46612,4,w2,,,
6.29937,1,2-3,,,
6.53268,1,3-4,,,
7.032629999999999,2,2-3,l1,,
7.032629999999999,3,2-3,r1,,
7.46592,1,w4,,,
7.79922,4,2-3,l1,,
7.79922,5,2-3,r1,,
7.96587,3,w3,,,
7.96587,2,w3,,,
8.73246,5,w3,,,
8.73246,4,w3,,,
9.63237,1,4-1,,,
9.63237,4,3-4,,,
9.63237,5,3-4,,,
10.23231,2,3-4,,,
10.23231,3,3-4,,,
10.56561,5,w4,,,
10.56561,4,w4,,,
10.56561,1,w1,,,
10.798919999999999,1,1-2,,,
10.798919999999999,4,4-1,,,
10.798919999999999,5,4-1,,,
11.06556,2,4-1,,,
11.06556,3,4-1,,,
11.298869999999999,1,j2-3,,,
11.73216,5,w1,,,
11.73216,4,w1,,,
11.9988,3,w1,,,
11.9988,2,w1,,,
12.36543,1,w3,,,
12.89871,4,1-2,,,
12.89871,5,1-2,,,
12.9987,2,1-2,,,
12.9987,3,1-2,,,
13.09869,1,3-4,,,
13.831949999999999,5,w2,,,
13.831949999999999,4,w2,,,
13.931939999999999,3,w2,,,
13.931939999999999,2,w2,,,
14.03193,1,w4,,,
14.13192,4,2-3,,,
14.13192,5,2-3,,,
14.13192,1,4-1,,,
14.43189,2,2-3,,,
14.43189,3,2-3,,,
14.665199999999999,MOT_mc_stage_color_00,b-flash,,
14.665199999999999,MOT_mc_bg_black_00,b65-45,,
14.83185,2,sj3,,,
14.83185,3,sj3,,,
15.065159999999999,5,w3,,,
15.065159999999999,4,w3,,,
15.065159999999999,1,w1,,,
15.065159999999999,MOT_mc_stage_color_00,b-flash,,
15.19848,1,sj1,,,
15.19848,4,sj3,,,
15.19848,5,sj3,,,
15.3318,3,w3,,,
15.3318,2,w3,,,
15.53178,MOT_mc_stage_color_00,b-flash,,
15.63177,2,sj3,,,
15.63177,3,sj3,,,
15.69843,5,w3,,,
15.69843,4,w3,,,
15.69843,1,w1,,,
15.89841,MOT_mc_stage_color_00,b-flash,,
15.9984,MOT_control_all,beats_01,,
15.9984,1,1-2,,,
15.9984,2,3-4,,,
15.9984,3,3-4,,,
15.9984,4,3-4,,,
15.9984,5,3-4,,,
16.43169,MOT_mc_stage_color_00,y-flash,,
16.531679999999998,1,2-3,,f1,
16.89831,1,lp3,,,
16.931639999999998,5,w4,,,
16.931639999999998,4,w4,,,
16.931639999999998,3,w4,,,
16.931639999999998,2,w4,,,
17.331599999999998,1,3-4,,,
17.69823,1,,r1,,
18.03153,1,lp4,,,
18.69813,1,,r2,,
19.564709999999998,1,4-1,rb1,,
19.83135,1,lp1,,,
20.83125,1,1-2,,,
21.06456,1,lp2,,,
22.197779999999998,1,2-3,,,
22.29777,2,4-1,,,
22.29777,3,4-1,,,
22.36443,4,4-1,,,
22.36443,5,4-1,,,
22.431089999999998,1,3-4,,,
22.49775,2,1-2,,,
22.49775,3,1-2,,,
22.56441,4,1-2,,,
22.56441,5,1-2,,,
22.797719999999998,MOT_mc_stage_color_00,b-flash,,
22.86438,1,4-1,rb0,,
23.16435,1,lp1,,,
23.430989999999998,3,w2,,,
23.430989999999998,2,w2,,,
23.49765,5,w2,,,
23.49765,4,w2,,,
23.93094,1,,l1,,
24.79752,2,2-3,l2,,
24.79752,3,2-3,r2,,
24.79752,4,2-3,l2,,
24.79752,5,2-3,r2,,
24.79752,1,1-2,,,
25.13082,1,lp2,,,
25.73076,5,w3,,,
25.73076,4,w3,,,
25.73076,3,w3,,,
25.73076,2,w3,,,
25.9974,1,2-3,,,
26.36403,1,3-4,,,
26.73066,1,j4-1,,,
27.063959999999998,1,lp1,,,
27.19728,1,sp1-2,,,
27.9972,2,3-4,lb1,,
27.9972,3,3-4,rb1,,
27.9972,4,3-4,lb1,,
27.9972,5,3-4,rb1,,
27.9972,1,sj2,,,
28.26384,1,lp2,,,
28.930439999999997,5,w4,,,
28.930439999999997,4,w4,,,
28.930439999999997,3,w4,,,
28.930439999999997,2,w4,,,
29.097089999999998,MOT_mc_stage_color_00,b-flash,,
29.19708,1,2-3,,,
29.63037,1,j3-4,,,
29.963669999999997,1,lp4,,,
30.363629999999997,1,4-1,lb0,,
30.69693,1,lp1,,,
31.363529999999997,2,4-1,lb0,,
31.363529999999997,3,4-1,rb0,,
31.363529999999997,4,4-1,lb0,,
31.363529999999997,5,4-1,rb0,,
31.363529999999997,1,1-2,r1,,
31.6635,1,lp2,,,
32.296769999999995,5,w1,,,
32.296769999999995,4,w1,,,
32.296769999999995,3,w1,,,
32.296769999999995,2,w1,,,
32.53008,1,2-3,,,
32.76339,1,lp3,,,
33.79662,1,3-4,rb0,,
33.92994,MOT_control_all,beats_02,,
34.06326,1,lp4,,,
34.729859999999995,1,4-1,,,
34.82985,2,1-2,l1,,
34.82985,3,1-2,r1,,
34.82985,4,1-2,l1,,
34.82985,5,1-2,r1,,
34.9965,1,lp1,,,
35.76309,5,w2,,,
35.76309,4,w2,,,
35.76309,3,w2,,,
35.76309,2,w2,,,
35.79642,MOT_control_all,beats_03,,
35.929739999999995,MOT_mc_stage_color_00,y-flash,,
35.929739999999995,MOT_mc_bg_black_00,head,,
35.929739999999995,MOT_mc_light_up_00,l4,,
35.929739999999995,MOT_mc_light_center_00,on3,,
36.12972,1,,,,Lyw
36.12972,2,,,,L20
36.12972,3,,,,L20
36.12972,4,,,,L20
36.12972,5,,,,L20
36.22971,1,1-2,,,
36.329699999999995,2,2-3,,,
36.329699999999995,3,2-3,,,
36.42969,4,2-3,,,
36.42969,5,2-3,,,
36.92964,1,2-3,r1,,
36.92964,2,3-4,lb0,,
36.92964,3,3-4,r2,,
36.92964,4,3-4,lb0,,
36.92964,5,3-4,r2,,
37.29627,1,lp3,,,
37.29627,2,lp4,,,
37.29627,3,lp4,,,
37.29627,4,lp4,,,
37.29627,5,lp4,,,
37.69623,1,3-4,,,
37.69623,2,4-1,,,
37.69623,3,4-1,,,
37.69623,4,4-1,,,
37.69623,5,4-1,,,
37.82955,1,j4-1,,,
37.896209999999996,2,j1-2,,,
37.896209999999996,3,j1-2,,,
37.962869999999995,4,j1-2,,,
37.962869999999995,5,j1-2,,,
38.46282,1,1-2,rb0,,
38.46282,2,2-3,l1,,
38.46282,3,2-3,rb1,,
38.46282,4,2-3,l1,,
38.46282,5,2-3,rb1,,
38.82945,1,lp2,,,
38.82945,2,lp3,,,
38.82945,3,lp3,,,
38.82945,4,lp3,,,
38.82945,5,lp3,,,
39.529379999999996,4,3-4,l2,,
39.596039999999995,2,3-4,l2,,
39.6627,1,2-3,l1,,
39.72936,3,3-4,rb0,,
39.79602,5,3-4,rb0,,
40.09599,1,lp3,,,
40.09599,2,lp4,,,
40.09599,3,lp4,,,
40.09599,4,lp4,,,
40.09599,5,lp4,,,
40.89591,1,3-4,,,
40.89591,2,4-1,l3,,
40.89591,4,4-1,lb1,,
40.89591,3,4-1,r1,,
40.89591,5,4-1,l1,,
41.195879999999995,1,lp4,,,
41.195879999999995,2,lp1,,,
41.195879999999995,3,lp1,,,
41.195879999999995,4,lp1,,,
41.195879999999995,5,lp1,,,
41.52918,1,4-1,,,
41.52918,2,1-2,lb2,,
41.52918,4,1-2,l2,,
41.52918,3,1-2,rb0,,
41.52918,5,1-2,lb0,,
41.86248,1,lp1,,,
41.86248,2,lp2,,,
41.86248,3,lp2,,,
41.86248,4,lp2,,,
41.86248,5,lp2,,,
42.862379999999995,1,1-2,lb0,,
42.862379999999995,2,2-3,lb1,,
42.862379999999995,4,2-3,lb1,,
42.862379999999995,3,2-3,r1,,
42.862379999999995,5,2-3,r1,,
43.195679999999996,1,lp2,,,
43.79562,5,w3,,,
43.79562,4,w3,,,
43.79562,3,w3,,,
43.79562,2,w3,,,
44.26224,1,2-3,,,
44.26224,2,3-4,l2,,
44.26224,4,3-4,l2,,
44.26224,3,3-4,r2,,
44.26224,5,3-4,r2,,
44.59554,1,lp3,,,
45.195479999999996,5,w4,,,
45.195479999999996,4,w4,,,
45.195479999999996,3,w4,,,
45.195479999999996,2,w4,,,
45.56211,1,3-4,,,
45.82875,1,j4-1,,,
46.26204,1,lp1,,,
47.16195,1,1-2,l1,,
47.49525,1,lp2,,,
47.82855,1,2-3,,,
48.128519999999995,1,lp3,,,
48.96177,1,3-4,lb0,,
49.261739999999996,MOT_mc_stage_color_00,y-flash,,
49.261739999999996,1,lp4,,,
49.39506,5,4-1,rb1,,
49.42839,3,4-1,rb1,,
49.46172,1,4-1,l1,,
49.49505,2,4-1,l3,,
49.52838,4,4-1,l3,,
49.79502,1,lp1,,,
49.79502,2,lp1,,,
49.79502,3,lp1,,,
49.79502,4,lp1,,,
49.79502,5,lp1,,,
50.02833,5,1-2,rb0,,
50.061659999999996,3,1-2,rb0,,
50.094989999999996,1,1-2,l2,,
50.128319999999995,2,1-2,l4,,
50.161649999999995,4,1-2,l4,,
50.461619999999996,1,lp2,,,
50.461619999999996,2,lp2,,,
50.461619999999996,3,lp2,,,
50.461619999999996,4,lp2,,,
50.461619999999996,5,lp2,,,
50.82825,1,2-3,,,
50.82825,2,2-3,,,
50.82825,3,2-3,,,
50.82825,4,2-3,,,
50.82825,5,2-3,,,
50.961569999999995,1,j3-4,,,
51.02823,2,j3-4,,,
51.02823,3,j3-4,,,
51.09489,4,j3-4,,,
51.09489,5,j3-4,,,
51.46152,1,lp4,,,
51.46152,2,lp4,,,
51.46152,3,lp4,,,
51.46152,4,lp4,,,
51.46152,5,lp4,,,
51.6615,4,4-1,lb3,,
51.694829999999996,2,4-1,lb3,,
51.728159999999995,1,4-1,lb1,,
51.761489999999995,3,4-1,r1,,
51.794819999999994,5,4-1,r1,,
52.094789999999996,1,lp1,,,
52.094789999999996,2,lp1,,,
52.094789999999996,3,lp1,,,
52.094789999999996,4,lp1,,,
52.094789999999996,5,lp1,,,
52.894709999999996,MOT_mc_stage_color_00,y-flash,,
52.894709999999996,4,1-2,lb2,,
52.961369999999995,2,1-2,lb2,,
53.02803,1,1-2,lb0,,
53.09469,3,1-2,r2,,
53.16135,5,1-2,r2,,
53.46132,1,lp2,,,
53.46132,2,lp2,,,
53.46132,3,lp2,,,
53.46132,4,lp2,,,
53.46132,5,lp2,,,
53.92794,1,2-3,,,
53.92794,2,2-3,l3,,
53.92794,4,2-3,lb1,,
53.92794,3,2-3,r3,,
53.92794,5,2-3,rb1,,
54.227909999999994,1,lp3,,,
54.227909999999994,2,lp3,,,
54.227909999999994,3,lp3,,,
54.227909999999994,4,lp3,,,
54.227909999999994,5,lp3,,,
55.22781,1,3-4,,,
55.22781,2,3-4,lb2,,
55.22781,4,3-4,l2,,
55.22781,3,3-4,rb2,,
55.22781,5,3-4,r2,,
55.56111,1,lp4,,,
55.56111,2,lp4,,,
55.56111,3,lp4,,,
55.56111,4,lp4,,,
55.56111,5,lp4,,,
55.9944,4,4-1,lb1,,
55.9944,5,4-1,rb1,,
56.06106,2,4-1,lb1,,
56.06106,3,4-1,rb1,,
56.12772,1,4-1,,,
56.39436,1,lp1,,,
56.92764,5,w1,,,
56.92764,4,w1,,,
56.994299999999996,3,w1,,,
56.994299999999996,2,w1,,,
57.49425,1,1-2,,,
57.49425,2,1-2,lb0,,
57.49425,4,1-2,lb0,,
57.49425,3,1-2,rb0,,
57.49425,5,1-2,rb0,,
57.860879999999995,1,lp2,,,
58.227509999999995,1,2-3,,,
58.39416,3,2-3,,,
58.39416,2,2-3,,,
58.42749,5,w2,,,
58.42749,4,w2,,,
58.52748,4,2-3,,,
58.52748,5,2-3,,,
58.72746,1,3-4,,,
58.994099999999996,1,j4-1,,,
59.3274,3,w3,,,
59.3274,2,w3,,,
59.394059999999996,1,lp1,,,
59.460719999999995,5,w3,,,
59.460719999999995,4,w3,,,
60.89391,MOT_mc_stage_color_00,y-flash,,
60.89391,MOT_control_all,beats_04,,
60.89391,1,1-2,,,
61.16055,1,lp2,,,
61.460519999999995,2,3-4,r1,,
61.460519999999995,3,3-4,l1,,
61.460519999999995,1,j2-3,,,
62.227109999999996,4,3-4,r1,,
62.227109999999996,5,3-4,l1,,
62.227109999999996,1,3-4,,,
62.39376,3,w4,,,
62.39376,2,w4,,,
62.59374,1,lp4,,,
62.59374,2,lp4,,,
62.59374,3,lp4,,,
62.59374,4,lp4,,,
62.59374,5,lp4,,,
64.19358,MOT_mc_stage_color_00,y-flash,,
64.19358,1,4-1,,,
64.46021999999999,1,lp1,,,
64.76019,2,4-1,rb0,,
64.76019,3,4-1,lb0,,
64.76019,1,j1-2,,,
65.62677,4,4-1,rb0,,
65.62677,5,4-1,lb0,,
65.62677,1,2-3,,,
65.69342999999999,3,w1,,,
65.69342999999999,2,w1,,,
65.9934,1,lp3,,,
65.9934,2,lp1,,,
65.9934,3,lp1,,,
65.9934,4,lp1,,,
65.9934,5,lp1,,,
66.06006,1,sp3-4,,,
66.36003,MOT_mc_light_center_00,l3_d2,,
67.39326,MOT_mc_stage_color_00,y-flash,,
67.39326,1,4-1,,,
67.69323,2,j1-2,,,
67.69323,3,j1-2,,,
67.69323,4,j1-2,,,
67.69323,5,j1-2,,,
68.3265,1,w1,,,
68.39316,1,j1-2,,,
68.69313,2,2-3,,,
68.69313,3,2-3,,,
68.69313,4,2-3,,,
68.69313,5,2-3,,,
68.9931,1,lp2,,,
68.9931,2,lp3,,,
68.9931,3,lp3,,,
68.9931,4,lp3,,,
68.9931,5,lp3,,,
69.69303,2,sj3,,,
69.69303,3,sj3,,,
70.05966,1,sj2,,,
70.05966,4,sj3,,,
70.05966,5,sj3,,,
70.19297999999999,3,w3,,,
70.19297999999999,2,w3,,,
70.42629,2,3-4,,,
70.42629,3,3-4,,,
70.55960999999999,5,w3,,,
70.55960999999999,4,w3,,,
70.55960999999999,1,w2,,,
70.95957,1,2-3,,,
70.95957,2,4-1,,,
70.95957,3,4-1,,,
70.95957,4,3-4,,,
70.95957,5,3-4,,,
71.42618999999999,MOT_mc_stage_color_00,y-flash,,
71.42618999999999,MOT_mc_bg_black_00,b20-45,,
71.42618999999999,MOT_mc_light_up_00,l1,,
71.42618999999999,MOT_mc_light_center_00,off,,
71.42618999999999,2,,,,D40
71.42618999999999,3,,,,D40
71.42618999999999,4,,,,D40
71.42618999999999,5,,,,D40
71.42618999999999,1,3-4,,,
71.42618999999999,4,4-1,,,
71.42618999999999,5,4-1,,,
71.82615,2,1-2,,,
71.82615,3,1-2,,,
72.12612,1,4-1,,,
72.12612,4,1-2,,,
72.12612,5,1-2,,,
72.65939999999999,MOT_mc_stage_color_00,b-flash,,
72.65939999999999,MOT_mc_light_up_00,l2,,
72.65939999999999,1,1-2,,,
72.75939,3,w2,,,
72.75939,2,2-3,,,
72.75939,3,2-3,,,
72.85938,4,2-3,,,
72.85938,5,2-3,,,
72.92604,1,lp2,,,
73.69263,3,w3,,,
73.69263,2,w3,,,
73.69263,1,2-3,l1,,
73.79262,5,w3,,,
73.79262,4,w3,,,
73.95927,1,lp3,,,
74.12592,4,3-4,l1,,
74.12592,5,3-4,l1,,
74.12592,2,3-4,l1,,
74.12592,3,3-4,l1,,
75.05915999999999,5,w4,,,
75.05915999999999,4,w4,,,
75.05915999999999,3,w4,,,
75.05915999999999,2,w4,,,
75.82575,1,3-4,,,
75.92573999999999,2,4-1,,,
75.92573999999999,3,4-1,,,
76.02573,4,4-1,,,
76.02573,5,4-1,,,
76.09239,1,lp4,,,
76.85898,3,w1,,,
76.85898,2,w1,,,
76.85898,1,4-1,l2,,
76.95897,5,w1,,,
76.95897,4,w1,,,
77.12562,1,lp1,,,
77.29227,4,1-2,l2,,
77.29227,5,1-2,l2,,
77.29227,2,1-2,l2,,
77.29227,3,1-2,l2,,
78.22551,5,w2,,,
78.22551,4,w2,,,
78.22551,3,w2,,,
78.22551,2,w2,,,
78.35883,MOT_mc_stage_color_00,b-flash,,
78.35883,1,1-2,,,
78.45882,2,2-3,,,
78.45882,3,2-3,,,
78.55881,4,2-3,,,
78.55881,5,2-3,,,
78.62546999999999,1,lp2,,,
79.39206,3,w3,,,
79.39206,2,w3,,,
79.39206,1,2-3,lb1,,
79.49204999999999,5,w3,,,
79.49204999999999,4,w3,,,
79.6587,1,lp3,,,
79.92533999999999,4,3-4,lb1,,
79.92533999999999,5,3-4,lb1,,
79.92533999999999,2,3-4,lb1,,
79.92533999999999,3,3-4,lb1,,
80.85858,5,w4,,,
80.85858,4,w4,,,
80.85858,3,w4,,,
80.85858,2,w4,,,
81.52517999999999,1,3-4,,,
81.62517,2,4-1,,,
81.62517,3,4-1,,,
81.72516,4,4-1,,,
81.72516,5,4-1,,,
81.79182,1,lp4,,,
82.55841,3,w1,,,
82.55841,2,w1,,,
82.55841,1,4-1,lb0,,
82.6584,5,w1,,,
82.6584,4,w1,,,
82.82504999999999,1,lp1,,,
82.9917,4,1-2,lb0,,
82.9917,5,1-2,lb0,,
82.9917,2,1-2,lb0,,
82.9917,3,1-2,lb0,,
83.6583,1,1-2,,,
83.92493999999999,5,w2,,,
83.92493999999999,4,w2,,,
83.92493999999999,3,w2,,,
83.92493999999999,2,2-3,,,
83.92493999999999,3,2-3,,,
84.19158,4,2-3,,,
84.19158,5,2-3,,,
84.49154999999999,1,j2-3,,,
84.85817999999999,3,w3,,,
84.85817999999999,2,w3,,,
84.89151,2,3-4,,,
84.89151,3,3-4,,,
85.12482,5,w3,,,
85.12482,4,w3,,,
85.55811,1,w3,,,
85.65809999999999,4,3-4,,,
85.65809999999999,5,3-4,,,
85.82475,3,w4,,,
85.82475,2,w4,,,
86.12472,1,3-4,,,
86.22471,2,4-1,,,
86.22471,3,4-1,,,
86.32469999999999,4,4-1,,,
86.32469999999999,5,4-1,,,
86.62467,1,4-1,,,
86.72466,2,1-2,,,
86.72466,3,1-2,,,
86.82464999999999,4,1-2,,,
86.82464999999999,5,1-2,,,
87.12462,1,1-2,,,
87.22461,2,2-3,,,
87.22461,3,2-3,,,
87.32459999999999,4,2-3,,,
87.32459999999999,5,2-3,,,
87.69122999999999,1,2-3,,,
87.79122,2,3-4,,,
87.79122,3,3-4,,,
87.89121,4,3-4,,,
87.89121,5,3-4,,,
88.19118,1,3-4,,,
88.29117,2,4-1,,,
88.29117,3,4-1,,,
88.39116,4,4-1,,,
88.39116,5,4-1,,,
88.69113,1,4-1,,,
88.79111999999999,2,1-2,,,
88.79111999999999,3,1-2,,,
88.89111,4,1-2,,,
88.89111,5,1-2,,,
88.92443999999999,MOT_control_all,beats_05,,
89.15775,MOT_mc_stage_color_00,y-flash,,
89.15775,MOT_mc_bg_black_00,head,,
89.15775,MOT_mc_light_center_00,on3,,
89.15775,MOT_mc_light_up_00,l4,,
89.15775,2,,,,L20
89.15775,3,,,,L20
89.15775,4,,,,L20
89.15775,5,,,,L20
89.15775,1,,,,Lyw
89.15775,1,1-2,,,
89.25774,2,2-3,,,
89.25774,3,2-3,,,
89.35772999999999,4,2-3,,,
89.35772999999999,5,2-3,,,
89.85768,1,2-3,r1,,
89.85768,2,3-4,r1,,
89.85768,3,3-4,r1,,
89.85768,4,3-4,r1,,
89.85768,5,3-4,r1,,
90.62427,1,3-4,,,
90.62427,2,4-1,,,
90.62427,3,4-1,,,
90.62427,4,4-1,,,
90.62427,5,4-1,,,
90.75759,1,j4-1,,,
90.82424999999999,2,j1-2,,,
90.82424999999999,3,j1-2,,,
90.89090999999999,4,j1-2,,,
90.89090999999999,5,j1-2,,,
91.39085999999999,1,1-2,rb0,,
91.39085999999999,2,2-3,rb0,,
91.39085999999999,3,2-3,rb0,,
91.39085999999999,4,2-3,rb0,,
91.39085999999999,5,2-3,rb0,,
92.3241,5,w3,,,
92.3241,4,w3,,,
92.3241,3,w3,,,
92.3241,2,w3,,,
92.3241,1,w2,,,
92.45742,4,3-4,l1,,
92.52408,2,3-4,l1,,
92.59074,1,2-3,l1,,
92.6574,3,3-4,l1,,
92.72406,5,3-4,l1,,
93.39066,4,w4,,,
93.45732,2,w4,,,
93.52398,1,w3,,,
93.59064,3,w4,,,
93.65729999999999,5,w4,,,
93.82395,1,3-4,,,
93.82395,2,4-1,l2,,
93.82395,4,4-1,lb0,,
93.82395,3,4-1,lb0,,
93.82395,5,4-1,l2,,
94.12392,1,lp4,,,
94.12392,2,lp1,,,
94.12392,3,lp1,,,
94.12392,4,lp1,,,
94.12392,5,lp1,,,
94.45721999999999,1,4-1,,,
94.45721999999999,2,1-2,lb1,,
94.45721999999999,4,1-2,l1,,
94.45721999999999,3,1-2,l1,,
94.45721999999999,5,1-2,lb1,,
94.79052,1,lp1,,,
94.79052,2,lp2,,,
94.79052,3,lp2,,,
94.79052,4,lp2,,,
94.79052,5,lp2,,,
95.79042,1,1-2,lb0,,
95.79042,2,2-3,lb0,,
95.79042,4,2-3,lb0,,
95.79042,3,2-3,lb0,,
95.79042,5,2-3,lb0,,
96.12371999999999,1,lp2,,,
96.72366,5,w3,,,
96.72366,4,w3,,,
96.72366,3,w3,,,
96.72366,2,w3,,,
97.19028,1,2-3,,,
97.19028,2,3-4,r1,,
97.19028,4,3-4,r1,,
97.19028,3,3-4,l1,,
97.19028,5,3-4,l1,,
97.52358,1,lp3,,,
98.12352,5,w4,,,
98.12352,4,w4,,,
98.12352,3,w4,,,
98.12352,2,w4,,,
98.49015,1,3-4,,,
98.75679,1,j4-1,,,
99.02342999999999,1,lp1,,,
100.08999,1,1-2,l1,,
100.42329,1,lp2,,,
100.75658999999999,1,2-3,,,
101.05655999999999,1,lp3,,,
101.88981,1,3-4,lb0,,
102.18978,1,lp4,,,
102.3231,MOT_mc_stage_color_00,y-flash,,
102.3231,5,4-1,l2,,
102.35642999999999,3,4-1,l2,,
102.38976,1,4-1,l1,,
102.42309,2,4-1,rb0,,
102.45642,4,4-1,rb0,,
102.95636999999999,5,1-2,l3,,
102.9897,3,1-2,l3,,
103.02302999999999,1,1-2,l2,,
103.05636,2,1-2,l1,,
103.08968999999999,4,1-2,l1,,
103.75628999999999,1,2-3,,,
103.75628999999999,2,2-3,,,
103.75628999999999,3,2-3,,,
103.75628999999999,4,2-3,,,
103.75628999999999,5,2-3,,,
103.88960999999999,1,j3-4,,,
103.95626999999999,2,j3-4,,,
103.95626999999999,3,j3-4,,,
104.02293,4,j3-4,,,
104.02293,5,j3-4,,,
104.58954,4,4-1,lb0,,
104.62286999999999,2,4-1,lb0,,
104.6562,1,4-1,lb1,,
104.68952999999999,3,4-1,lb2,,
104.72286,5,4-1,lb2,,
105.52278,4,w1,,,
105.55610999999999,2,w1,,,
105.58944,1,w1,,,
105.62276999999999,3,w1,,,
105.6561,5,w1,,,
105.82275,4,1-2,r1,,
105.88941,2,1-2,r1,,
105.95607,1,1-2,lb0,,
106.02273,3,1-2,lb1,,
106.08939,5,1-2,lb1,,
106.75599,4,w2,,,
106.82265,2,w2,,,
106.85597999999999,1,2-3,,,
106.85597999999999,2,2-3,rb0,,
106.85597999999999,4,2-3,r2,,
106.85597999999999,3,2-3,lb0,,
