0.03333,MOT_all,sky_cut01,,
0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_mc_special_03,g,,
0.03333,MOT_control_all,zoom_sky,,
0.03333,1,,,,D100
0.03333,2,,,,D100
0.03333,3,,,,D100
0.03333,4,,,,D100
0.03333,5,,,,D100
2.53308,1,,,,L40
2.53308,2,,,,L80
2.53308,3,,,,L80
2.53308,4,,,,L80
2.53308,5,,,,L80
2.53308,2,,,b-1,
2.53308,3,,,b-1,
2.53308,4,,,b-1,
2.53308,5,,,b-1,
2.53308,1,1-2,,,
2.53308,2,1-2,,,
2.53308,3,1-2,,,
2.53308,4,1-2,,,
2.53308,5,1-2,,,
2.83305,MOT_mc_stage_color_00,b-flash,,
2.93304,1,lp2,,,
2.93304,2,lp2,,,
2.93304,3,lp2,,,
2.93304,4,lp2,,,
2.93304,5,lp2,,,
3.9996,1,sj2,,,
3.9996,2,sj2,,,
3.9996,3,sj2,,,
3.9996,4,sj2,,,
3.9996,5,sj2,,,
4.3328999999999995,1,lp2,,,
4.3328999999999995,2,lp2,,,
4.3328999999999995,3,lp2,,,
4.3328999999999995,4,lp2,,,
4.3328999999999995,5,lp2,,,
4.3328999999999995,5,2-3,,,
4.6662,5,lp3,,,
4.6662,4,2-3,,,
4.999499999999999,3,2-3,,,
4.999499999999999,4,lp3,,,
5.3328,3,lp3,,,
5.3328,2,2-3,,,
5.6661,1,2-3,,,
5.6661,2,lp3,,,
6.03273,1,lp3,,,
6.03273,1,j3-4,,,
6.03273,2,j3-4,,,
6.03273,3,j3-4,,,
6.03273,4,j3-4,,,
6.03273,5,j3-4,,,
6.366029999999999,5,4-1,,,
6.6659999999999995,5,lp1,,,
6.6659999999999995,4,4-1,,,
6.9993,3,4-1,,,
6.9993,4,lp1,,,
7.09929,2,w4,,,
7.09929,1,w4,,,
7.332599999999999,3,lp1,,,
7.332599999999999,2,4-1,,,
7.6659,1,4-1,,,
7.6659,2,lp1,,,
8.165849999999999,1,1-2,,,
8.23251,2,1-2,,,
8.29917,3,1-2,,,
8.365829999999999,4,1-2,,,
8.43249,5,1-2,,,
8.96577,1,2-3,,,
8.96577,2,2-3,,,
8.96577,3,2-3,,,
8.96577,4,2-3,,,
8.96577,5,2-3,,,
9.6657,1,j3-4,,,
9.6657,2,j3-4,,,
9.6657,3,j3-4,,,
9.6657,4,j3-4,,,
9.6657,5,j3-4,,,
9.998999999999999,1,lp4,,,
9.998999999999999,2,lp4,,,
9.998999999999999,3,lp4,,,
9.998999999999999,4,lp4,,,
9.998999999999999,5,lp4,,,
14.03193,1,4-1,,,
14.03193,2,4-1,,,
14.03193,3,4-1,,,
14.03193,4,4-1,,,
14.03193,5,4-1,,,
14.03193,1,,,f1,
14.09859,MOT_mc_special_03,g-stay,,
14.165249999999999,MOT_mc_light_up_00,l3,,
14.19858,MOT_mc_bg_black_00,b80-65,,
14.23191,1,,,,L20
14.23191,2,,,,L60
14.23191,3,,,,L60
14.23191,4,,,,L60
14.23191,5,,,,L60
14.265239999999999,MOT_mc_stage_color_00,b-flash,,
14.365229999999999,1,lp1,,,
14.365229999999999,2,lp1,,,
14.365229999999999,3,lp1,,,
14.365229999999999,4,lp1,,,
14.365229999999999,5,lp1,,,
14.39856,MOT_mc_light_under_00,l2,,
14.39856,MOT_mc_light_center_00,l1,,
14.93184,1,j1-2,,,
15.165149999999999,2,j1-2,,,
15.165149999999999,3,j1-2,,,
15.63177,1,2-3,,,
15.63177,4,1-2,,,
15.63177,5,1-2,,,
16.03173,1,j3-4,,,
16.03173,2,j2-3,,,
16.03173,3,j2-3,,,
16.03173,4,j2-3,,,
16.03173,5,j2-3,,,
16.36503,1,lp4,,,
16.36503,2,lp3,,,
16.36503,3,lp3,,,
16.36503,4,lp3,,,
16.36503,5,lp3,,,
16.86498,1,4-1,,,
16.86498,2,3-4,,,
16.86498,3,3-4,,,
16.86498,4,3-4,,,
16.86498,5,3-4,,,
17.164949999999997,1,lp1,,,
17.164949999999997,2,lp4,,,
17.164949999999997,3,lp4,,,
17.164949999999997,4,lp4,,,
17.164949999999997,5,lp4,,,
18.39816,1,,r1,,
18.39816,2,,r1,,
18.39816,3,,r1,,
18.39816,4,,r1,,
18.39816,5,,r1,,
18.73146,1,1-2,,,
18.73146,2,4-1,,,
18.73146,3,4-1,,,
18.73146,4,4-1,,,
18.73146,5,4-1,,,
19.09809,1,,rb0,,
19.09809,2,,rb0,,
19.09809,3,,rb0,,
19.09809,4,,rb0,,
19.09809,5,,rb0,,
19.6647,5,w1,,,
19.6647,4,w1,,,
19.6647,3,w1,,,
19.6647,2,w1,,,
19.6647,1,j2-3,,,
19.6647,2,j1-2,,,
19.6647,3,j1-2,,,
19.6647,4,j1-2,,,
19.6647,5,j1-2,,,
19.997999999999998,MOT_mc_stage_color_00,b-flash,,
20.03133,5,2-3,,,
20.03133,4,2-3,,,
20.03133,1,lp3,,,
20.03133,2,lp2,,,
20.03133,3,lp2,,,
20.73126,2,2-3,,,
20.73126,3,2-3,,,
20.96457,5,w3,,,
20.96457,4,w3,,,
21.06456,1,3-4,,,
21.06456,2,3-4,,,
21.06456,3,3-4,,,
21.06456,4,3-4,,,
21.06456,5,3-4,,,
21.36453,1,j4-1,,,
21.36453,2,j4-1,,,
21.36453,3,j4-1,,,
21.36453,4,j4-1,,,
