0.03333,MOT_all,hack_cut01,,
0.03333,MOT_control_all,zoom_hack,,
0.03333,MOT_mc_special_03,r,,
0.03333,MOT_mc_bg_black_00,b80,,
0.03333,2,,,,D100
0.03333,3,,,,D100
0.03333,1,,,,D100
0.03333,4,,,,D100
0.03333,5,,,,D100
2.73306,1,sj1,,,
2.73306,4,sj1,,,
2.73306,5,sj1,,,
2.73306,2,1-2,,,
2.73306,3,1-2,,,
2.7997199999999998,MOT_mc_stage_color_00,r-flash,,
2.9997,2,sj2,,,
2.9997,3,sj2,,,
2.9997,1,1-2,,,
2.9997,4,1-2,,,
2.9997,5,1-2,,,
3.26634,4,sj2,,,
3.26634,5,sj2,,,
3.26634,2,2-3,,,
3.26634,3,2-3,,,
3.26634,1,2-3,,,
3.63297,1,sp3-4,,,
3.63297,2,sp3-4,,,
3.63297,3,sp3-4,,,
3.63297,4,sp2-3,,,
3.63297,5,sp2-3,,,
4.06626,1,j4-1,,,
4.09959,2,j4-1,,,
4.09959,3,j4-1,,,
4.1329199999999995,4,j3-4,,,
4.1329199999999995,5,j3-4,,,
4.39956,MOT_mc_stage_color_00,r-flash,,
4.39956,MOT_mc_bg_black_00,b80-65,,
4.39956,MOT_mc_light_up_00,l1,,
4.39956,MOT_mc_light_center_00,l1,,
4.39956,MOT_mc_light_under_00,l1,,
4.39956,1,,,,L40
4.39956,2,,,,L60
4.39956,3,,,,L60
4.39956,4,,,,L60
4.39956,5,,,,L60
5.13282,1,w1,,,
5.16615,3,w1,,,
5.16615,2,w1,,,
5.199479999999999,5,w4,,,
5.199479999999999,4,w4,,,
5.53278,1,j1-2,,,
5.5994399999999995,2,j1-2,,,
5.5994399999999995,3,j1-2,,,
5.6661,4,j4-1,,,
5.6661,5,j4-1,,,
5.79942,MOT_mc_stage_color_00,r-flash,,
6.59934,1,w2,,,
6.6659999999999995,3,w2,,,
6.6659999999999995,2,w2,,,
6.73266,5,w1,,,
6.73266,4,w1,,,
6.9993,1,j2-3,,,
7.09929,2,2-3,l1,,
7.09929,3,2-3,r1,,
7.19928,4,1-2,l1,,
7.19928,5,1-2,r1,,
7.232609999999999,MOT_mc_stage_color_00,r-flash,,
8.03253,3,w3,,,
8.03253,2,w3,,,
8.065859999999999,1,w3,,,
8.13252,5,w2,,,
8.13252,4,w2,,,
8.59914,1,j3-4,,,
8.69913,2,3-4,,,
8.69913,3,3-4,,,
8.79912,4,2-3,,,
8.79912,5,2-3,,,
8.83245,MOT_mc_stage_color_00,r-flash,,
9.63237,3,w4,,,
9.63237,2,w4,,,
9.6657,1,w4,,,
9.73236,5,w3,,,
9.73236,4,w3,,,
10.36563,1,hj4,,,
10.36563,2,j4-1,,,
10.36563,3,j4-1,,,
10.36563,4,j3-4,,,
10.36563,5,j3-4,,,
11.03223,1,lp4,,,
11.43219,5,w4,,,
11.43219,4,w4,,,
11.43219,3,w1,,,
11.43219,2,w1,,,
11.79882,2,hj1,,,
11.79882,3,hj1,,,
11.79882,4,j4-1,,,
11.79882,5,j4-1,,,
12.46542,2,lp1,,,
12.46542,3,lp1,,,
12.86538,5,w1,,,
12.86538,4,w1,,,
13.29867,4,hj1,,,
13.29867,5,hj1,,,
13.865279999999998,4,lp1,,,
13.865279999999998,5,lp1,,,
14.83185,1,sp4-1,,,
14.83185,2,sp1-2,,,
14.83185,3,sp1-2,,,
14.83185,4,sp1-2,,,
14.83185,5,sp1-2,,,
15.73176,MOT_mc_special_03,r-stay,,
15.93174,1,,,,L0
15.93174,2,,,,L40
15.93174,3,,,,L40
15.93174,4,,,,L40
15.93174,5,,,,L40
15.9984,MOT_mc_stage_color_00,r-flash,,
15.9984,MOT_mc_bg_black_00,b65-45,,
15.9984,MOT_mc_light_up_00,l3,,
16.131719999999998,1,1-2,,f1,
16.131719999999998,2,2-3,,,
16.131719999999998,3,2-3,,,
16.131719999999998,4,2-3,,,
16.131719999999998,5,2-3,,,
16.531679999999998,1,lp2,,,
17.06496,5,w3,,,
17.06496,4,w3,,,
17.06496,3,w3,,,
17.06496,2,w3,,,
17.19828,1,j2-3,,,
17.83155,1,lp3,,,
17.9982,1,3-4,r1,,
18.39816,1,lp4,,,
18.86478,1,4-1,rb0,,
19.26474,1,j1-2,,,
19.764689999999998,1,lp2,,,
20.63127,1,2-3,l1,,
20.89791,2,3-4,,,
20.89791,3,3-4,,,
20.89791,4,3-4,,,
20.89791,5,3-4,,,
21.03123,1,lp3,,,
