0.03333,MOT_control_all,mix1,,
0.03333,MOT_mc_speaker_00,l1,,
0.03333,MOT_all,cut1,,
0.03333,MOT_mc_special_03,w1,,
0.03333,1,w1,,,
0.03333,2,w1,,,
0.03333,3,w1,,,
0.03333,4,w1,,,
0.03333,5,w1,,,
2.43309,MOT_mc_light_up_00,l1,,
2.43309,MOT_mc_light_center_00,l1,,
2.43309,MOT_mc_speaker_00,l2,,
2.43309,MOT_mc_back_00,l1,,
2.43309,MOT_mc_special_01,l1,,
2.4997499999999997,MOT_mc_stage_color_00,r-flash,,
2.4997499999999997,MOT_mc_bg_black_00,b80-65,,
2.5997399999999997,MOT_mc_special_03,j1-2,,
2.5997399999999997,1,1-2,,,
2.5997399999999997,2,1-2,,,
2.5997399999999997,3,1-2,,,
2.5997399999999997,4,1-2,,,
2.5997399999999997,5,1-2,,,
3.36633,MOT_mc_stage_color_00,r-flash,,
3.39966,MOT_mc_special_03,j2-3,,
3.39966,1,2-3,,,
3.39966,2,2-3,,,
3.39966,3,2-3,,,
3.39966,4,2-3,,,
3.39966,5,2-3,,,
3.39966,2,,l1,,
3.39966,4,,l1,,
3.39966,3,,r1,,
3.39966,5,,r1,,
4.19958,MOT_mc_stage_color_00,r-flash,,
4.19958,MOT_mc_special_03,j3-4,,
4.19958,1,3-4,,,
4.19958,2,3-4,,,
4.19958,3,3-4,,,
4.19958,4,3-4,,,
4.19958,5,3-4,,,
4.86618,1,4-1,,,
4.86618,2,4-1,,,
4.86618,3,4-1,,,
4.86618,4,4-1,,,
4.86618,5,4-1,,,
5.06616,MOT_mc_stage_color_00,r-flash,,
5.06616,MOT_mc_bg_black_00,b65-45,,
5.26614,MOT_control_all,mix1_02,,
5.26614,MOT_mc_special_03,sp3-4,,
5.26614,1,hj1,,,
5.26614,2,hj1,,,
5.26614,3,hj1,,,
5.26614,4,hj1,,,
5.26614,5,hj1,,,
6.09939,1,lp1,,,
6.09939,2,lp1,,,
6.09939,3,lp1,,,
6.09939,4,lp1,,,
6.09939,5,lp1,,,
6.9993,1,1-2,,,
6.9993,2,1-2,,,
6.9993,3,1-2,,,
