0.03333,MOT_mc_bg_black_00,seat100-0,,
2.1664499999999998,MOT_mc_speaker_00,temp2,,
2.3997599999999997,MOT_mc_stage_color_00,r-flash,,
2.3997599999999997,MOT_mc_bg_black_00,b45-65,,
2.3997599999999997,MOT_mc_light_up_00,l1,,
2.3997599999999997,MOT_mc_light_center_00,l1,,
2.3997599999999997,MOT_mc_light_under_00,l1,,
2.3997599999999997,1,,,,D20
2.3997599999999997,2,,,,D20
2.3997599999999997,3,,,,D20
2.3997599999999997,4,,,,D20
2.3997599999999997,5,,,,D20
4.6662,MOT_mc_stage_color_00,b-flash,,
4.6662,1,j1-2,,,
5.06616,4,j1-2,,,
5.46612,5,j1-2,,,
5.73276,1,w2,,,
5.86608,3,1-2,,,
6.13272,4,w2,,,
6.23271,2,1-2,,,
6.53268,5,w2,,,
6.79932,3,w2,,,
7.06596,2,2-3,,,
7.06596,4,2-3,,,
7.06596,5,2-3,,,
7.39926,1,2-3,,,
7.69923,2,3-4,,,
7.9992,5,w3,,,
7.9992,4,w3,,,
8.065859999999999,1,3-4,,,
8.065859999999999,2,4-1,,,
8.065859999999999,3,2-3,,,
8.065859999999999,4,3-4,,,
8.065859999999999,5,3-4,,,
8.465819999999999,1,j4-1,,,
8.465819999999999,2,j1-2,,,
8.465819999999999,3,j3-4,,,
8.465819999999999,4,j4-1,,,
8.465819999999999,5,j4-1,,,
9.43239,1,j1-2,,,
9.43239,2,j2-3,,,
9.43239,3,j4-1,,,
9.43239,4,j1-2,,,
9.43239,5,j1-2,,,
10.13232,1,j2-3,,,
10.13232,2,j3-4,,,
10.13232,3,j1-2,,,
10.13232,4,j2-3,,,
10.13232,5,j2-3,,,
10.76559,1,3-4,,,
10.76559,2,4-1,,,
10.76559,3,2-3,,,
10.76559,4,3-4,,,
10.76559,5,3-4,,,
11.69883,5,w4,,,
11.69883,4,w4,,,
11.69883,1,w4,,,
11.69883,2,w1,,,
11.69883,3,w3,,,
11.73216,MOT_mc_stage_color_00,b-flash,,
11.73216,MOT_mc_bg_black_00,b65-45,,
11.73216,MOT_mc_light_center_00,l1,,
11.73216,MOT_mc_light_up_00,l4,,
11.73216,1,lp4,,,
11.73216,2,1-2,,,L0
11.73216,3,lp3,,,
11.73216,4,lp4,,,
11.73216,5,lp4,,,
12.232109999999999,2,2-3,l1,,
12.76539,2,3-4,lb0,,
13.36533,2,4-1,,,
13.965269999999999,2,1-2,l1,,
14.49855,2,2-3,lb0,,
15.03183,2,j3-4,,,
15.49845,2,lp4,,,
16.49835,MOT_mc_stage_color_00,r-flash,,
16.49835,2,4-1,,,
16.89831,2,1-2,l1,,
17.331599999999998,2,2-3,lb0,,
17.79822,2,j3-4,,,
18.364829999999998,2,4-1,,,
18.964769999999998,2,sp1-2,,,
19.598039999999997,2,2-3,l1,,
19.997999999999998,2,3-4,lb0,,
20.93124,2,w4,,,
21.36453,MOT_mc_stage_color_00,b-flash,,
21.36453,2,lp4,,,
21.36453,1,4-1,,,L0
21.797819999999998,1,1-2,r1,,
22.26444,1,2-3,rb0,,
22.69773,1,3-4,,,
23.06436,1,4-1,,,
23.56431,1,1-2,,,
23.9976,1,2-3,,,
24.36423,1,3-4,,,
24.830849999999998,1,j4-1,,,
25.897409999999997,1,w1,,,
26.064059999999998,MOT_mc_stage_color_00,b-flash,,
26.064059999999998,2,4-1,,,
26.064059999999998,3,3-4,,,
26.064059999999998,4,4-1,,,
26.064059999999998,5,4-1,,,
26.064059999999998,1,1-2,,,
26.43069,2,lp1,,,
26.43069,3,lp4,,,
26.43069,4,lp1,,,
26.43069,5,lp1,,,
26.43069,1,2-3,l1,,
26.83065,1,3-4,lb0,,
27.263939999999998,1,4-1,,,
27.897209999999998,1,1-2,,,
28.43049,1,j2-3,,,
29.297069999999998,1,j3-4,,,
29.697029999999998,1,4-1,,,
30.63027,1,w1,,,
31.563509999999997,MOT_mc_stage_color_00,y-flash,,
31.563509999999997,2,1-2,l1,,
31.9968,2,2-3,lb0,,
32.39676,2,3-4,,,
32.83005,2,j4-1,,,
33.56331,2,1-2,r1,,
34.46322,2,2-3,rb0,,
35.39646,2,w3,,,
36.39636,MOT_mc_stage_color_00,r-flash,,
36.39636,2,lp3,,,
36.39636,3,4-1,,,
36.39636,4,1-2,,,
36.39636,5,1-2,,,
36.39636,1,1-2,,,
36.729659999999996,1,2-3,,,
37.129619999999996,1,j3-4,,,
37.3296,5,w2,,,
37.3296,4,w2,,,
37.3296,3,w1,,,
37.69623,1,4-1,l1,,
38.09619,1,1-2,lb0,,
38.56281,1,j2-3,,,
39.129419999999996,1,3-4,,,
39.49605,1,sp4-1,,,
41.06256,2,3-4,r1,,
41.06256,1,lp1,,,
41.42919,2,4-1,rb0,,
41.79582,2,1-2,l1,,
42.16245,2,2-3,lb0,,
42.52908,2,3-4,,,
42.89571,2,4-1,,,
43.262339999999995,2,j1-2,,,
44.3289,2,w2,,,
45.46212,2,j2-3,,,
45.46212,1,j1-2,,,
