0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_stage_color_00,r,,
0.03333,MOT_control_all,ao_zoom,,
0.03333,MOT_all,ao_cut,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.03333,5,,,,D80
1.79982,2,1-2,,,
1.79982,3,1-2,,,
1.79982,4,1-2,,,
1.79982,5,1-2,,,
1.79982,1,j1-2,,,
2.09979,1,,,,L40
2.09979,2,,,,L60
2.09979,3,,,,L60
2.09979,4,,,,L60
2.09979,5,,,,L60
2.1664499999999998,1,lp2,,,
2.1664499999999998,2,lp2,,,
2.1664499999999998,3,lp2,,,
2.1664499999999998,4,lp2,,,
2.1664499999999998,5,lp2,,,
2.23311,MOT_mc_light_center_00,lp,,
4.19958,1,j2-3,,,
4.19958,2,j2-3,,,
4.19958,3,j2-3,,,
4.19958,4,j2-3,,,
4.19958,5,j2-3,,,
4.53288,1,lp3,,,
4.53288,2,lp3,,,
4.53288,3,lp3,,,
4.53288,4,lp3,,,
4.53288,5,lp3,,,
6.466019999999999,1,3-4,,,
6.466019999999999,2,3-4,,,
6.466019999999999,3,3-4,,,
6.466019999999999,4,3-4,,,
6.466019999999999,5,3-4,,,
6.7659899999999995,1,lp4,,,
6.7659899999999995,2,lp4,,,
6.7659899999999995,3,lp4,,,
6.7659899999999995,4,lp4,,,
6.7659899999999995,5,lp4,,,
7.59924,1,4-1,,,
7.59924,2,4-1,,,
7.59924,3,4-1,,,
7.59924,4,4-1,,,
7.59924,5,4-1,,,
7.89921,1,lp1,,,
7.89921,2,lp1,,,
7.89921,3,lp1,,,
7.89921,4,lp1,,,
7.89921,5,lp1,,,
9.6657,4,1-2,,,
9.6657,5,1-2,,,
9.93234,2,1-2,,,
9.93234,3,1-2,,,
10.198979999999999,1,1-2,,,
10.198979999999999,2,2-3,,,
10.198979999999999,3,2-3,,,
10.198979999999999,4,2-3,,,
10.198979999999999,5,2-3,,,
10.56561,1,2-3,,,
10.56561,2,3-4,,,
10.56561,3,3-4,,,
10.56561,4,3-4,,,
10.56561,5,3-4,,,
10.93224,1,j3-4,,,
10.93224,2,j4-1,,,
10.93224,3,j4-1,,,
10.93224,4,j4-1,,,
10.93224,5,j4-1,,,
11.26554,1,lp4,,,
11.26554,2,lp1,,,
11.26554,3,lp1,,,
11.26554,4,lp1,,,
11.26554,5,lp1,,,
13.29867,1,4-1,,,
13.29867,2,1-2,,,
13.29867,3,1-2,,,
13.29867,4,1-2,,,
13.29867,5,1-2,,,
13.59864,1,lp1,,,
13.59864,2,lp2,,,
13.59864,3,lp2,,,
13.59864,4,lp2,,,
13.59864,5,lp2,,,
15.365129999999999,4,2-3,,,
15.43179,2,2-3,,,
15.49845,1,1-2,,,
15.565109999999999,3,2-3,,,
15.63177,5,2-3,,,
15.9984,1,lp2,,,
15.9984,2,lp3,,,
15.9984,3,lp3,,,
15.9984,4,lp3,,,
15.9984,5,lp3,,,
17.26494,1,2-3,,,
17.26494,2,3-4,,,
17.26494,3,3-4,,,
17.26494,4,3-4,,,
17.26494,5,3-4,,,
17.764889999999998,1,j3-4,,,
17.764889999999998,2,j4-1,,,
17.764889999999998,3,j4-1,,,
17.764889999999998,4,j4-1,,,
17.764889999999998,5,j4-1,,,
18.164849999999998,1,lp4,,,
18.164849999999998,2,lp1,,,
18.164849999999998,3,lp1,,,
18.164849999999998,4,lp1,,,
18.164849999999998,5,lp1,,,
20.13132,1,4-1,,f1,
20.13132,2,1-2,,,
20.13132,3,1-2,,,
20.13132,4,1-2,,,
20.13132,5,1-2,,,
