0.03333,MOT_control_all,kimi01,,
0.03333,MOT_all,kimi00,,
0.03333,MOT_mc_stage_color_00,b,,
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,4,,,,D60
0.03333,5,,,,D60
2.7997199999999998,1,1-2,,f1,
3.4663199999999996,1,2-3,l1,,
4.16625,1,3-4,,,
4.86618,1,4-1,lb0,,
5.6661,1,j1-2,,,
6.73266,1,w2,,,
6.7659899999999995,1,2-3,,,
7.332599999999999,1,lp3,,,
7.79922,1,3-4,,,
8.165849999999999,1,sj4,,,
8.665799999999999,1,w4,,,
8.73246,1,4-1,,,
8.73246,2,1-2,,,
8.73246,3,1-2,,,
8.73246,4,1-2,,,
8.73246,5,1-2,,,
9.36573,1,1-2,,,
9.36573,2,2-3,,,
9.36573,3,2-3,,,
9.36573,4,2-3,,,
9.36573,5,2-3,,,
10.06566,1,2-3,,,
10.06566,2,3-4,,,
10.06566,3,3-4,,,
10.06566,4,3-4,,,
10.06566,5,3-4,,,
10.06566,2,,l1,,
10.06566,3,,r1,,
10.06566,4,,l1,,
10.06566,5,,r1,,
10.398959999999999,MOT_all,kimi01,,
10.83225,1,3-4,l1,,
10.998899999999999,5,w4,,,
10.998899999999999,4,w4,,,
10.998899999999999,3,w4,,,
10.998899999999999,2,w4,,,
11.59884,2,,,,L40
11.59884,3,,,,L40
11.59884,4,,,,L40
11.59884,5,,,,L40
11.59884,MOT_mc_stage_color_00,b-flash,,
11.59884,1,4-1,l2,,
11.73216,2,,,,L20
11.73216,3,,,,L20
11.73216,4,,,,L20
11.73216,5,,,,L20
11.86548,2,,,,L0
11.86548,3,,,,L0
11.86548,4,,,,L0
11.86548,5,,,,L0
12.032129999999999,MOT_control_all,kimi02,,
12.36543,1,j1-2,,,
12.89871,1,2-3,lb1,,
13.59864,1,3-4,lb0,,
14.49855,1,hj4,,,
14.59854,2,j4-1,,,
14.59854,3,j4-1,,,
14.59854,4,j4-1,,,
14.59854,5,j4-1,,,
15.665099999999999,5,w1,,,
15.665099999999999,4,w1,,,
15.665099999999999,3,w1,,,
15.665099999999999,2,w1,,,
15.73176,1,w4,,,
15.93174,2,1-2,l2,,
15.93174,3,1-2,r2,,
15.93174,4,1-2,l2,,
15.93174,5,1-2,r2,,
15.965069999999999,1,lp4,,,
16.86498,5,w2,,,
16.86498,4,w2,,,
16.86498,3,w2,,,
16.86498,2,w2,,,
17.39826,2,2-3,lb1,,
17.39826,3,2-3,rb1,,
17.39826,4,2-3,lb1,,
17.39826,5,2-3,rb1,,
17.39826,1,4-1,,b0,
18.3315,5,w3,,,
18.3315,4,w3,,,
18.3315,3,w3,,,
18.3315,2,w3,,,
18.3315,1,w1,,,
18.83145,1,1-2,,,
19.13142,2,3-4,,,
19.13142,3,3-4,,,
19.49805,4,3-4,,,
