0.03333,MOT_mc_bg_black_00,seat100-0,,
1.79982,MOT_mc_speaker_00,temp2,,
2.19978,MOT_mc_stage_color_00,y-flash,,
2.19978,MOT_mc_bg_black_00,b65-45,,
2.19978,MOT_mc_light_up_00,l1,,
2.19978,MOT_mc_light_center_00,l1,,
2.19978,MOT_mc_light_under_00,l1,,
2.19978,2,lp1,,,
2.19978,3,lp1,,,
2.19978,4,lp1,,,
2.19978,5,lp1,,,
2.19978,1,lp1,,,
3.49965,1,j1-2,,,
3.6662999999999997,2,j1-2,,,
3.7662899999999997,3,j1-2,,,
3.8662799999999997,4,j1-2,,,
3.9662699999999997,5,j1-2,,,
4.29957,1,sp2-3,,,
4.3328999999999995,2,sp2-3,,,
4.3328999999999995,3,sp2-3,,,
4.3328999999999995,4,sp2-3,,,
4.3328999999999995,5,sp2-3,,,
5.16615,MOT_mc_stage_color_00,b-flash,,
5.16615,2,3-4,,,D20
5.16615,3,3-4,,,D20
5.16615,4,3-4,,,D20
5.16615,5,3-4,,,D20
5.16615,1,3-4,r1,f1,
5.53278,1,4-1,rb0,,
5.89941,1,j1-2,,,
6.09939,5,w4,,,
6.09939,4,w4,,,
6.09939,3,w4,,,
6.09939,2,j4-1,,,
6.09939,3,j4-1,,,
6.09939,4,j4-1,,,
6.09939,5,j4-1,,,
6.43269,1,2-3,,,
6.89931,1,3-4,l1,,
7.16595,5,w1,,,
7.16595,4,w1,,,
7.16595,3,w1,,,
7.16595,2,w1,,,
7.29927,1,4-1,,,
7.69923,2,j1-2,,,
7.69923,3,j1-2,,,
7.69923,4,j1-2,,,
7.69923,5,j1-2,,,
7.69923,1,1-2,lb0,,
8.265839999999999,MOT_mc_stage_color_00,r-flash,,
8.265839999999999,1,j2-3,,,
8.49915,2,j2-3,,,
8.49915,3,j2-3,,,
8.49915,4,j2-3,,,
8.49915,5,j2-3,,,
8.73246,1,3-4,,,
8.93244,2,j3-4,,,
8.93244,3,j3-4,,,
8.93244,4,j3-4,,,
8.93244,5,j3-4,,,
9.23241,1,4-1,,,
9.43239,2,4-1,,,
9.43239,3,4-1,,,
9.43239,4,4-1,,,
9.43239,5,4-1,,,
9.899009999999999,2,1-2,,,
9.899009999999999,3,1-2,,,
10.098989999999999,4,1-2,,,
10.098989999999999,5,1-2,,,
10.16565,1,w1,,,
10.46562,MOT_mc_stage_color_00,y-flash,,
10.46562,1,1-2,l1,,
10.83225,3,w2,,,
10.83225,2,w2,,,
10.83225,1,2-3,,,
11.03223,5,w2,,,
11.03223,4,w2,,,
11.198879999999999,1,3-4,l2,,
11.56551,1,4-1,lb1,,
11.932139999999999,1,1-2,lb0,,
12.29877,1,2-3,,,
12.6654,1,j3-4,,,
12.932039999999999,2,j2-3,,,
12.932039999999999,3,j2-3,,,
13.232009999999999,4,j2-3,,,
13.232009999999999,5,j2-3,,,
13.232009999999999,1,sp4-1,,,
13.9986,3,w3,,,
13.9986,2,w3,,,
14.29857,5,w3,,,
14.29857,4,w3,,,
14.665199999999999,MOT_mc_stage_color_00,y-flash,,
14.665199999999999,2,j3-4,,,
14.665199999999999,3,j3-4,,,
14.665199999999999,4,j3-4,,,
14.665199999999999,5,j3-4,,,
14.665199999999999,1,1-2,l1,,
15.03183,1,2-3,lb0,,
15.39846,1,3-4,,,
15.73176,5,w4,,,
15.73176,4,w4,,,
15.73176,3,w4,,,
15.73176,2,w4,,,
15.765089999999999,1,4-1,,,
16.03173,2,sp4-1,,,
16.331699999999998,3,sp4-1,,,
16.63167,4,sp4-1,,,
16.69833,1,w1,,,
16.931639999999998,5,sp4-1,,,
17.23161,1,sp1-2,,,
17.29827,2,sp1-2,,,
17.29827,3,sp1-2,,,
17.29827,4,sp1-2,,,
17.29827,5,sp1-2,,,
18.49815,MOT_mc_stage_color_00,y-flash,,
18.49815,1,2-3,,b0,D20
18.6648,2,2-3,,,
18.89811,3,2-3,,,
19.13142,4,2-3,,,
19.3314,5,2-3,,,
19.43139,1,w3,,,
19.598039999999997,2,w3,,,
19.83135,3,w3,,,
19.83135,4,3-4,,,
20.03133,2,3-4,,,
20.197979999999998,1,3-4,,,
20.26464,5,w3,,,
20.36463,3,3-4,,,
20.56461,5,3-4,,,
20.76459,4,w4,,,
20.96457,2,w4,,,
20.997899999999998,MOT_mc_stage_color_00,y-flash,,
20.997899999999998,1,4-1,,,
21.09789,2,4-1,,,
21.26454,3,4-1,,,
21.431189999999997,4,4-1,,,
21.49785,5,w4,,,
21.597839999999998,5,4-1,,,
21.93114,1,w1,,,
22.031129999999997,2,w1,,,
22.06446,4,1-2,,,
22.197779999999998,3,w1,,,
22.29777,2,1-2,,,
22.431089999999998,1,1-2,,,
22.53108,5,w1,,,
22.597739999999998,3,1-2,,,
22.76439,5,1-2,,,
22.9977,4,w2,,,
23.231009999999998,2,w2,,,
23.231009999999998,5,2-3,,,
23.36433,1,w2,,,
23.430989999999998,3,2-3,,,
23.56431,MOT_mc_stage_color_00,y-flash,,
23.56431,1,2-3,,,
23.69763,2,2-3,,,
23.89761,4,2-3,,,
24.09759,2,3-4,,,
24.16425,5,w3,,,
24.264239999999997,1,3-4,,,
24.36423,3,w3,,,
24.430889999999998,3,3-4,,,
24.630869999999998,5,3-4,,,
24.79752,1,4-1,,,
24.830849999999998,4,w3,,,
24.93084,2,4-1,,,
25.13082,3,4-1,,,
25.3308,4,3-4,,,
25.53078,5,4-1,,,
25.73076,1,w1,,,
25.864079999999998,2,w1,,,
25.897409999999997,MOT_mc_stage_color_00,y-flash,,
25.897409999999997,2,j1-2,,,
25.897409999999997,3,j1-2,,,
25.897409999999997,4,j4-1,,,
25.897409999999997,5,j1-2,,,
25.897409999999997,1,j1-2,,,
26.43069,1,2-3,,,
26.63067,2,2-3,,,
26.63067,3,2-3,,,
26.63067,4,1-2,,,
26.63067,5,2-3,,,
26.96397,MOT_mc_stage_color_00,y-flash,,
26.96397,1,3-4,,,
27.16395,2,3-4,,,
27.36393,3,3-4,,,
27.56391,5,w3,,,
27.56391,4,2-3,,,
27.56391,5,3-4,,,
27.897209999999998,1,w4,,,
28.097189999999998,2,w4,,,
28.297169999999998,3,w4,,,
28.46382,MOT_mc_stage_color_00,y-flash,,
28.46382,MOT_mc_bg_black_00,b45-65,,
28.46382,MOT_mc_light_center_00,l1,,
28.46382,MOT_mc_light_up_00,l3,,
28.46382,2,lp4,,,
28.46382,3,lp4,,,
