0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,cut1,,
2.63307,MOT_mc_stage_color_00,y-flash,,
2.63307,MOT_mc_bg_black_00,b65-45,,
2.63307,MOT_mc_speaker_00,temp2,,
2.63307,MOT_mc_light_center_00,l2,,
2.63307,MOT_mc_light_under_00,l1,,
2.63307,2,1-2,,,D40
2.63307,3,1-2,,,D40
2.63307,4,1-2,,,D40
2.63307,5,1-2,,,D40
2.63307,1,j1-2,,,D40
2.73306,MOT_control_all,ne_zoom1,,
3.2330099999999997,2,sp2-3,,,
3.2330099999999997,3,sp2-3,,,
3.2330099999999997,4,sp2-3,,,
3.2330099999999997,5,sp2-3,,,
3.2330099999999997,1,sp2-3,,,
3.89961,2,j3-4,,,
3.89961,3,j3-4,,,
3.89961,4,j3-4,,,
3.89961,5,j3-4,,,
3.89961,1,hj3,,,
4.49955,2,sp4-1,,,
4.49955,3,sp4-1,,,
4.49955,4,sp4-1,,,
4.49955,5,sp4-1,,,
4.49955,1,sp3-4,,,
5.23281,1,j4-1,,,
5.43279,2,j1-2,,,
5.6994299999999996,3,j1-2,,,
5.966069999999999,4,j1-2,,,
6.23271,5,j1-2,,,
6.29937,1,w1,,,
6.49935,2,w2,,,
6.5660099999999995,2,sp2-3,,,
6.5660099999999995,3,sp2-3,,,
6.5660099999999995,4,sp2-3,,,
6.5660099999999995,5,sp2-3,,,
6.5660099999999995,1,sp1-2,,,
7.532579999999999,2,j3-4,,,
7.532579999999999,3,j3-4,,,
7.532579999999999,4,j3-4,,,
7.532579999999999,5,j3-4,,,
7.532579999999999,1,j2-3,,,
8.365829999999999,2,lp4,,,
8.365829999999999,3,lp4,,,
8.365829999999999,4,lp4,,,
8.365829999999999,5,lp4,,,
8.365829999999999,1,lp3,,,
9.76569,MOT_control_all,ne_zoom2,,
9.799019999999999,1,3-4,r1,f1,Lbl
10.23231,1,4-1,r2,,
10.598939999999999,1,1-2,rb1,,
10.96557,1,2-3,rb0,,
11.56551,1,j3-4,,,
12.29877,1,4-1,l1,,
12.69873,1,1-2,l2,,
13.06536,1,j2-3,,,
13.531979999999999,1,3-4,lb1,,
13.631969999999999,MOT_all,cut2,,
13.931939999999999,1,4-1,lb0,,
14.73186,1,1-2,l1,,
15.09849,1,j2-3,,,
15.59844,1,3-4,l2,,
16.03173,1,j4-1,,,
16.931639999999998,1,j1-2,,,
17.49825,1,2-3,l3,,
17.93154,1,3-4,l4,,
18.29817,1,4-1,lb3,,
18.86478,1,1-2,lb2,,
19.26474,1,2-3,,,
19.63137,1,3-4,l3,,
19.997999999999998,1,4-1,lb2,,
20.46462,1,j1-2,,,
20.96457,1,2-3,lb1,,
21.36453,1,3-4,l2,,
21.797819999999998,1,j4-1,,,
22.29777,1,1-2,lb1,,
22.53108,4,j4-1,,,
22.73106,2,j4-1,,,
22.93104,1,j2-3,,,
23.13102,3,j4-1,,,
23.331,MOT_control_all,ne_zoom3,,
23.331,5,j4-1,,,
23.46432,1,,,b0,D40
23.59764,4,w1,,,
23.59764,2,1-2,,f1,Lbl
23.830949999999998,3,lp1,,,
23.830949999999998,4,lp1,,,
23.830949999999998,5,lp1,,,
23.830949999999998,1,lp3,,,
24.09759,2,2-3,l1,,
24.464219999999997,2,3-4,l2,,
24.830849999999998,2,sp4-1,,,
25.53078,2,hj1,,,
26.23071,2,1-2,lb1,,
26.663999999999998,2,sp2-3,,,
26.96397,1,j3-4,,,
27.19728,2,j3-4,,,
27.43059,3,j1-2,,,
27.663899999999998,1,j4-1,,,
28.03053,2,4-1,,b0,
28.03053,3,j2-3,,,
28.03053,4,j1-2,,,
28.03053,5,j1-2,,,
28.43049,2,lp1,,,
28.6638,3,lp3,,,
28.6638,4,lp2,,,
28.6638,5,lp2,,,
28.6638,1,1-2,lb0,f1,Lbl
28.897109999999998,2,,,,D40
29.19708,1,2-3,r1,,
29.697029999999998,1,3-4,rb0,,
30.130319999999998,1,4-1,l1,,
30.59694,1,hj1,,,
30.63027,2,j1-2,,,
30.63027,3,j3-4,,,
30.63027,4,j2-3,,,
30.63027,5,j2-3,,,
31.09689,2,lp2,,,
31.09689,3,lp4,,,
31.09689,4,lp3,,,
31.09689,5,lp3,,,
31.43019,1,1-2,,,
31.79682,1,2-3,,,
32.19678,1,sp3-4,,,
32.76339,2,j2-3,,,
32.76339,1,j4-1,,,
32.93004,3,j4-1,,,
33.096689999999995,4,j3-4,,,
33.26334,5,j3-4,,,
33.62997,2,sp3-4,,,
33.62997,3,sp1-2,,,
33.62997,4,sp4-1,,,
33.62997,5,sp4-1,,,
33.62997,1,sp1-2,,,
34.329899999999995,MOT_control_all,ne_zoom4,,
34.42989,MOT_mc_light_center_00,l3,,
34.42989,2,lp4,,,
34.42989,3,lp2,,,
34.42989,4,1-2,,f1,Lbl
34.42989,5,lp1,,,
34.42989,1,,,b0,
34.82985,4,j2-3,,,
34.82985,1,lp2,,,
35.3298,4,,,b0,
35.3298,1,,,,D40
35.79642,4,lp3,,,
36.329699999999995,4,,,,D40
37.06296,MOT_control_all,ne_zoom5,,
37.129619999999996,2,4-1,,,
37.129619999999996,3,2-3,l1,f1,Lbl
37.129619999999996,4,3-4,,,
37.129619999999996,5,1-2,,,
37.129619999999996,1,2-3,,,
37.562909999999995,2,lp1,,,
37.562909999999995,3,3-4,lb0,,
37.562909999999995,4,lp4,,,
37.562909999999995,5,lp2,,,
37.562909999999995,1,lp3,,,
38.19618,3,,,b0,
38.49615,3,w4,,,
38.69613,3,lp4,,,
39.129419999999996,3,,,,D40
39.562709999999996,MOT_control_all,ne_zoom6,,
