time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image,,,,,
0,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Uhoi,1,0,,,,,
2.790698,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,172,0,,,,,
8.372093,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,344,0,,,,,
8.546512,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,0,,,,,
9.767442,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,172,0,,,,,
22.165581,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,344,2,,0.0872,,22.325581,-0.16
22.252781,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,2,,,,22.412781,
22.39814,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,344,2,,0.145359,,22.55814,
22.48534,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,2,,,,22.64534,
22.630698,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,344,2,,,,22.790698,
22.717898,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,2,,,,22.877898,
22.863256,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,344,2,,,,23.023256,
22.950456,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,2,,,,23.110456,
23.095814,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,344,2,,,,23.255814,
23.183014,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,2,,,,23.343014,
23.328372,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,344,2,,,,23.488372,
23.415572,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,2,,,,23.575572,
23.560931,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,344,2,,,,23.720931,
23.648131,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,2,,,,23.808131,
34.883721,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,172,0,,,,,
43.255814,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Uhoi,26.46153846,0,,,,,
45.523256,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Uhoi,172,8,,,,,
45.872093,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Uhoi,26.46153846,0,,,,,
48.488372,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,0,,,,,
48.837209,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,172,0,,,,,
52.325581,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,172,0,,,,,
86.511628,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Uhoi,57.33333333,0,,,,,
87.55814,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Uhoi,172,8,,,,,
87.906977,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Uhoi,24.57142857,0,,,,,
90.348837,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,0,,,,,
90.697674,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,172,0,,,,,
136.744186,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,172,0,,,,,
138.837209,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Uhoi,43,0,,,,,
140.232558,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,0,,,,,
140.755814,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Oioi,344,2,,,,,
140.930233,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Pause,1,2,,,,,
143.72093,Uhoi,5,Random5,Blue04,White02,Purple01,Orange04,Red02,,,,,,Bye,350,0,,,,,
