0.03333,MOT_all,re_cut01,,
0.03333,MOT_control_all,re_01,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_light_center_00,l1,,
0.03333,MOT_mc_light_under_00,l1,,
0.03333,1,,,,D100
0.03333,2,,,,D100
0.03333,3,,,,D100
0.03333,4,,,,D100
0.03333,5,,,,D100
0.03333,2,,,b-1,
0.03333,3,,,b-1,
0.03333,4,,,b-1,
0.03333,5,,,b-1,
3.2330099999999997,1,1-2,,,
3.2330099999999997,2,1-2,,,
3.2330099999999997,3,1-2,,,
3.2330099999999997,4,1-2,,,
3.2330099999999997,5,1-2,,,
3.4329899999999998,MOT_mc_stage_color_00,r-flash,,
3.4663199999999996,MOT_mc_light_center_00,l2,,
3.4663199999999996,MOT_mc_speaker_00,temp2,,
3.4663199999999996,1,,,,D40
3.4663199999999996,2,,,,D40
3.4663199999999996,3,,,,D40
3.4663199999999996,4,,,,D40
3.4663199999999996,5,,,,D40
3.59964,1,,,,D80
3.59964,2,,,,D80
3.59964,3,,,,D80
3.59964,4,,,,D80
3.59964,5,,,,D80
3.59964,1,2-3,,,
3.59964,2,2-3,,,
3.59964,3,2-3,,,
3.59964,4,2-3,,,
3.59964,5,2-3,,,
3.8662799999999997,MOT_mc_stage_color_00,y-flash,,
3.93294,1,,,,D40
3.93294,2,,,,D40
3.93294,3,,,,D40
3.93294,4,,,,D40
3.93294,5,,,,D40
3.9996,1,3-4,,,
3.9996,2,3-4,,,
3.9996,3,3-4,,,
3.9996,4,3-4,,,
3.9996,5,3-4,,,
4.06626,1,,,,D80
4.06626,2,,,,D80
4.06626,3,,,,D80
4.06626,4,,,,D80
4.06626,5,,,,D80
4.3328999999999995,MOT_mc_stage_color_00,b-flash,,
4.39956,1,,,,D40
4.39956,2,,,,D40
4.39956,3,,,,D40
4.39956,4,,,,D40
4.39956,5,,,,D40
4.4328899999999996,1,4-1,,,
4.4328899999999996,2,4-1,,,
4.4328899999999996,3,4-1,,,
4.4328899999999996,4,4-1,,,
4.4328899999999996,5,4-1,,,
4.53288,1,,,,D80
4.53288,2,,,,D80
4.53288,3,,,,D80
4.53288,4,,,,D80
4.53288,5,,,,D80
4.76619,MOT_mc_stage_color_00,y-flash,,
4.83285,MOT_control_all,re_02,,
4.83285,1,,,,D40
4.83285,2,,,,D40
4.83285,3,,,,D40
4.83285,4,,,,D40
4.83285,5,,,,D40
4.86618,1,j1-2,,,
4.86618,2,j1-2,,,
4.86618,3,j1-2,,,
4.86618,4,j1-2,,,
4.86618,5,j1-2,,,
4.96617,1,,,,D80
4.96617,2,,,,D80
4.96617,3,,,,D80
4.96617,4,,,,D80
4.96617,5,,,,D80
5.16615,MOT_mc_stage_color_00,r-flash,,
5.23281,MOT_mc_light_up_00,l3,,
5.23281,1,,,,L20
5.23281,2,,,,L20
5.23281,3,,,,L20
5.23281,4,,,,L20
5.23281,5,,,,L20
5.26614,MOT_mc_bg_black_00,b80-65,,
5.2994699999999995,1,lp2,,,
5.2994699999999995,2,lp2,,,
5.2994699999999995,3,lp2,,,
5.2994699999999995,4,lp2,,,
5.2994699999999995,5,lp2,,,
7.89921,2,2-3,,,
7.89921,3,2-3,,,
7.89921,4,2-3,,,
7.89921,5,2-3,,,
7.89921,1,j2-3,,,
8.39916,1,j3-4,,,
8.39916,2,j3-4,,,
8.39916,3,j3-4,,,
8.39916,4,j3-4,,,
8.39916,5,j3-4,,,
8.73246,MOT_mc_stage_color_00,r-flash,,
8.79912,1,lp4,,,
8.79912,2,lp4,,,
8.79912,3,lp4,,,
8.79912,4,lp4,,,
8.79912,5,lp4,,,
9.23241,1,,l1,,
9.23241,2,,l1,,
9.23241,3,,l1,,
9.23241,4,,l1,,
9.23241,5,,l1,,
9.6657,1,,l2,,
9.6657,2,,l2,,
9.6657,3,,l2,,
9.6657,4,,l2,,
9.6657,5,,l2,,
10.06566,1,j4-1,,,
10.06566,2,j4-1,,,
10.06566,3,j4-1,,,
10.06566,4,j4-1,,,
10.06566,5,j4-1,,,
10.63227,1,1-2,lb1,,
10.63227,2,1-2,lb1,,
10.63227,3,1-2,lb1,,
10.63227,4,1-2,lb1,,
10.63227,5,1-2,lb1,,
11.36553,1,2-3,l2,,
11.36553,2,2-3,l2,,
11.36553,3,2-3,l2,,
11.36553,4,2-3,l2,,
11.36553,5,2-3,l2,,
11.69883,1,lp3,,,
11.69883,2,lp3,,,
11.69883,3,lp3,,,
11.69883,4,lp3,,,
11.69883,5,lp3,,,
11.9988,1,j3-4,,,
11.9988,2,j3-4,,,
11.9988,3,j3-4,,,
11.9988,4,j3-4,,,
11.9988,5,j3-4,,,
12.26544,MOT_mc_stage_color_00,r-flash,,
12.332099999999999,1,lp4,,,
12.332099999999999,2,lp4,,,
12.332099999999999,3,lp4,,,
12.332099999999999,4,lp4,,,
12.332099999999999,5,lp4,,,
13.39866,1,sp4-1,,,
13.39866,2,sp4-1,,,
13.39866,3,sp4-1,,,
13.39866,4,sp4-1,,,
13.39866,5,sp4-1,,,
14.53188,1,sj1,,,
14.53188,2,sj1,,,
14.53188,3,sj1,,,
14.53188,4,sj1,,,
14.53188,5,sj1,,,
14.93184,1,j1-2,,,
14.93184,2,j1-2,,,
14.93184,3,j1-2,,,
14.93184,4,j1-2,,,
14.93184,5,j1-2,,,
15.29847,1,hj2,,,
