0.03333,MOT_control_all,hare1,,
0.03333,MOT_all,hare_cut1,,
2.3997599999999997,1,1-2,,,
2.3997599999999997,2,1-2,,,
2.3997599999999997,3,1-2,,,
2.73306,1,sp2-3,,,
2.73306,2,sp2-3,,,
2.73306,3,sp2-3,,,
3.83295,1,j3-4,,,
3.83295,2,j3-4,,,
3.83295,3,j3-4,,,
4.16625,1,sp4-1,,,
4.16625,2,sp4-1,,,
4.16625,3,sp4-1,,,
5.26614,2,1-2,,,
5.26614,3,1-2,,,
5.4994499999999995,1,1-2,,,
5.79942,1,sj2,,,
5.79942,2,sj2,,,
5.79942,3,sj2,,,
6.166049999999999,1,lp2,,,
6.166049999999999,2,lp2,,,
6.166049999999999,3,lp2,,,
6.8659799999999995,1,2-3,,,
6.8659799999999995,2,2-3,,,
6.8659799999999995,3,2-3,,,
7.26594,1,3-4,,,
7.26594,2,3-4,,,
7.26594,3,3-4,,,
7.6659,1,4-1,,,
7.6659,2,4-1,,,
7.6659,3,4-1,,,
7.9992,1,hj1,,,
7.9992,2,hj1,,,
7.9992,3,hj1,,,
8.59914,1,lp1,,,
8.59914,2,lp1,,,
8.59914,3,lp1,,,
9.26574,1,sj1,,,
9.56571,2,sj1,,,
9.56571,3,sj1,,,
9.76569,1,w1,,,
9.899009999999999,1,sj1,,,
10.06566,2,w1,,,
10.06566,3,w1,,,
10.13232,2,sj1,,,
10.13232,3,sj1,,,
10.398959999999999,1,w1,,,
10.43229,1,sj1,,,
10.63227,2,w1,,,
10.63227,3,w1,,,
10.76559,1,1-2,,,
10.76559,2,1-2,,,
10.76559,3,1-2,,,
11.13222,1,j2-3,,,
11.13222,2,j2-3,,,
11.13222,3,j2-3,,,
11.49885,1,lp3,,,
11.49885,2,lp3,,,
11.49885,3,lp3,,,
12.6654,3,3-4,,,
12.69873,1,3-4,,,
12.732059999999999,2,3-4,,,
13.16535,1,j4-1,,,
13.16535,2,j4-1,,,
13.16535,3,j4-1,,,
13.49865,1,1-2,,,
13.49865,2,1-2,,,
13.49865,3,1-2,,,
13.865279999999998,1,lp2,,,
13.865279999999998,2,lp2,,,
13.865279999999998,3,lp2,,,
14.39856,2,2-3,,,
14.43189,1,2-3,,,
14.465219999999999,3,2-3,,,
14.79852,1,sj3,,,
14.79852,2,sj3,,,
14.79852,3,sj3,,,
15.09849,1,3-4,,,
15.09849,2,3-4,,,
15.09849,3,3-4,,,
15.43179,1,4-1,,,
15.43179,2,4-1,,,
15.43179,3,4-1,,,
15.79842,1,sj1,,,
15.79842,2,sj1,,,
15.79842,3,sj1,,,
16.131719999999998,1,j1-2,,,
16.131719999999998,2,j1-2,,,
16.131719999999998,3,j1-2,,,
16.49835,2,lp2,,,
16.49835,3,lp2,,,
16.49835,1,2-3,,f1,
16.731659999999998,MOT_control_all,hare2,,
16.96497,1,3-4,r1,,
17.331599999999998,1,4-1,,,
17.69823,1,1-2,rb0,,
18.23151,1,,l1,,
18.564809999999998,1,2-3,lb0,,
19.09809,1,j3-4,,,
19.46472,1,lp4,,,
19.83135,1,4-1,,,
20.49795,1,j1-2,,,
20.86458,1,lp2,,,
21.197879999999998,1,2-3,,,
21.53118,1,3-4,,,
21.86448,1,j4-1,,,
22.26444,1,1-2,,,
22.597739999999998,2,j2-3,,,
22.597739999999998,3,j2-3,,,
22.597739999999998,1,lp2,,,
23.19768,2,j3-4,,,
23.19768,3,j3-4,,,
23.26434,1,2-3,,,
23.59764,2,lp4,,,
23.59764,3,lp4,,,
23.59764,1,lp3,,,
23.96427,1,3-4,,,
24.29757,1,lp4,,,
24.69753,1,j4-1,,,
24.9975,2,j4-1,,,
24.9975,3,j4-1,,,
25.36413,2,lp1,,,
25.36413,3,lp1,,,
25.36413,1,j1-2,,,
25.36413,1,,,b0,
25.897409999999997,1,j2-3,,,
25.897409999999997,2,j1-2,,,
25.897409999999997,3,j1-2,,,
26.43069,2,j2-3,,,
26.53068,1,j3-4,,,
26.63067,3,j2-3,,,
26.76399,2,j3-4,,,
26.863979999999998,1,j4-1,,,
26.96397,3,j3-4,,,
27.097289999999997,2,j4-1,,,
27.19728,1,j1-2,,,
27.53058,2,1-2,,f1,
27.53058,1,j2-3,,,
27.53058,3,j4-1,,,
27.730559999999997,MOT_control_all,hare3,,
27.897209999999998,1,lp3,,,
27.897209999999998,3,lp1,,,
28.097189999999998,2,2-3,r1,,
28.46382,2,3-4,,,
28.83045,2,4-1,rb0,,
29.36373,2,1-2,,,
29.697029999999998,2,j2-3,,,
30.23031,2,j3-4,,,
30.59694,2,lp4,,,
31.63017,2,j4-1,,,
31.9968,2,lp1,,,
32.3301,2,1-2,,,
32.663399999999996,2,2-3,,,
32.9967,2,j3-4,,,
33.39666,2,4-1,,,
33.72996,1,3-4,,,
33.72996,3,1-2,,,
33.72996,2,lp1,,,
34.329899999999995,1,4-1,,,
34.329899999999995,3,2-3,,,
34.39656,2,1-2,,,
34.663199999999996,1,lp1,,,
34.663199999999996,3,lp3,,,
34.729859999999995,2,lp2,,,
35.096489999999996,2,2-3,,,
35.42979,2,lp3,,,
35.76309,2,j3-4,,,
36.19638,2,sj4,,,
36.62967,2,,,b0,
36.696329999999996,2,w4,,,
36.696329999999996,MOT_control_all,hare4,,
37.02963,1,1-2,,,
37.02963,2,4-1,,,
37.02963,3,3-4,,,
37.02963,3,,,f1,
37.39626,3,4-1,,,
37.39626,2,sort,-500,
37.39626,1,sort,-500,
37.76289,3,sj1,,,
37.962869999999995,2,w1,,,
37.962869999999995,1,w2,,,
38.16285,3,sj1,,,
38.56281,MOT_all,hare_cut2,,
38.59614,3,j1-2,,,
38.96277,3,lp2,,,
39.995999999999995,1,2-3,,,
39.995999999999995,2,1-2,,,
39.995999999999995,3,j2-3,,,
40.362629999999996,3,lp3,,,
40.92924,2,w2,,,
40.92924,1,w3,,,
41.36253,3,j3-4,,,
41.72916,3,lp4,,,
42.89571,3,4-1,,,
43.195679999999996,MOT_mc_light_up_00,l1,,
43.39566,3,1-2,,,
43.39566,3,,,b0,
43.39566,2,sort,-500,
43.39566,1,sort,-500,
43.76229,2,j2-3,,,
43.76229,3,j2-3,,,
43.76229,1,3-4,,f1,
43.76229,2,sort,-500,
43.76229,1,sort,-500,
44.12892,1,j4-1,,,
44.12892,2,j3-4,,,
44.12892,3,j3-4,,,
44.49555,1,lp1,,,
44.49555,2,lp4,,,
