0.03333,MOT_control_all,g_zoom1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,g_cut1,,
0.03333,2,,,,D20
0.03333,3,,,,D20
0.03333,4,,,,D20
0.03333,5,,,,D20
0.03333,1,,,,D20
3.1330199999999997,MOT_mc_stage_color_00,y-flash,,
3.1330199999999997,MOT_mc_bg_black_00,gb80-45,,
3.1330199999999997,2,lp1,,,
3.1330199999999997,3,lp1,,,
3.1330199999999997,4,lp1,,,
3.1330199999999997,5,lp1,,,
3.1330199999999997,1,lp1,,,
3.89961,MOT_control_all,g_zoom2,,
4.0329299999999995,4,1-2,,,
4.1329199999999995,2,1-2,,,
4.2329099999999995,1,1-2,,,
4.29957,3,1-2,,,
4.39956,5,1-2,,,
4.6662,1,j2-3,,,
4.799519999999999,2,2-3,,,
4.799519999999999,3,2-3,,,
4.96617,4,2-3,,,
4.96617,5,2-3,,,
5.3328,4,3-4,,,
5.3328,5,3-4,,,
5.4994499999999995,2,3-4,,,
5.4994499999999995,3,3-4,,,
5.63277,1,3-4,,,
5.9994,1,4-1,,,
6.23271,2,4-1,,,
6.23271,3,4-1,,,
6.266039999999999,5,w4,,,
6.266039999999999,4,w4,,,
6.466019999999999,4,4-1,,,
6.466019999999999,5,4-1,,,
6.89931,4,1-2,,,
6.89931,5,1-2,,,
6.932639999999999,1,w1,,,
7.132619999999999,2,1-2,,,
7.132619999999999,3,1-2,,,
7.36593,1,1-2,,,
7.732559999999999,4,2-3,,,
7.8325499999999995,5,w2,,,
7.9992,2,2-3,,,
8.065859999999999,3,w2,,,
8.265839999999999,1,2-3,,,
8.53248,3,2-3,,,
8.665799999999999,4,w3,,,
8.79912,5,2-3,,,
8.93244,2,w3,,,
9.13242,1,sp3-4,,,
9.43239,2,j3-4,,,
9.43239,3,j3-4,,,
9.699029999999999,4,j3-4,,,
9.699029999999999,5,j3-4,,,
9.96567,1,j4-1,,,
10.198979999999999,2,4-1,,,
10.198979999999999,3,4-1,,,
10.43229,4,4-1,,,
10.43229,5,4-1,,,
10.6656,1,1-2,,,
10.898909999999999,4,1-2,l1,,
10.898909999999999,5,1-2,r1,,
11.13222,3,w1,,,
11.13222,2,1-2,l1,,
11.13222,3,1-2,r1,,
11.36553,1,j2-3,,,
11.59884,2,2-3,lb0,,
11.59884,3,2-3,rb0,,
11.832149999999999,5,w2,,,
11.832149999999999,4,2-3,lb0,,
