0.03333,MOT_control_all,b_zoom1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,cut1,,
0.03333,2,,,,D20
0.03333,3,,,,D20
0.03333,4,,,,D20
0.03333,5,,,,D20
0.03333,1,,,,D20
3.29967,2,lp1,,,
3.29967,3,lp1,,,
3.29967,4,lp1,,,
3.29967,5,lp1,,,
3.29967,1,lp1,,,
6.066059999999999,MOT_mc_bg_black_00,b80-45,,
6.066059999999999,1,1-2,,f1,Lbl
6.09939,MOT_control_all,b_zoom2,,
6.466019999999999,1,2-3,,,
6.83265,1,j3-4,,,
7.36593,1,4-1,,,
7.76589,1,1-2,,,
8.23251,1,hj2,,,
9.03243,1,2-3,,,
9.39906,1,sp3-4,,,
10.998899999999999,1,4-1,,,
11.832149999999999,4,1-2,,,
11.932139999999999,1,w1,,,
11.96547,2,1-2,,,
12.09879,1,1-2,,,
12.232109999999999,3,1-2,,,
12.36543,5,1-2,,,
12.69873,1,sp2-3,,,
12.76539,4,w2,,,
12.89871,2,w2,,,
13.06536,5,2-3,,,
13.16535,3,w2,,,
13.19868,3,2-3,,,
13.331999999999999,1,3-4,,,
13.46532,2,2-3,,,
13.59864,4,2-3,,,
13.9986,5,w3,,,
13.9986,1,j4-1,,,
14.13192,3,w3,,,
14.3319,2,j3-4,,,
14.3319,3,j3-4,,,
14.53188,4,w3,,,
14.765189999999999,4,j3-4,,,
14.765189999999999,5,j3-4,,,
15.065159999999999,1,w1,,,
15.165149999999999,2,sp4-1,,,
15.165149999999999,3,sp4-1,,,
15.165149999999999,4,sp4-1,,,
15.165149999999999,5,sp4-1,,,
15.165149999999999,1,sp1-2,,,
16.19838,5,1-2,,,
16.39836,3,1-2,,,
16.59834,1,2-3,,,
16.79832,2,1-2,,,
16.9983,4,1-2,,,
17.131619999999998,5,w2,,,
17.19828,2,2-3,,,
17.331599999999998,3,w2,,,
17.39826,1,3-4,,,
17.59824,3,2-3,,,
17.79822,5,2-3,,,
17.93154,4,w2,,,
18.06486,2,sp3-4,,,
18.06486,3,sp3-4,,,
18.06486,4,sp2-3,,,
18.06486,5,sp3-4,,,
18.06486,1,sp4-1,,,
19.09809,MOT_control_all,b_zoom3,,
19.198079999999997,2,4-1,,,
19.198079999999997,3,4-1,,,
19.198079999999997,4,3-4,,,
19.198079999999997,5,4-1,,,
19.198079999999997,1,1-2,,,
19.93134,1,j2-3,,,
