0.03333,MOT_control_all,l_zoom1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,l_cut1,,
0.03333,2,,,,D20
0.03333,3,,,,D20
0.03333,4,,,,D20
0.03333,5,,,,D20
0.03333,1,,,,D20
4.49955,MOT_control_all,l_zoom2,,
4.53288,MOT_mc_stage_color_00,b-flash,,
4.53288,MOT_mc_bg_black_00,gb80-65,,
4.53288,2,lp1,,,
4.53288,3,lp1,,,
4.53288,4,lp1,,,
4.53288,5,lp1,,,
4.53288,1,lp1,,,
5.56611,2,1-2,l1,,
5.56611,3,1-2,r1,,
5.56611,4,1-2,l1,,
5.56611,5,1-2,r1,,
5.56611,1,j1-2,,,
6.03273,1,2-3,l1,,
6.39936,1,3-4,lb0,,
6.49935,5,w2,,,
6.49935,4,w2,,,
6.49935,3,w2,,,
6.49935,2,w2,,,
6.79932,2,2-3,lb0,,
6.79932,3,2-3,rb0,,
6.79932,4,2-3,lb0,,
6.79932,5,2-3,rb0,,
6.9659699999999996,1,sp4-1,,,
7.16595,2,lp3,,,
7.16595,3,lp3,,,
7.16595,4,lp3,,,
7.16595,5,lp3,,,
8.13252,1,j1-2,,,
8.39916,2,j3-4,,,
8.39916,3,j3-4,,,
8.69913,4,j3-4,,,
8.69913,5,j3-4,,,
9.19908,1,w2,,,
9.26574,2,j4-1,,,
9.26574,3,j4-1,,,
9.26574,4,j4-1,,,
9.26574,5,j4-1,,,
9.26574,1,hj2,,,
10.3323,5,w1,,,
10.3323,4,w1,,,
10.3323,3,w1,,,
10.3323,2,w1,,,
10.498949999999999,1,w2,,,
10.56561,2,j1-2,,,
10.56561,3,j1-2,,,
10.56561,4,j1-2,,,
10.56561,5,j1-2,,,
10.56561,1,hj2,,,
11.63217,5,w2,,,
11.63217,4,w2,,,
11.63217,3,w2,,,
11.63217,2,w2,,,
11.69883,2,lp2,,,
11.69883,3,lp2,,,
11.69883,4,lp2,,,
11.69883,5,lp2,,,
11.69883,1,j2-3,,,
12.76539,1,w3,,,
12.932039999999999,4,2-3,,,
13.032029999999999,2,2-3,,,
13.132019999999999,1,3-4,,,
13.232009999999999,3,2-3,,,
13.331999999999999,5,2-3,,,
13.69863,2,j3-4,,,
13.69863,3,j3-4,,,
13.69863,4,j3-4,,,
13.69863,5,j3-4,,,
13.865279999999998,1,hj4,,,
14.19858,MOT_control_all,l_zoom3,,
14.19858,4,j4-1,,,
