0.03333,MOT_control_all,c1,,
0.03333,MOT_all,cut1,,
2.6997299999999997,1,1-2,,,
2.6997299999999997,2,1-2,,,
2.6997299999999997,3,1-2,,,
2.96637,MOT_mc_stage_color_00,r-flash,,
3.63297,3,w2,,,
3.63297,2,w2,,,
3.63297,1,w2,,,
3.6662999999999997,2,2-3,,,
4.3328999999999995,3,2-3,,,
4.59954,2,w3,,,
5.16615,1,2-3,lw2,,
5.26614,3,w3,,,
5.83275,2,3-4,lw2,,
6.09939,1,w3,,,
6.49935,3,3-4,lw2,,
6.7659899999999995,2,w4,,,
7.332599999999999,1,3-4,lb1,,
7.432589999999999,3,w4,,,
7.6659,1,4-1,lb0,,
7.9992,2,4-1,lb1,,
8.3325,2,1-2,lb0,,
8.59914,1,w1,,,
8.665799999999999,3,4-1,lb1,,
8.89911,MOT_mc_stage_color_00,y-flash,,
8.9991,3,1-2,lb0,,
9.26574,2,w2,,,
9.49905,1,1-2,lw2,,
9.699029999999999,MOT_mc_stage_color_00,b-flash,,
9.93234,3,w2,,,
10.16565,2,2-3,lw2,,
10.43229,1,w2,,,
10.498949999999999,MOT_mc_stage_color_00,r-flash,,
10.83225,3,2-3,lw2,,
11.098889999999999,2,w3,,,
11.23221,MOT_mc_stage_color_00,y-flash,,
11.6655,1,2-3,lb1,,
11.76549,3,w3,,,
12.032129999999999,MOT_mc_stage_color_00,b-flash,,
12.132119999999999,2,3-4,lb1,,
12.432089999999999,3,3-4,lb1,,
12.432089999999999,1,3-4,lb0,b-1,
12.732059999999999,2,4-1,lb0,b-1,
13.032029999999999,3,4-1,lb0,b-1,
13.032029999999999,1,sp4-1,,,
13.26534,MOT_mc_stage_color_00,b-flash,,
13.331999999999999,2,1-2,,f0,
13.56531,MOT_mc_stage_color_00,b-flash,,
13.631969999999999,3,1-2,,f0,
13.931939999999999,1,1-2,,f0,
14.03193,MOT_mc_stage_color_00,b-flash,,
14.265239999999999,2,w2,,,
14.565209999999999,3,w2,,,
14.865179999999999,1,w2,,,
14.89851,MOT_mc_bg_black_00,b25-0,,
15.29847,MOT_mc_stage_color_00,b-flash,,
15.3318,1,j2-3,,f1,
15.665099999999999,2,j2-3,,,
15.9984,3,j2-3,,,
16.26504,1,j3-4,,,
16.731659999999998,2,w3,,,
16.83165,1,hj4,,,
17.06496,3,w3,,,
17.331599999999998,3,j3-4,,,
17.6649,2,j3-4,,,
17.83155,1,4-1,lw2,,
18.39816,3,w4,,,
18.53148,3,4-1,lw2,,
18.73146,2,w4,,,
18.764789999999998,1,w1,,,
19.26474,2,4-1,lw2,,
19.46472,3,w1,,,
19.997999999999998,1,1-2,lw4,,
20.197979999999998,2,w1,,,
20.73126,3,1-2,lw4,,
20.93124,1,w2,,,
21.46452,2,1-2,lw4,,
21.6645,3,w2,,,
21.831149999999997,1,j2-3,,,
22.16445,2,j2-3,,,
22.49775,3,j2-3,,,
22.831049999999998,1,j3-4,,,
23.231009999999998,2,w3,,,
23.56431,3,w3,,,
23.73096,1,,lb3,,
23.89761,1,w4,,,
23.89761,2,,lb3,,
23.89761,3,,lb3,,
24.064259999999997,1,,lb2,,
24.230909999999998,2,,lb2,,
24.230909999999998,3,,lb2,,
24.39756,1,,lb1,,
24.56421,2,,lb1,,
24.56421,3,,lb1,,
24.73086,1,,lb0,,
24.89751,2,,lb0,,
24.89751,3,,lb0,,
25.09749,1,j4-1,,,
25.43079,3,j3-4,,,
25.76409,2,j3-4,,,
26.064059999999998,1,1-2,,b0,
26.39736,3,4-1,,,
26.39736,1,2-3,,,
26.73066,2,4-1,,,
26.73066,1,3-4,,,
27.063959999999998,2,hj1,,,
27.063959999999998,3,hj1,,,
27.19728,1,j4-1,,f1,
27.59724,MOT_mc_stage_color_00,b-flash,,
27.63057,1,lp1,,,
27.9972,2,j1-2,,,
28.297169999999998,3,w1,,,
28.330499999999997,3,j1-2,,,
28.59714,1,j1-2,,,
29.06376,2,w2,,,
29.16375,1,hj2,,,
29.39706,3,w2,,,
29.6637,3,j2-3,,,
29.997,2,j2-3,,,
30.163649999999997,1,2-3,rw2,,
30.730259999999998,3,w3,,,
30.86358,3,3-4,rw2,,
31.06356,2,w3,,,
31.09689,1,w3,,,
31.59684,2,3-4,rw2,,
31.79682,3,w4,,,
32.3301,1,3-4,rw4,,
32.53008,2,w4,,,
33.063359999999996,3,4-1,rw4,,
33.26334,1,w4,,,
33.79662,2,4-1,rw4,,
33.9966,3,w1,,,
34.16325,1,j4-1,,,
34.49655,2,j1-2,,,
34.82985,3,j1-2,,,
35.16315,1,j1-2,,,
35.56311,2,w2,,,
35.896409999999996,3,w2,,,
36.06306,1,2-3,rb3,,
36.22971,2,2-3,rb3,,
36.22971,3,2-3,rb3,,
36.39636,1,,rb2,,
36.56301,2,,rb2,,
36.56301,3,,rb2,,
36.729659999999996,1,,rb1,,
36.89631,2,,rb1,,
36.89631,3,,rb1,,
36.9963,1,w3,,,
37.06296,1,,rb0,,
37.162949999999995,3,w3,,,
37.162949999999995,2,w3,,,
37.22961,2,,rb0,,
37.22961,3,,rb0,,
37.42959,1,j3-4,,,
37.76289,3,j3-4,,,
38.09619,2,j3-4,,,
38.396159999999995,1,4-1,,,
38.729459999999996,1,1-2,,,
38.82945,3,w4,,,
38.89611,MOT_mc_bg_black_00,b0-45,,
38.89611,MOT_mc_light_under_00,lamp_in,,
38.89611,2,hj4,,,
38.89611,3,hj4,,,
39.06276,1,2-3,lw2,,
39.22941,MOT_mc_stage_color_00,r-flash,,
39.46272,1,3-4,,,
39.82935,1,4-1,,,
40.12932,3,w4,,,
40.12932,2,w4,,,
40.19598,2,4-1,lw2,,
40.19598,3,4-1,lw2,,
40.19598,1,lp1,,,
40.92924,1,1-2,lwb0,,
41.12922,3,w1,,,
41.12922,2,w1,,,
41.6625,2,1-2,lwb0,,
41.6625,3,1-2,lwb0,,
41.86248,1,w2,,,
41.995799999999996,1,j2-3,,,
42.3291,2,j2-3,,,
42.3291,3,j2-3,,,
42.6624,1,j3-4,,,
43.06236,2,j3-4,,b-1,
43.06236,3,j3-4,,b-1,
43.49565,1,j4-1,,,
43.92894,2,j4-1,,,
43.92894,3,j4-1,,,
44.22891,1,sp1-2,,,
44.96217,2,j1-2,,,
44.96217,3,j1-2,,,
44.96217,1,2-3,,,
45.36213,1,3-4,,,
45.76209,2,j2-3,,,
45.76209,3,j2-3,,,
45.76209,1,4-1,,,
46.16205,1,hj1,,,
46.59534,3,hj3,,,
46.828649999999996,2,w3,,,
46.92864,2,hj3,,,
47.261939999999996,1,1-2,,,
47.695229999999995,2,3-4,,,
47.82855,3,w3,,,
48.095189999999995,3,3-4,,,
48.095189999999995,1,j2-3,,,
48.528479999999995,1,j3-4,,b0,
48.62847,2,w4,,,
48.82845,2,4-1,,,
48.82845,3,4-1,,,
49.12842,1,hj4,,,
49.761689999999994,3,w1,,,
49.761689999999994,2,w1,,,
49.89501,1,sp4-1,,,
50.22831,2,sp1-2,,,
50.22831,3,sp1-2,,,
50.76159,1,1-2,,,
51.16155,2,j2-3,,,
51.16155,3,j2-3,,,
51.16155,1,j2-3,,f1,
51.22821,MOT_control_all,c2,,
51.328199999999995,MOT_mc_stage_color_00,b-flash,,
51.361529999999995,MOT_mc_bg_black_00,b45-0,,
51.361529999999995,MOT_mc_light_under_00,lamp_end,,
51.56151,1,3-4,,,
51.89481,1,4-1,,,
52.22811,3,w3,,,
52.22811,2,3-4,,f0,
52.22811,3,3-4,,f0,
52.22811,1,lp1,,,
52.594739999999994,1,1-2,rw2,,
52.928039999999996,MOT_mc_stage_color_00,flash2,,
52.961369999999995,2,4-1,rw2,,
52.961369999999995,3,4-1,rw2,,
53.26134,MOT_mc_stage_color_00,flash2,,
53.361329999999995,1,2-3,rw4,,
53.62797,MOT_mc_stage_color_00,scene-in,,
53.727959999999996,2,1-2,rw4,,
53.727959999999996,3,1-2,rw4,,
54.09459,1,j3-4,,,
54.46122,3,j2-3,,,
54.6612,2,w2,,,
54.82785,2,j2-3,,,
55.16115,1,j4-1,,,
55.461119999999994,3,j3-4,,,
55.827749999999995,2,j3-4,,,
56.06106,1,1-2,rb3,,
56.06106,2,4-1,rb3,,
56.06106,3,4-1,rb3,,
56.3277,MOT_mc_stage_color_00,flash2,,
56.42769,1,2-3,rb2,,
56.42769,2,1-2,rb2,,
56.42769,3,1-2,rb2,,
56.69433,MOT_mc_stage_color_00,flash2,,
56.79432,1,3-4,rb1,,
56.79432,2,2-3,rb1,,
56.79432,3,2-3,rb1,,
57.060959999999994,MOT_mc_stage_color_00,scene-in,,
57.16095,1,4-1,rb0,,
57.16095,2,3-4,rb0,,
57.16095,3,3-4,rb0,,
57.6609,1,j1-2,,,
57.9942,3,j4-1,,,
58.09419,2,w4,,,
58.3275,2,j4-1,,,
58.627469999999995,1,hj2,,,
58.96077,3,hj1,,,
58.994099999999996,MOT_mc_stage_color_00,flash2,,
59.29407,2,hj1,,,
59.3274,MOT_mc_stage_color_00,flash2,,
59.69403,MOT_mc_stage_color_00,scene-in,,
59.860679999999995,1,w2,,,
59.96067,3,sp1-2,,,
60.12732,1,j2-3,,,
60.293969999999995,2,sp1-2,,,
60.593939999999996,1,sp3-4,,,
61.62717,1,hj4,,,
62.16045,2,hj2,,,
62.16045,3,hj2,,,
62.49375,1,j4-1,,,
62.86038,2,j2-3,,,
62.86038,3,j2-3,,,
63.19368,1,lp1,,,
63.36033,1,1-2,,,
63.6603,1,2-3,,,
63.926939999999995,3,w3,,,
63.926939999999995,2,w3,,,
64.02693,1,j3-4,,,
64.39356,2,3-4,,,
64.39356,3,3-4,,,
64.76019,1,4-1,lw2,,
65.09349,MOT_mc_stage_color_00,flash2,,
65.12682,2,4-1,lw2,,
65.12682,3,4-1,lw2,,
65.42679,MOT_mc_stage_color_00,flash2,,
65.52678,1,1-2,lw4,,
65.79342,MOT_mc_stage_color_00,scene-in,,
65.89341,2,1-2,lw4,,
65.89341,3,1-2,lw4,,
66.26004,1,j2-3,,,
66.62666999999999,3,j2-3,,,
66.82665,2,w2,,,
66.99329999999999,2,j2-3,,,
67.3266,1,j3-4,,,
67.62657,3,j3-4,,,
67.9932,2,j3-4,,,
68.22650999999999,1,4-1,lb3,,
68.22650999999999,2,4-1,lb3,,
68.22650999999999,3,4-1,lb3,,
68.49315,MOT_mc_stage_color_00,flash2,,
68.59313999999999,1,1-2,lb2,,
68.59313999999999,2,1-2,lb2,,
68.59313999999999,3,1-2,lb2,,
68.82645,MOT_mc_stage_color_00,flash2,,
68.95976999999999,1,2-3,lb1,,
68.95976999999999,2,2-3,lb1,,
68.95976999999999,3,2-3,lb1,,
69.19308,MOT_mc_stage_color_00,scene-in,,
69.32639999999999,1,3-4,lb0,,
69.32639999999999,2,3-4,lb0,,
69.32639999999999,3,3-4,lb0,,
69.82634999999999,1,j4-1,,,
70.15965,3,j4-1,,,
70.25963999999999,2,w4,,,
70.49295,2,j4-1,,,
70.89291,1,w1,,,
70.95957,1,hj1,,,
71.12622,3,hj1,,,
71.19288,MOT_mc_stage_color_00,flash2,,
71.45952,2,hj1,,,
71.49284999999999,1,1-2,,,
71.52618,MOT_mc_stage_color_00,flash2,,
71.82615,1,2-3,,,
71.89281,MOT_mc_stage_color_00,scene-in,,
72.12612,3,sp1-2,,,
72.19278,1,j3-4,,,
72.3261,2,sp1-2,,,
72.59273999999999,1,sp4-1,,,
72.92604,2,j2-3,,,
72.92604,3,j2-3,,,
73.326,2,sp3-4,,,
73.326,3,sp3-4,,,
73.9926,1,hj1,,,
74.32589999999999,3,hj4,,,
74.6592,2,hj4,,,
74.99249999999999,1,j1-2,,,
75.3258,2,j4-1,,,
75.3258,3,j4-1,,,
75.6591,1,lp2,,,
75.82575,1,2-3,,,
75.9924,3,1-2,,f0,
75.9924,2,1-2,,f0,
76.25904,1,3-4,,,
76.69233,1,4-1,,,
76.85898,3,lp2,,,
76.85898,2,lp2,,,
76.9923,2,2-3,,b-1,
76.9923,3,2-3,,b-1,
77.25894,1,hj1,,,
77.59223999999999,2,j3-4,,,
77.59223999999999,3,j3-4,,,
78.22551,1,j1-2,,,
78.55881,2,4-1,,,
78.55881,3,4-1,,,
78.89211,1,2-3,,,
79.25874,1,j3-4,,,
79.49204999999999,3,w1,,,
79.49204999999999,2,w1,,,
79.62536999999999,2,1-2,,,
79.62536999999999,3,1-2,,,
79.99199999999999,1,4-1,rw2,,
80.25864,MOT_mc_stage_color_00,flash2,,
80.35862999999999,2,2-3,rw2,,
80.35862999999999,3,2-3,rw2,,
80.59194,MOT_mc_stage_color_00,flash2,,
80.75859,1,1-2,rw4,,
80.95857,MOT_mc_stage_color_00,scene-in,,
81.12522,2,3-4,rw4,,
81.12522,3,3-4,rw4,,
81.49185,1,j2-3,,,
81.85848,3,j4-1,,,
82.05846,2,w4,,,
82.22511,2,j4-1,,,
82.22511,3,j1-2,,,
82.55841,1,j3-4,,,
82.85838,3,j2-3,,,
83.22501,2,j1-2,,,
83.45832,1,4-1,rb3,,
83.45832,2,2-3,rb3,,
83.45832,3,3-4,rb3,,
83.6583,MOT_mc_stage_color_00,flash2,,
83.82495,1,1-2,rb2,,
83.82495,2,3-4,rb2,,
83.82495,3,4-1,rb2,,
83.99159999999999,MOT_mc_stage_color_00,flash2,,
84.19158,1,2-3,rb1,,
84.19158,2,4-1,rb1,,
84.19158,3,1-2,rb1,,
84.35822999999999,MOT_mc_stage_color_00,scene-in,,
84.55821,1,3-4,rb0,,
84.55821,2,1-2,rb0,,
84.55821,3,2-3,rb0,,
85.05816,1,j4-1,,,
85.39146,3,j3-4,,,
85.49145,2,w2,,,
85.72475999999999,2,j2-3,,,
86.02472999999999,1,hj1,,,
86.32469999999999,MOT_mc_stage_color_00,flash2,,
86.35803,3,hj4,,,
86.658,MOT_mc_stage_color_00,flash2,,
86.69133,2,hj3,,,
87.02463,MOT_mc_stage_color_00,scene-in,,
87.25793999999999,1,w1,,,
87.35793,3,sp4-1,,,
87.45792,1,j1-2,,,
87.69122999999999,2,sp3-4,,,
87.85788,1,sp2-3,,,
88.79111999999999,1,hj3,,,
89.42439,2,hj4,,,
89.42439,3,hj1,,,
89.45772,1,j3-4,,,
90.12432,2,j4-1,,,
90.12432,3,j1-2,,,
90.45761999999999,1,lp4,,,
90.62427,1,4-1,,,
90.92424,1,1-2,,,
91.19087999999999,3,w2,,,
91.19087999999999,2,w1,,,
91.29087,1,j2-3,,,
91.6575,2,1-2,,,
91.6575,3,2-3,,,
92.12411999999999,1,3-4,lw2,,
92.42408999999999,MOT_mc_stage_color_00,flash2,,
92.52408,2,2-3,lw2,,
92.52408,3,3-4,lw2,,
92.75739,MOT_mc_stage_color_00,flash2,,
92.92403999999999,1,4-1,lw4,,
93.12402,MOT_mc_stage_color_00,scene-in,,
93.29066999999999,2,3-4,lw4,,
93.29066999999999,3,4-1,lw4,,
93.65729999999999,1,j1-2,,,
94.02393,3,j1-2,,,
94.22390999999999,2,w4,,,
94.39056,2,j4-1,,,
94.72386,1,j2-3,,,
95.02382999999999,3,j2-3,,,
95.39045999999999,2,j1-2,,,
95.62377,1,3-4,lb3,,
95.62377,2,2-3,lb3,,
95.62377,3,3-4,lb3,,
95.79042,MOT_mc_stage_color_00,flash2,,
95.9904,1,4-1,lb2,,
95.9904,2,3-4,lb2,,
95.9904,3,4-1,lb2,,
96.12371999999999,MOT_mc_stage_color_00,flash2,,
96.35703,1,1-2,lb1,,
96.35703,2,4-1,lb1,,
96.35703,3,1-2,lb1,,
96.49034999999999,MOT_mc_stage_color_00,scene-in,,
96.72366,1,2-3,lb0,,
96.72366,2,1-2,lb0,,
96.72366,3,2-3,lb0,,
97.22361,1,j3-4,,,
97.55691,3,j3-4,,,
97.6569,2,w2,,,
97.89021,2,j2-3,,,
98.19018,1,hj4,,,
98.45682,MOT_mc_stage_color_00,flash2,,
98.52347999999999,3,hj4,,,
98.79012,MOT_mc_stage_color_00,flash2,,
98.85678,2,hj3,,,
98.89010999999999,1,4-1,,,
99.15675,MOT_mc_stage_color_00,scene-in,,
99.35673,1,j1-2,,,
99.52337999999999,3,sp4-1,,,
99.72336,1,sp2-3,,,
99.85668,2,sp3-4,,,
101.25654,1,hj3,,,
101.58984,3,hj1,,,
101.92313999999999,2,hj4,,,
102.25644,1,j3-4,,,
102.58973999999999,2,j4-1,,,
102.58973999999999,3,j1-2,,,
102.92304,1,4-1,,,
103.25634,3,2-3,,,
103.25634,2,1-2,,,
103.58963999999999,1,1-2,,,
103.92294,2,2-3,,,
103.92294,3,3-4,,,
104.25623999999999,1,2-3,,,
104.62286999999999,2,j3-4,,,
104.62286999999999,3,j4-1,,,
104.88951,1,sj3,,,
105.28947,3,1-2,,,
105.28947,1,3-4,,,
105.58944,2,4-1,,,
105.58944,1,4-1,,,
105.85607999999999,1,1-2,,,
106.22270999999999,3,2-3,,f0,
106.22270999999999,2,1-2,,f0,
106.55601,1,2-3,,,
107.08928999999999,3,lp3,,,
107.08928999999999,2,lp2,,,
107.08928999999999,1,3-4,,,
107.22260999999999,2,2-3,,b-1,
107.22260999999999,3,3-4,,b-1,
107.48925,1,hj4,,,
107.82254999999999,2,j3-4,,,
107.82254999999999,3,j4-1,,,
108.18918,1,4-1,,,
108.52248,2,4-1,,,
108.52248,3,1-2,,,
108.52248,1,1-2,,,
108.82244999999999,1,2-3,,,
109.15575,3,2-3,,,
109.15575,2,1-2,,,
109.48904999999999,1,3-4,,,
109.82235,2,2-3,,,
109.82235,3,3-4,,,
110.15565,1,hj4,,,
110.52228,2,j3-4,,,
