0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_special_01,hokori_end,,
2.6997299999999997,MOT_mc_speaker_00,temp4,,
2.6997299999999997,MOT_mc_stage_color_00,b-flash,,
2.6997299999999997,MOT_mc_light_center_00,l1,,
2.6997299999999997,MOT_mc_light_under_00,l1,,
2.7997199999999998,MOT_control_all,zoom01,,
2.83305,1,1-2,,,L20
2.83305,2,1-2,,,L20
2.83305,3,1-2,,,L20
3.09969,1,lp2,,,
3.09969,2,lp2,,,
3.09969,3,lp2,,,
3.4663199999999996,1,sj2,,,
3.4663199999999996,2,sj2,,,
3.4663199999999996,3,sj2,,,
3.7662899999999997,1,j2-3,,,
3.7662899999999997,2,j2-3,,,
3.7662899999999997,3,j2-3,,,
4.2329099999999995,1,3-4,,,
4.2329099999999995,2,3-4,,,
4.2329099999999995,3,3-4,,,
4.53288,1,j4-1,,,
4.53288,2,j4-1,,,
4.53288,3,j4-1,,,
4.93284,1,1-2,,,
4.93284,2,1-2,l1,,
4.93284,3,1-2,r1,,
5.36613,1,2-3,,,
5.36613,2,,l2,,
5.36613,3,,r2,,
5.79942,1,3-4,,,
5.79942,2,2-3,,,
5.79942,3,2-3,,,
6.066059999999999,1,sj4,,,
6.066059999999999,2,sj3,,,
6.066059999999999,3,sj3,,,
6.366029999999999,1,4-1,,,
6.366029999999999,2,3-4,,,
6.366029999999999,3,3-4,,,
6.63267,1,j1-2,,,
6.63267,2,j4-1,,,
6.63267,3,j4-1,,,
7.06596,1,2-3,,,
7.06596,2,,lb1,,
7.06596,3,,rb1,,
7.432589999999999,1,j3-4,,,
7.432589999999999,2,j1-2,,,
7.432589999999999,3,j1-2,,,
7.76589,1,4-1,,,
7.76589,2,2-3,,,
7.76589,3,2-3,,,
8.19918,1,1-2,,,
8.19918,2,3-4,,,
8.19918,3,3-4,,,
8.49915,1,lp2,,,
8.49915,2,lp4,,,
8.49915,3,lp4,,,
9.13242,1,j2-3,,,
9.13242,2,j4-1,,,
9.13242,3,j4-1,,,
9.43239,1,hj3,,,
9.43239,2,hj1,,,
9.43239,3,hj1,,,
