0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.19998,1,,,,D40
0.19998,2,,,,D40
0.19998,3,,,,D40
2.6664,1,1-2,,,
2.6664,2,1-2,,,
2.6664,3,1-2,,,
2.6997299999999997,MOT_mc_light_up_00,14,,
2.6997299999999997,MOT_mc_light_under_00,14,,
2.6997299999999997,MOT_mc_speaker_00,2,,
2.6997299999999997,MOT_mc_stage_color_00,b-flash,,
2.6997299999999997,MOT_mc_bg_black_00,b45-80_2,,
2.96637,1,2-3,,,
2.96637,2,2-3,,,
2.96637,3,2-3,,,
2.96637,MOT_mc_stage_color_00,b-y,,
3.3329999999999997,1,3-4,,,
3.3329999999999997,2,3-4,,,
3.3329999999999997,3,3-4,,,
3.3329999999999997,MOT_mc_stage_color_00,b-r,,
3.6662999999999997,MOT_mc_stage_color_00,y-b,,
3.69963,1,4-1,,,
3.69963,2,4-1,,,
3.69963,3,4-1,,,
4.0329299999999995,MOT_mc_stage_color_00,y-b,,
4.06626,1,1-2,,,
4.06626,2,1-2,,,
4.06626,3,1-2,,,
4.39956,1,2-3,,,
4.39956,2,2-3,,,
4.39956,3,2-3,,,
4.4328899999999996,MOT_mc_stage_color_00,y-r,,
4.73286,1,3-4,,,
4.73286,2,3-4,,,
4.73286,3,3-4,,,
5.03283,MOT_mc_stage_color_00,r-b,,
5.36613,MOT_mc_speaker_00,2,,
5.6661,3,w4,,,
5.6661,2,w4,,,
5.6661,1,w4,,,
6.5660099999999995,1,j4-1,,,
6.5660099999999995,2,j4-1,,,
6.5660099999999995,3,j4-1,,,
7.06596,1,hj1,,,
7.06596,2,hj1,,,
7.06596,3,hj1,,,
7.332599999999999,MOT_mc_speaker_00,3,,
7.332599999999999,MOT_mc_stage_color_00,b-flash,,
7.332599999999999,MOT_mc_bg_black_00,b45-80_2,,
7.76589,1,lp1,,,
7.76589,2,lp1,,,
7.76589,3,lp1,,,
11.89881,1,,,,L0
11.89881,2,,,,L0
11.89881,3,,,,L0
11.89881,1,sj1,,,
11.89881,2,sj1,,,
11.89881,3,sj1,,,
11.9988,MOT_mc_stage_color_00,b-flash,,
12.032129999999999,MOT_mc_bg_black_00,b45-80_2,,
12.132119999999999,1,j1-2,,,
12.132119999999999,2,j1-2,,,
12.132119999999999,3,j1-2,,,
12.29877,MOT_mc_stage_color_00,y-flash,,
