0.03333,MOT_mc_bg_black_00,seat100-0,,
3.0330299999999997,MOT_control_all,z0,,
3.0330299999999997,MOT_mc_back_00,in00,,
7.132619999999999,MOT_all,cut1,,
7.132619999999999,MOT_mc_stage_color_00,y-flash,,
7.132619999999999,MOT_mc_light_center_00,l1,,
7.132619999999999,MOT_mc_light_up_00,l1,,
7.132619999999999,MOT_mc_light_under_00,l1,,
7.132619999999999,MOT_control_all,z0_2,,
7.132619999999999,MOT_mc_light_up_00,l3_lp,,
7.132619999999999,MOT_mc_back_00,in01_2,,
7.19928,1,1-2,,,
7.19928,2,1-2,,,
7.19928,3,1-2,,,
8.13252,3,w2,,,
8.13252,2,w2,,,
8.13252,1,w2,,,
8.69913,1,j2-3,,f1,
8.9991,1,j3-4,,,
9.49905,1,4-1,,,
10.198979999999999,1,sj1,,,
10.46562,1,lp1,,,
11.03223,1,1-2,l1,,
11.76549,1,2-3,lb0,,
12.46542,1,3-4,r1,,
13.19868,1,4-1,r2,,
13.965269999999999,1,1-2,rwb0,,
14.265239999999999,1,,,b0,
14.39856,1,sj2,,,
14.59854,1,2-3,,,
14.59854,2,,,f1,
14.73186,2,2-3,,,
15.39846,2,j3-4,,,
15.53178,1,w3,,,
16.06506,2,4-1,,b0,
16.23171,3,2-3,,f1,
16.56501,3,3-4,l1,,
16.931639999999998,3,4-1,lb0,,
16.9983,2,w1,,,
17.564909999999998,3,1-2,,,
17.83155,3,lp2,,,
18.93144,MOT_mc_stage_color_00,y-flash,,
18.93144,3,j2-3,,,
19.23141,2,sp1-2,,,
19.997999999999998,3,w3,,,
20.3313,3,,,b0,
20.46462,2,sj2,,,
20.46462,3,3-4,,,
20.83125,2,2-3,,,
21.13122,2,lp3,,,
21.397859999999998,3,w4,,,
21.431189999999997,2,j3-4,,,
21.797819999999998,2,lp4,,,
22.231109999999997,2,4-1,,,
23.031029999999998,2,1-2,rw2,,
23.39766,2,lp2,,,
23.76429,2,2-3,rwb0,,
24.13092,2,lp3,,,
24.49755,2,3-4,,,
24.73086,1,lp3,,,
24.73086,2,lp4,,,
24.73086,3,lp4,,,
25.3308,2,j4-1,,,
25.73076,1,j3-4,,,
26.13072,3,j4-1,,,
26.39736,2,w1,,,
26.464019999999998,1,hj4,,,
26.464019999999998,2,hj1,,,
26.464019999999998,3,hj1,,,
26.9973,MOT_all,cut2,,
26.9973,MOT_control_all,z1,,
26.9973,MOT_mc_stage_color_00,y-b,,
27.063959999999998,1,lp4,,,
27.063959999999998,2,lp1,,,
27.063959999999998,3,lp1,,,
29.697029999999998,1,4-1,,,
29.697029999999998,2,1-2,,,
29.697029999999998,3,1-2,,,
29.963669999999997,1,lp1,,,
30.63027,3,w2,,,
30.63027,2,w2,,,
31.06356,1,j1-2,,,
31.43019,1,lp2,,,
32.83005,1,2-3,,,
32.83005,2,j2-3,,,
32.83005,3,j2-3,,,
33.16335,1,j3-4,,,
33.16335,2,3-4,,,
33.16335,3,3-4,,,
33.496649999999995,1,4-1,,,
33.496649999999995,2,j4-1,,,
33.496649999999995,3,j4-1,,,
33.82995,1,j1-2,,,
33.82995,2,1-2,,,
33.82995,3,1-2,,,
34.16325,1,j2-3,,,
34.16325,2,j2-3,,,
34.16325,3,j2-3,,,
34.76319,1,lp3,,,
34.76319,2,lp3,,,
34.76319,3,lp3,,,
35.529779999999995,2,j3-4,,,
36.59634,2,w4,,,
37.162949999999995,3,j3-4,,,
38.22951,3,w4,,,
38.59614,2,4-1,rw2,f1,
38.59614,1,sj3,,,
38.59614,3,sj4,,,
38.6628,MOT_all,cut3,,
38.6628,MOT_mc_light_up_00,l1,,
38.796119999999995,MOT_control_all,z2,,
38.796119999999995,MOT_mc_special_01,c2_f,,
38.96277,2,lp1,,,
39.09609,3,w4,,,
39.09609,1,w3,,,
41.26254,1,j3-4,,,
41.26254,3,j4-1,,,
41.69583,2,1-2,,,
41.962469999999996,2,lp2,,,
42.3291,3,w1,,,
42.3291,1,w4,,,
44.26224,1,j4-1,,,
44.26224,3,j1-2,,,
44.96217,2,2-3,,,
45.228809999999996,2,lp3,,,
45.3288,3,w2,,,
45.3288,1,w1,,,
46.29537,MOT_control_all,z3,,
46.29537,MOT_mc_special_01,c2_f_out,,
46.29537,1,1-2,,f1,
46.29537,2,3-4,,,
46.428689999999996,MOT_all,cut4,,
46.428689999999996,MOT_mc_special_01,all,,
46.56201,1,lp2,,,
46.56201,2,lp4,,,
47.628569999999996,1,w2,,,
47.628569999999996,2,w4,,,
47.628569999999996,3,2-3,,,
47.628569999999996,3,3-4,lw2,f1,
47.728559999999995,MOT_all,cut5,,
47.728559999999995,MOT_control_all,z4,,
47.728559999999995,MOT_mc_special_01,all_out,,
47.89521,MOT_mc_special_01,c3_f,,
47.89521,3,lp4,,,
47.89521,3,lp4,,,
50.6616,MOT_all,cut6,,
50.6616,MOT_control_all,z5,,
50.6616,MOT_mc_special_01,c3_f_out,,
50.82825,MOT_mc_special_01,c1,,
50.86158,1,2-3,,,
51.794819999999994,MOT_all,cut7,,
51.794819999999994,1,w3,,,
51.794819999999994,MOT_control_all,z6,,
51.794819999999994,MOT_mc_special_01,c1_out,,
51.794819999999994,1,3-4,,b0,
51.794819999999994,2,4-1,rwb0,b0,
51.794819999999994,3,4-1,lwb0,b0,
51.92814,MOT_mc_light_up_00,l3_lp,,
51.92814,MOT_mc_back_00,in02,,
52.26144,1,sj4,,,
52.26144,2,sj1,,,
52.26144,3,sj1,,,
52.528079999999996,1,j4-1,,,
52.528079999999996,2,j1-2,,,
52.528079999999996,3,j1-2,,,
52.994699999999995,1,sj1,,,
52.994699999999995,2,sj2,,,
52.994699999999995,3,sj2,,,
53.26134,1,j1-2,,,
53.26134,2,j2-3,,,
53.26134,3,j2-3,,,
53.6613,2,,lw2,,
53.6613,3,,rw2,,
53.727959999999996,1,sj2,,,
54.06126,2,,lwb0,,
54.06126,3,,rwb0,,
54.127919999999996,1,sj2,,,
54.3279,3,w3,,,
54.3279,2,w3,,,
54.42789,1,j2-3,,,
54.42789,2,j3-4,,,
54.42789,3,j3-4,,,
54.89451,1,sj3,,,
54.89451,2,sj4,,,
54.89451,3,sj4,,,
55.09449,1,j3-4,,,
55.09449,2,j4-1,,,
55.09449,3,j4-1,,,
55.827749999999995,1,j4-1,,,
55.827749999999995,2,j1-2,,,
55.827749999999995,3,j1-2,,,
56.660999999999994,1,1-2,l1,,
56.660999999999994,2,2-3,l1,,
56.660999999999994,3,2-3,l1,,
56.994299999999996,1,2-3,lb0,,
56.994299999999996,2,3-4,lb0,,
56.994299999999996,3,3-4,lb0,,
57.3276,1,j3-4,,,
57.3276,2,j4-1,,,
57.3276,3,j4-1,,,
57.6609,1,j4-1,,,
57.6609,2,j1-2,,,
57.6609,3,j1-2,,,
57.9942,1,1-2,,,
58.260839999999995,1,lp2,,,
58.660799999999995,2,sj2,,,
58.660799999999995,3,sj2,,,
58.994099999999996,2,sj2,,,
58.994099999999996,3,sj2,,,
59.427389999999995,1,j2-3,,,
59.427389999999995,2,j2-3,,,
59.427389999999995,3,j2-3,,,
59.76069,1,lp3,,,
59.76069,2,lp3,,,
59.76069,3,lp3,,,
60.12732,1,j3-4,,,
60.12732,2,j3-4,,,
60.12732,3,j3-4,,,
60.727259999999994,1,j4-1,,,
60.727259999999994,2,j4-1,,,
60.727259999999994,3,j4-1,,,
61.22721,1,sj1,,,
61.22721,2,sj1,,,
61.22721,3,sj1,,,
61.72716,3,w1,,,
61.72716,2,w1,,,
61.72716,1,w1,,,
61.76049,2,1-2,,,
61.860479999999995,1,1-2,,,
61.960469999999994,3,1-2,,,
62.06046,3,sp2-3,,,
62.16045,1,sp2-3,,,
62.260439999999996,2,sp2-3,,,
62.660399999999996,MOT_mc_stage_color_00,r-flash,,
62.727059999999994,1,j3-4,,,
62.727059999999994,2,3-4,lw2,,
62.727059999999994,3,3-4,rw2,,
62.92704,MOT_mc_stage_color_00,y-flash,,
63.060359999999996,1,j4-1,,,
63.060359999999996,2,j4-1,,,
63.060359999999996,3,j4-1,,,
63.19368,MOT_mc_stage_color_00,b-flash,,
63.39366,1,j1-2,,,
63.39366,2,j1-2,,,
63.39366,3,j1-2,,,
63.460319999999996,MOT_mc_stage_color_00,r-flash,,
63.72696,MOT_mc_stage_color_00,b-flash,,
63.9936,1,2-3,rw2,,
63.9936,2,2-3,lwb0,,
63.9936,3,2-3,rw4,,
64.62687,1,3-4,rwb0,,
64.62687,2,3-4,lw2,,
64.62687,3,3-4,rwb2,,
65.36013,1,4-1,,,
65.56011,3,w4,,,
65.56011,2,w4,,,
65.59344,2,4-1,,,
65.59344,3,4-1,,,
65.92674,1,1-2,,,
65.92674,2,1-2,,,
65.92674,3,1-2,,,
66.16005,1,j2-3,,,
66.16005,2,j2-3,,,
66.16005,3,j2-3,,,
66.82665,1,3-4,l1,,
66.82665,2,3-4,l3,,
66.82665,3,3-4,rb1,,
67.15995,1,j4-1,,,
67.15995,2,j4-1,,,
67.15995,3,j4-1,,,
67.52658,1,1-2,,,
67.52658,2,1-2,,,
67.52658,3,1-2,,,
67.85988,1,2-3,lb0,,
67.85988,2,2-3,lb2,,
67.85988,3,2-3,r2,,
68.19318,1,j3-4,,,
68.19318,2,j3-4,,,
68.19318,3,j3-4,,,
68.65979999999999,1,j4-1,,,
68.65979999999999,2,j4-1,,,
68.65979999999999,3,j4-1,,,
69.09309,1,sj1,,,
69.09309,2,sj1,,,
69.09309,3,sj1,,,
69.35973,1,j1-2,,,
69.35973,2,j1-2,,,
69.35973,3,j1-2,,,
69.92634,1,j2-3,,,
69.92634,2,j2-3,,,
69.92634,3,j2-3,,,
70.25963999999999,1,lp3,,,
70.25963999999999,2,lp3,,,
70.25963999999999,3,lp3,,,
71.49284999999999,1,3-4,,,
71.49284999999999,2,3-4,,,
71.49284999999999,3,3-4,,,
71.79281999999999,1,sj4,,,
71.79281999999999,2,sj4,,,
71.79281999999999,3,sj4,,,
72.12612,1,sj4,,,
72.12612,2,sj4,,,
72.12612,3,sj4,,,
72.45942,1,sj4,,,
72.45942,2,sj4,,,
72.45942,3,sj4,,,
72.82605,1,4-1,,,
72.82605,2,4-1,,,
72.82605,3,4-1,,,
73.09268999999999,1,lp1,,,
73.09268999999999,2,lp1,,,
73.09268999999999,3,lp1,,,
73.89260999999999,1,sp1-2,,,
73.89260999999999,2,sp1-2,,,
73.89260999999999,3,sp1-2,,,
74.55921,1,j2-3,,,
74.55921,2,j2-3,,,
74.55921,3,j2-3,,,
75.02583,1,lp3,,,
75.02583,2,lp3,,,
75.02583,3,lp3,,,
76.15905,MOT_all,cut8,,
76.15905,MOT_mc_back_00,in02_out,,
76.22570999999999,1,j3-4,,,
76.22570999999999,2,3-4,,f1,
76.22570999999999,3,3-4,,f1,
76.59234,1,lp4,,,
76.59234,2,lp4,,,
76.59234,3,lp4,,,
76.92564,1,j4-1,,,
76.92564,2,j4-1,,,
76.92564,3,j4-1,,,
77.6589,2,1-2,lb1,,
77.6589,3,1-2,rb1,,
77.9922,1,w1,,,
78.35883,1,j1-2,,,
78.35883,2,2-3,lb0,,
78.35883,3,2-3,rb0,,
78.72546,1,lp2,,,
78.72546,2,lp3,,,
78.72546,3,lp3,,,
79.19207999999999,1,j2-3,,,
79.62536999999999,2,j3-4,,,
79.62536999999999,3,j3-4,,,
80.05866,1,j3-4,,,
80.49195,2,j4-1,,,
80.49195,3,j4-1,,,
80.82525,1,sj4,,,
80.82525,2,sj1,,,
80.82525,3,sj1,,,
81.15854999999999,1,sj4,,,
81.15854999999999,2,sj1,,,
81.15854999999999,3,sj1,,,
81.39186,1,4-1,,f1,
81.45852,2,1-2,r1,,
81.45852,3,1-2,l1,,
81.82515,1,lp1,,,
81.82515,2,lp2,,,
81.82515,3,lp2,,,
82.32509999999999,2,,rb0,,
82.32509999999999,3,,lb0,,
82.9917,2,,l1,,
82.9917,3,,r1,,
83.6583,1,1-2,,,
83.6583,2,2-3,,,
83.6583,3,2-3,,,
83.92493999999999,1,2-3,,,
83.92493999999999,2,3-4,,,
83.92493999999999,3,3-4,,,
84.15825,1,j3-4,,,
84.15825,2,j4-1,,,
84.15825,3,j4-1,,,
85.22480999999999,3,w1,,,
85.22480999999999,2,w1,,,
85.22480999999999,1,w4,,,
85.35813,1,sp4-1,,,
85.62477,2,sp1-2,,,
85.89141,3,sp1-2,,,
86.658,1,1-2,,b0,
86.658,2,2-3,,b0,
86.658,3,2-3,,b0,
87.59124,3,w3,,,
87.59124,2,w3,,,
87.59124,1,w2,,,
87.82455,MOT_all,cut9,,
87.82455,MOT_control_all,z7,,
88.02453,1,2-3,,,
88.29117,1,lp3,,,
90.79092,1,3-4,,,
91.05756,1,lp4,,,
94.02393,1,4-1,,,
94.02393,2,3-4,,,
94.29057,2,lp4,,,
94.95716999999999,1,w1,,,
95.6571,2,j4-1,,,
96.72366,2,w1,,,
96.95697,2,1-2,,,
97.22361,2,lp2,,,
98.62347,2,j2-3,,,
98.9901,2,lp3,,,
101.22321,MOT_all,cut10,,
101.28987,3,j3-4,,,
101.42318999999999,2,3-4,,,
101.72316,3,sj4,,,
101.95647,3,j4-1,,,
102.35642999999999,2,w4,,,
102.38976,3,sj1,,,
102.68973,3,j1-2,,,
103.18968,3,2-3,rb0,,
103.52297999999999,3,3-4,r1,,
103.78962,3,4-1,,,
104.18957999999999,MOT_all,cut11,,
104.35623,MOT_mc_stage_color_00,y-flash,,
104.35623,MOT_mc_back_00,in02,,
104.35623,MOT_mc_light_center_00,l2,,
104.35623,MOT_mc_light_under_00,l3_lp,,
104.35623,1,sj1,,,
104.35623,2,sj4,,,
104.35623,3,sj1,,,
104.58954,1,j1-2,,,
104.58954,2,j4-1,,,
104.58954,3,j1-2,,,
105.08949,1,sj2,,,
105.08949,2,sj1,,,
105.08949,3,sj2,,,
105.3228,1,j2-3,,,
105.3228,2,j1-2,,,
105.3228,3,j2-3,,,
105.82275,1,3-4,,,
105.82275,2,2-3,,,
105.82275,3,3-4,,,
106.12272,1,4-1,l1,,
106.12272,2,3-4,l2,,
106.12272,3,4-1,rb0,,
106.45602,1,1-2,lb0,,
106.45602,2,4-1,lb1,,
106.45602,3,1-2,r1,,
106.78931999999999,1,j2-3,,,
106.78931999999999,2,j1-2,,,
106.78931999999999,3,j2-3,,,
107.12262,2,j2-3,,,
107.48925,2,lp3,,,
107.85588,3,w3,,,
107.85588,1,w3,,,
108.08919,1,3-4,r1,,
108.08919,3,3-4,r2,,
108.38915999999999,1,4-1,rb0,,
108.38915999999999,3,4-1,rb1,,
108.85578,1,j1-2,,,
108.85578,2,j3-4,,,
108.85578,3,j1-2,,,
109.55570999999999,1,2-3,,,
109.55570999999999,2,4-1,,,
109.55570999999999,3,2-3,,,
109.88901,1,3-4,,,
109.88901,2,1-2,lb0,,
109.88901,3,3-4,rb0,,
110.18898,1,j4-1,,,
110.18898,2,j2-3,,,
110.18898,3,j4-1,,,
110.68893,1,sj1,,,
110.68893,2,sj3,,,
110.68893,3,sj1,,,
110.95557,1,lp1,,,
110.95557,2,lp3,,,
110.95557,3,lp1,,,
111.42219,1,j1-2,,,
111.42219,2,j3-4,,,
111.42219,3,j1-2,,,
112.12212,MOT_mc_stage_color_00,r-flash,,
112.18878,1,j2-3,,,
112.18878,2,4-1,lw2,,
112.18878,3,2-3,rw2,,
112.38875999999999,MOT_mc_stage_color_00,y-flash,,
112.52207999999999,1,j3-4,,,
112.52207999999999,2,j1-2,,,
112.52207999999999,3,j3-4,,,
112.6554,MOT_mc_stage_color_00,b-flash,,
112.85538,MOT_all,cut12,,
112.85538,1,j4-1,,,
112.85538,2,j2-3,,,
112.85538,3,j4-1,,,
112.92204,MOT_mc_stage_color_00,r-flash,,
113.18867999999999,MOT_mc_stage_color_00,b-flash,,
113.32199999999999,MOT_mc_light_center_00,l3_lp,,
113.45532,1,1-2,rw2,,
113.45532,2,3-4,lwb0,,
113.45532,3,1-2,rw4,,
114.12191999999999,1,2-3,rwb0,,
114.12191999999999,2,4-1,lw2,,
114.12191999999999,3,2-3,rwb2,,
114.72185999999999,1,j3-4,,,
114.9885,2,j1-2,,,
114.9885,3,j3-4,,,
115.45512,2,j2-3,,,
115.45512,3,j4-1,,,
115.78841999999999,1,w4,,,
115.82175,1,j4-1,,,
116.32169999999999,1,1-2,l1,,
116.32169999999999,2,3-4,l3,,
116.32169999999999,3,1-2,rb1,,
116.655,1,j2-3,,,
116.655,2,j4-1,,,
116.655,3,j2-3,,,
117.02163,1,3-4,,,
117.02163,2,1-2,,,
117.02163,3,3-4,,,
117.35493,1,4-1,lb0,,
117.35493,2,2-3,lb2,,
117.35493,3,4-1,r2,,
117.68822999999999,1,j1-2,,,
117.68822999999999,2,j3-4,,,
117.68822999999999,3,j1-2,,,
118.15485,1,j2-3,,,
118.15485,2,j4-1,,,
118.15485,3,j2-3,,,
118.58814,1,sj3,,,
118.58814,2,sj1,,,
118.58814,3,sj3,,,
118.85477999999999,1,j3-4,,,
118.85477999999999,2,j1-2,,,
118.85477999999999,3,j3-4,,,
119.25474,1,4-1,,,
119.25474,2,2-3,,,
119.25474,3,4-1,,,
119.58803999999999,1,j1-2,,,
119.58803999999999,2,j3-4,,,
119.58803999999999,3,j1-2,,,
120.65459999999999,3,w2,,,
120.65459999999999,2,w4,,,
120.65459999999999,1,w2,,,
120.72126,1,2-3,,,
120.72126,2,4-1,,,
120.72126,3,2-3,,,
121.12122,1,sj3,,,
121.12122,2,sj1,,,
121.12122,3,sj3,,,
121.45451999999999,1,sj3,,,
121.45451999999999,2,sj1,,,
121.45451999999999,3,sj3,,,
121.78782,1,sj3,,,
121.78782,2,sj1,,,
121.78782,3,sj3,,,
122.28777,3,w3,,,
122.28777,2,w1,,,
122.28777,1,w3,,,
122.3211,1,3-4,,,
122.3211,2,1-2,,,
122.3211,3,3-4,,,
122.6544,1,sj4,,,
122.6544,2,2-3,lwb0,,
122.6544,3,sj4,,,
122.98769999999999,1,sj4,,,
122.98769999999999,2,sj3,,,
122.98769999999999,3,4-1,rwb0,,
123.38766,1,sp4-1,,,
123.38766,2,sp3-4,,,
123.38766,3,sp1-2,,,
124.15424999999999,1,j1-2,,,
124.15424999999999,2,j4-1,,,
124.15424999999999,3,j2-3,,,
125.22081,3,w3,,,
125.22081,2,w1,,,
125.22081,1,w2,,,
125.32079999999999,2,1-2,,f1,
125.6541,2,2-3,,,
126.42069,2,j3-4,,,
126.78732,2,lp4,,,
128.32049999999998,2,4-1,,b0,
128.38716,MOT_mc_stage_color_00,b-flash,,
128.6538,1,j2-3,,,
128.6538,2,lp1,,,
128.6538,3,j3-4,,,
128.88711,MOT_all,cut13,,
128.9871,1,j3-4,,,
128.9871,3,j4-1,,,
129.35372999999998,1,lp4,,,
129.35372999999998,2,j1-2,,,
129.35372999999998,3,j1-2,,,
129.68703,2,j2-3,,,
129.68703,3,j2-3,,,
130.22030999999998,1,j4-1,,,
130.22030999999998,2,lp3,,,
130.22030999999998,3,j3-4,,,
130.55361,1,j1-2,,,
130.55361,3,j4-1,,,
130.88691,1,lp2,,,
130.88691,2,j3-4,,,
130.88691,3,j1-2,,,
131.22020999999998,2,j4-1,,,
131.22020999999998,3,j2-3,,,
131.58684,1,j2-3,,,
131.58684,2,1-2,l1,,
131.58684,3,3-4,r1,,
131.9868,1,j3-4,,,
131.9868,2,2-3,l2,,
131.9868,3,4-1,r2,,
132.38675999999998,1,j4-1,,,
132.38675999999998,2,3-4,lwb0,,
132.38675999999998,3,1-2,rwb0,,
132.72006,1,1-2,,,
132.72006,2,4-1,,,
132.72006,3,2-3,,,
133.22001,2,sp1-2,,,
133.32,1,sp2-3,,,
133.41998999999998,3,sp3-4,,,
133.71996,1,3-4,,,
133.71996,2,2-3,,,
133.71996,3,4-1,,,
134.15324999999999,MOT_mc_stage_color_00,b-flash,,
134.15324999999999,1,sj4,,,
134.35323,MOT_mc_stage_color_00,r-flash,,
134.35323,2,sj3,,,
134.35323,3,sj1,,,
134.58653999999999,1,j4-1,,,
134.58653999999999,3,j1-2,,,
134.85317999999998,2,w3,,,
134.91984,1,j1-2,,,
134.91984,3,j2-3,,,
135.35313,1,lp2,,,
135.48645,2,3-4,,,
135.48645,3,3-4,,,
135.75309,2,hj4,,,
135.75309,3,hj4,,,
136.15305,1,j2-3,,,
136.15305,3,j4-1,,,
136.48635,1,j3-4,,,
136.48635,3,j1-2,,,
136.88630999999998,1,lp4,,,
