0.03333,MOT_all,monokuro_cut01,,
0.00000,4,sort,1800,
0.00000,5,sort,1800,
0.03333,MOT_mc_stage_color_00,stay60,,
0.03333,MOT_mc_speaker_00,stay,,
0.03333,MOT_mc_light_up_00,stay,,
0.03333,MOT_mc_light_center_00,stay,,
0.03333,MOT_mc_light_under_00,stay,,
0.03333,MOT_mc_bg_black_00,stay,,
2.9997,2,hj1,,,
2.9997,3,hj1,,,
2.9997,MOT_mc_bg_black_00,start,,
2.9997,MOT_mc_stage_color_00,60to0,,
2.9997,MOT_mc_light_under_00,p1,,
3.09969,4,hj1,,,
3.09969,5,hj1,,,
3.2330099999999997,1,hj1,,,
3.73296,1,1-2,,,
3.73296,2,1-2,,,
3.73296,3,1-2,,,
3.73296,4,1-2,,,
3.73296,5,1-2,,,
4.06626,1,lp2,,,
4.06626,2,lp2,,,
4.06626,3,lp2,,,
4.06626,4,lp2,,,
4.06626,5,lp2,,,
4.76619,1,hj2,,,
4.76619,2,hj2,,,
4.76619,3,hj2,,,
4.76619,4,hj2,,,
4.76619,5,hj2,,,
4.76619,MOT_mc_light_center_00,flash1,,
4.76619,MOT_mc_bg_black_00,on1,,
4.76619,MOT_mc_light_up_00,on,,
5.3994599999999995,2,j2-3,,,
5.3994599999999995,3,j2-3,,,
5.46612,4,j2-3,,,
5.46612,5,j2-3,,,
5.9994,1,w2,,,
6.39936,1,hj2,,,
6.39936,2,hj3,,,
6.39936,3,hj3,,,
6.39936,4,hj3,,,
6.39936,5,hj3,,,
7.16595,1,j2-3,,,
7.46592,4,j3-4,,,
7.46592,5,j3-4,,,
7.49925,2,j3-4,,,
7.49925,3,j3-4,,,
7.532579999999999,1,j3-4,,,
7.9992,1,hj4,,,
7.9992,2,hj4,,,
7.9992,3,hj4,,,
7.9992,4,hj4,,,
7.9992,5,hj4,,,
8.73246,1,4-1,,,
8.73246,2,4-1,,,
8.73246,3,4-1,,,
9.16575,4,4-1,,,
9.16575,5,4-1,,,
9.56571,1,hj1,,,
9.56571,2,hj1,,,
9.56571,3,hj1,,,
9.56571,4,hj1,,,
9.56571,5,hj1,,,
10.23231,1,1-2,,,
10.23231,2,1-2,,,
10.23231,3,1-2,,,
10.23231,4,1-2,,,
10.23231,5,1-2,,,
10.46562,MOT_mc_light_up_00,on,,
10.56561,1,lp2,,,
10.56561,2,lp2,,,
10.56561,3,lp2,,,
10.56561,4,lp2,,,
10.56561,5,lp2,,,
11.06556,1,j2-3,,,
11.06556,2,j2-3,,,
11.06556,3,j2-3,,,
11.06556,4,j2-3,,,
11.06556,5,j2-3,,,
11.932139999999999,1,3-4,,,
11.932139999999999,2,3-4,,,
11.932139999999999,3,3-4,,,
11.932139999999999,4,3-4,,,
11.932139999999999,5,3-4,,,
12.532079999999999,1,sj4,,,
12.532079999999999,2,sj4,,,
12.532079999999999,3,sj4,,,
12.532079999999999,4,sj4,,,
12.532079999999999,5,sj4,,,
13.032029999999999,3,w4,,,
13.032029999999999,2,w4,,,
13.032029999999999,4,w4,,,
13.032029999999999,5,w4,,,
13.032029999999999,1,sp4-1,,,
13.032029999999999,2,sp4-1,,,
13.032029999999999,3,sp4-1,,,
13.032029999999999,4,sp4-1,,,
13.032029999999999,5,sp4-1,,,
15.09849,2,hj1,,,
15.09849,3,hj1,,,
15.23181,4,hj1,,,
15.23181,5,hj1,,,
15.465119999999999,1,hj1,,,
15.865079999999999,MOT_mc_light_up_00,loop2in,,
15.865079999999999,MOT_mc_light_center_00,off30,,
15.965069999999999,1,sj1,,,
15.965069999999999,2,sj1,,,
15.965069999999999,3,sj1,,,
15.965069999999999,4,sj1,,,
15.965069999999999,5,sj1,,,
16.46502,3,w1,,,
16.46502,2,w1,,,
16.46502,4,w1,,,
16.46502,5,w1,,,
16.46502,1,hj1,,,
16.46502,2,hj1,,,
16.46502,3,hj1,,,
16.46502,4,hj1,,,
16.46502,5,hj1,,,
17.131619999999998,1,j1-2,,,
17.131619999999998,2,1-2,l1,,
17.131619999999998,4,1-2,l1,,
17.131619999999998,3,1-2,r1,,
17.131619999999998,5,1-2,r1,,
17.79822,1,j2-3,,,
17.79822,2,2-3,l2,,
17.79822,4,2-3,l2,,
17.79822,3,2-3,r2,,
17.79822,5,2-3,r2,,
18.49815,1,j3-4,,,
18.49815,2,j3-4,,,
18.49815,3,j3-4,,,
18.49815,4,j3-4,,,
18.49815,5,j3-4,,,
19.09809,1,j4-1,,,
19.09809,2,4-1,lb1,,
19.09809,4,4-1,lb1,,
19.09809,3,4-1,rb1,,
19.09809,5,4-1,rb1,,
19.6647,1,j1-2,,,
