0.03333,MOT_mc_bg_black_00,stay,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,MOT_mc_light_up_00,l2,,
0.03333,1,,,,D60
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,4,,,,D60
0.03333,5,,,,D60
0.09999,MOT_all,Alchemy_cut01,,
0.09999,MOT_control_all,Alchemy_zoom01,,
7.132619999999999,MOT_mc_stage_color_00,b-flash,,
7.132619999999999,MOT_mc_light_center_00,on2_loop2,,
7.132619999999999,1,1-2,,,
7.132619999999999,2,1-2,,,
7.132619999999999,3,1-2,,,
7.132619999999999,4,1-2,,,
7.132619999999999,5,1-2,,,
7.46592,1,hj2,,,
7.46592,2,hj2,,,
7.46592,3,hj2,,,
7.46592,4,hj2,,,
7.46592,5,hj2,,,
8.43249,1,2-3,,,
8.43249,2,2-3,,,
8.43249,3,2-3,,,
8.43249,4,2-3,,,
8.43249,5,2-3,,,
9.09909,1,j3-4,,,
9.09909,2,j3-4,,,
9.09909,3,j3-4,,,
9.09909,4,j3-4,,,
9.09909,5,j3-4,,,
10.03233,1,4-1,,,
10.03233,2,4-1,,,
10.03233,3,4-1,,,
10.03233,4,4-1,,,
10.03233,5,4-1,,,
10.76559,1,1-2,,,
10.76559,2,1-2,,,
10.76559,3,1-2,,,
10.76559,4,1-2,,,
10.76559,5,1-2,,,
11.56551,4,hj2,,,
11.56551,5,hj2,,,
11.69883,3,w2,,,
11.69883,2,w2,,,
11.69883,1,w2,,,
11.76549,2,hj2,,,
11.76549,3,hj2,,,
11.932139999999999,1,hj2,,,
12.632069999999999,MOT_mc_stage_color_00,b-flash,,
12.632069999999999,1,2-3,,,
12.632069999999999,2,2-3,,,
12.632069999999999,3,2-3,,,
12.632069999999999,4,2-3,,,
12.632069999999999,5,2-3,,,
13.26534,1,3-4,,,
13.26534,4,3-4,l1,,
13.26534,5,3-4,r1,,
13.56531,3,w3,,,
13.56531,2,w3,,,
13.6653,1,4-1,,,
13.6653,4,4-1,l2,,
13.6653,5,4-1,r2,,
13.6653,2,3-4,l1,,
13.6653,3,3-4,r1,,
14.09859,1,sj1,,,
14.09859,2,sj4,,,
14.09859,3,sj4,,,
14.09859,4,sj1,,,
14.09859,5,sj1,,,
14.59854,5,w1,,,
14.59854,4,w1,,,
14.59854,3,w4,,,
14.59854,2,w4,,,
14.59854,1,hj1,,,
14.59854,2,hj4,,,
14.59854,3,hj4,,,
14.59854,4,hj1,,,
14.59854,5,hj1,,,
15.23181,1,1-2,,,
15.23181,2,4-1,,,
15.23181,3,4-1,,,
15.23181,4,1-2,,,
15.23181,5,1-2,,,
15.865079999999999,1,2-3,,,
15.865079999999999,2,1-2,,,
15.865079999999999,3,1-2,,,
15.865079999999999,4,2-3,,,
15.865079999999999,5,2-3,,,
16.665,1,3-4,,,
16.665,2,2-3,,,
16.665,3,2-3,,,
16.665,4,3-4,,,
16.665,5,3-4,,,
17.29827,1,hj4,,,
17.29827,2,hj3,,,
17.29827,3,hj3,,,
17.29827,4,hj4,,,
17.29827,5,hj4,,,
17.43159,MOT_mc_stage_color_00,y-flash,,
18.03153,1,4-1,,,
18.03153,2,3-4,,,
18.03153,3,3-4,,,
18.03153,4,4-1,,,
18.03153,5,4-1,,,
18.764789999999998,MOT_control_all,Alchemy_zoom02,,
18.764789999999998,MOT_mc_light_center_00,on3,,
18.764789999999998,2,4-1,l2,,
18.764789999999998,3,4-1,r2,,
