0.03333,MOT_mc_bg_black_00,seat100-0,,
1.9998,MOT_mc_stage_color_00,r,,
1.9998,MOT_mc_bg_black_00,b80-65,,
1.9998,1,j1-2,,,
2.63307,MOT_mc_stage_color_00,b-flash,,
2.63307,MOT_mc_light_up_00,l1,,
2.63307,MOT_mc_light_center_00,l1,,
2.63307,MOT_mc_light_under_00,l3,,
2.63307,MOT_mc_speaker_00,temp4,,
2.63307,2,1-2,,,D60
2.63307,3,1-2,,,D60
2.63307,1,2-3,,f1,D20
2.63307,4,1-2,,,D60
2.63307,5,1-2,,,D60
2.9997,1,3-4,,,
3.5663099999999996,5,w2,,,
3.5663099999999996,4,w2,,,
3.5663099999999996,3,w2,,,
3.5663099999999996,2,w2,,,
3.93294,1,w4,,,
3.9662699999999997,2,2-3,,,
3.9662699999999997,3,2-3,,,
3.9662699999999997,1,4-1,l1,,
3.9662699999999997,4,2-3,,,
3.9662699999999997,5,2-3,,,
4.6662,2,3-4,,,
4.6662,3,3-4,,,
4.6662,1,1-2,,,
4.6662,4,3-4,,,
4.6662,5,3-4,,,
4.999499999999999,1,2-3,,,
5.5994399999999995,5,w4,,,
5.5994399999999995,4,w4,,,
5.5994399999999995,3,w4,,,
5.5994399999999995,2,w4,,,
5.93274,1,w3,,,
5.93274,2,4-1,,,
5.93274,3,4-1,,,
5.93274,1,j3-4,,,
5.93274,4,4-1,,,
5.93274,5,4-1,,,
6.6659999999999995,2,lp1,,,
6.6659999999999995,3,lp1,,,
6.6659999999999995,1,4-1,,,
6.6659999999999995,4,lp1,,,
6.6659999999999995,5,lp1,,,
7.59924,1,w1,,,
7.632569999999999,1,,lb0,,
8.79912,2,sp1-2,,,
8.79912,3,sp1-2,,,
8.79912,1,sp1-2,,,
8.79912,4,sp1-2,,,
8.79912,5,sp1-2,,,
9.53238,2,j2-3,,,
9.53238,3,j2-3,,,
9.53238,1,j2-3,,,
9.53238,4,j2-3,,,
9.53238,5,j2-3,,,
10.36563,MOT_mc_stage_color_00,r-flash,,
10.36563,2,3-4,,,
10.36563,3,3-4,,,
10.36563,1,3-4,,,
10.36563,4,3-4,,,
10.36563,5,3-4,,,
