0.03333,MOT_all,coconatsu_cut0,,
2.26644,1,hj1,,,
2.26644,2,hj1,,,
2.26644,3,hj1,,,
2.26644,4,hj1,,,
2.43309,MOT_control_all,coconatsu_zoom01,,
2.4997499999999997,MOT_mc_stage_color_00,y-flash,,
2.76639,1,lp1,,,
2.76639,2,lp1,,,
2.76639,3,lp1,,,
2.76639,4,lp1,,,
3.49965,1,hj1,,,
3.49965,2,hj1,,,
3.49965,3,hj1,,,
3.49965,4,hj1,,,
3.89961,MOT_mc_stage_color_00,b-flash,,
3.9996,1,lp1,,,
3.9996,2,lp1,,,
3.9996,3,lp1,,,
3.9996,4,lp1,,,
5.06616,1,j1-2,,,
5.06616,4,j1-2,,,
5.23281,MOT_mc_stage_color_00,r-flash,,
5.86608,2,j1-2,,,
5.86608,3,j1-2,,,
6.066059999999999,MOT_mc_stage_color_00,y-flash,,
6.13272,4,w2,,,
6.13272,1,w2,,,
6.53268,1,hj2,,,
6.53268,2,hj2,,,
6.53268,3,hj2,,,
6.53268,4,hj2,,,
6.932639999999999,MOT_mc_stage_color_00,b-flash,,
7.032629999999999,1,sp2-3,,,
7.06596,2,sp2-3,,,
7.09929,3,sp2-3,,,
7.132619999999999,4,sp2-3,,,
7.59924,MOT_control_all,coconatsu_zoom02,,
7.79922,3,3-4,,f1,
7.79922,1,3-4,,,
7.79922,2,3-4,,,
7.79922,4,3-4,,,
8.165849999999999,3,4-1,r1,,
8.39916,3,lp1,,,
8.73246,4,w4,,,
8.73246,2,w4,,,
8.73246,1,w4,,,
8.93244,3,1-2,rb0,,
9.3324,3,lp2,,,
10.43229,3,2-3,,,
10.698929999999999,3,lp3,,,
11.26554,3,3-4,,,
11.53218,3,lp4,,,
11.932139999999999,2,4-1,,f1,
11.932139999999999,3,4-1,,b0,
12.332099999999999,2,j1-2,,,
12.86538,3,w1,,,
12.932039999999999,3,1-2,,f1,
12.932039999999999,2,2-3,,b0,
13.46532,3,2-3,l1,,
13.865279999999998,2,w3,,,
13.9986,3,3-4,lb0,,
14.59854,3,sp4-1,,,
15.73176,3,hj1,,,
15.79842,MOT_control_all,coconatsu_zoom03,,
16.19838,MOT_mc_stage_color_00,b-flash,,
16.29837,1,j4-1,,,
16.39836,2,j3-4,,,
16.49835,3,j1-2,,,
16.59834,4,j4-1,,,
16.83165,MOT_mc_stage_color_00,r-flash,,
16.931639999999998,1,lp1,,,
16.931639999999998,2,lp4,,,
16.931639999999998,3,lp2,,,
16.931639999999998,4,lp1,,,
17.46492,1,sp1-2,,,
17.46492,2,sp4-1,,,
17.46492,3,sp2-3,,,
17.46492,4,sp1-2,,,
17.531579999999998,MOT_mc_stage_color_00,y-flash,,
18.86478,1,2-3,,f1,
18.86478,2,1-2,,,
18.86478,3,3-4,,b0,
18.86478,4,2-3,,,
19.3314,1,3-4,,,
19.69803,1,,,b0,
19.69803,2,,,f1,
19.798019999999998,4,w3,,,
19.798019999999998,3,w4,,,
19.798019999999998,2,w2,,,
20.09799,2,sj2,,,
20.197979999999998,MOT_control_all,coconatsu_zoom04,,
20.26464,1,w4,,,
20.36463,MOT_all,coconatsu_cut1,,
20.36463,4,3-4,,f1,
20.36463,2,2-3,,b0,
20.73126,4,,l1,,
20.96457,4,lp4,,,
21.29787,2,w3,,,
22.16445,4,4-1,lb0,,
22.397759999999998,4,lp1,,,
23.231009999999998,1,4-1,l1,,
23.231009999999998,2,3-4,l1,,
23.231009999999998,3,4-1,l1,,
23.231009999999998,4,1-2,l1,,
23.39766,MOT_mc_stage_color_00,b-flash,,
23.76429,1,1-2,l2,,
23.76429,2,4-1,l2,,
23.76429,3,1-2,l2,,
23.76429,4,2-3,l2,,
24.39756,3,2-3,,,
24.430889999999998,1,2-3,,,
24.464219999999997,2,1-2,,,
24.49755,4,3-4,,,
24.93084,1,sj3,,,
24.93084,2,sj2,,,
24.93084,3,sj3,,,
24.93084,4,sj4,,,
25.230809999999998,1,sj3,,,
25.230809999999998,2,sj2,,,
25.230809999999998,3,sj3,,,
25.230809999999998,4,sj4,,,
25.73076,4,w4,,,
25.73076,3,w3,,,
25.73076,2,w2,,,
25.73076,1,w3,,,
25.9974,4,4-1,,,
26.23071,4,lp1,,,
26.897309999999997,4,1-2,,,
27.13062,4,lp2,,,
27.56391,4,2-3,,,
28.097189999999998,4,3-4,,,
28.330499999999997,4,lp4,,,
28.697129999999998,1,3-4,lb1,,
28.697129999999998,2,2-3,lb1,,
28.697129999999998,3,3-4,lb1,,
28.697129999999998,4,4-1,lb1,,
28.86378,MOT_mc_stage_color_00,r-flash,,
29.23041,1,4-1,lb0,,
29.23041,2,3-4,lb0,,
29.23041,3,4-1,lb0,,
29.23041,4,1-2,lb0,,
29.86368,4,2-3,,,
29.897009999999998,2,4-1,,,
29.930339999999998,1,1-2,,,
29.963669999999997,3,1-2,,,
30.39696,1,sj2,,,
30.39696,2,sj1,,,
30.39696,3,sj2,,,
30.39696,4,sj3,,,
30.69693,1,sj2,,,
30.69693,2,sj1,,,
30.69693,3,sj2,,,
30.69693,4,sj3,,,
30.930239999999998,MOT_control_all,coconatsu_zoom05,,
31.06356,1,2-3,,f1,
31.06356,4,3-4,,b0,
31.19688,3,w2,,,
31.19688,2,w1,,,
31.43019,1,lp3,r1,,
31.9968,4,w4,,,
32.49675,1,3-4,r2,,
32.73006,1,lp4,,,
33.896609999999995,1,4-1,rb1,,
34.16325,1,lp1,,,
35.22981,1,1-2,rb0,,
35.86308,1,sj2,,,
36.363029999999995,1,w2,,,
36.59634,1,2-3,l1,,
36.86298,1,lp3,,,
38.06286,1,3-4,lb0,,
38.329499999999996,1,lp4,,,
39.06276,1,4-1,,,
39.42939,1,1-2,,,
39.6627,1,lp2,,,
40.395959999999995,4,,,f1,
40.72926,1,j2-3,,,
40.72926,4,j4-1,,,
41.49585,1,j3-4,,,
41.49585,4,j1-2,,,
42.22911,MOT_control_all,coconatsu_zoom06,,
42.395759999999996,3,2-3,,f1,
42.395759999999996,1,4-1,,b0,
42.395759999999996,4,2-3,,b0,
42.72906,3,3-4,l1,,
43.29567,3,4-1,lb0,,
43.329,4,w3,,,
43.329,1,w1,,,
43.52898,3,j1-2,,,
43.86228,3,lp2,,,
44.3289,3,j2-3,,,
44.69553,3,lp3,,,
45.228809999999996,1,1-2,r1,,
45.228809999999996,2,1-2,r1,,
45.228809999999996,3,3-4,r1,,
45.228809999999996,4,3-4,r1,,
45.36213,MOT_mc_stage_color_00,y-flash,,
45.76209,1,2-3,r2,,
45.76209,2,2-3,r2,,
45.76209,3,4-1,r2,,
45.76209,4,4-1,r2,,
46.39536,3,1-2,,,
46.428689999999996,1,3-4,,,
46.462019999999995,2,3-4,,,
46.495349999999995,4,1-2,,,
46.92864,1,sj4,,,
46.92864,2,sj4,,,
46.92864,3,sj2,,,
46.92864,4,sj2,,,
47.228609999999996,1,sj4,,,
47.228609999999996,2,sj4,,,
47.228609999999996,3,sj2,,,
47.228609999999996,4,sj2,,,
47.52858,MOT_control_all,coconatsu_zoom07,,
47.728559999999995,4,w2,,,
47.728559999999995,3,w2,,,
47.728559999999995,2,w4,,,
47.728559999999995,1,w4,,,
47.89521,4,2-3,,f1,
47.89521,3,2-3,,b0,
48.19518,4,lp3,,,
48.82845,3,w3,,,
48.9951,4,j3-4,,,
49.49505,4,4-1,,,
49.728359999999995,4,lp1,,,
50.69493,1,4-1,rb1,,
50.69493,2,4-1,rb1,,
50.69493,3,3-4,rb1,,
50.69493,4,1-2,rb1,,
50.82825,MOT_mc_stage_color_00,r-flash,,
51.22821,1,1-2,rb0,,
51.22821,2,1-2,rb0,,
51.22821,3,4-1,rb0,,
51.22821,4,2-3,rb0,,
51.86148,4,3-4,,,
51.89481,2,2-3,,,
51.92814,1,2-3,,,
51.96147,3,1-2,,,
52.39476,1,sj3,,,
52.39476,2,sj3,,,
52.39476,3,sj2,,,
52.39476,4,sj4,,,
52.6614,MOT_control_all,coconatsu_zoom08,,
52.69473,1,sj3,,,
52.69473,2,sj3,,,
52.69473,3,sj2,,,
52.69473,4,sj4,,,
52.961369999999995,2,3-4,,f1,
52.961369999999995,4,4-1,,b0,
53.19468,3,w2,,,
53.19468,1,w3,,,
53.294669999999996,2,j4-1,,,
53.6613,2,lp1,,,
53.89461,4,w1,,,
54.36123,2,1-2,,,
54.82785,2,j2-3,,,
55.16115,2,lp3,,,
55.794419999999995,2,3-4,r1,,
56.39436,2,,r2,,
56.72766,2,w4,,,
57.19428,2,4-1,rb1,,
57.760889999999996,2,,rb0,,
58.12752,2,w1,,,
58.49415,2,1-2,,b0,
58.49415,3,2-3,,f1,
59.027429999999995,3,hj3,,,
59.427389999999995,2,w2,,,
59.794019999999996,1,3-4,,f1,
59.794019999999996,3,3-4,,b0,
60.12732,1,lp4,,,
60.727259999999994,3,w4,,,
61.22721,MOT_control_all,coconatsu_zoom09,,
61.26054,1,4-1,,b0,
61.26054,4,1-2,,f1,
61.493849999999995,MOT_mc_stage_color_00,b-flash,,
61.59384,4,lp2,,,
62.19378,1,w1,,,
62.46042,4,2-3,,,
62.727059999999994,4,lp3,,,
63.26034,4,sj3,,,
63.560309999999994,4,sj3,,,
63.893609999999995,MOT_control_all,coconatsu_zoom10,,
63.926939999999995,2,2-3,,f1,
63.926939999999995,4,3-4,,,
64.16024999999999,MOT_mc_stage_color_00,y-flash,,
64.26024,2,lp3,,,
64.26024,4,lp4,,,
65.12682,2,3-4,,,
65.12682,4,4-1,,,
65.39345999999999,2,lp4,,,
65.39345999999999,4,lp1,,,
65.92674,2,sj4,,,
65.92674,4,sj1,,,
66.22671,2,sj4,,,
66.22671,4,sj1,,,
66.66,MOT_control_all,coconatsu_zoom11,,
66.69333,1,1-2,,f1,
66.69333,2,4-1,,,
66.69333,4,1-2,,,
66.92663999999999,MOT_mc_stage_color_00,r-flash,,
67.02663,1,lp2,,,
67.02663,2,lp1,,,
67.02663,4,lp2,,,
67.89321,1,2-3,,,
67.89321,2,1-2,,,
67.89321,4,2-3,,,
68.15984999999999,1,lp3,,,
68.15984999999999,2,lp2,,,
68.15984999999999,4,lp3,,,
68.69313,1,sj3,,,
68.69313,2,sj2,,,
68.69313,4,sj3,,,
68.9931,1,sj3,,,
68.9931,2,sj2,,,
68.9931,4,sj3,,,
68.9931,3,,,f1,
69.35973,MOT_control_all,coconatsu_zoom12,,
69.35973,1,j3-4,,,
69.35973,2,j2-3,,,
69.35973,3,j4-1,,,
69.35973,4,j3-4,,,
69.62637,MOT_mc_stage_color_00,b-flash,,
69.69303,1,j4-1,,,
69.69303,2,j3-4,,,
69.69303,3,j1-2,,,
69.69303,4,j4-1,,,
70.09299,1,1-2,,,
70.12631999999999,2,4-1,,,
70.15965,3,2-3,,,
70.19297999999999,4,1-2,,,
70.42629,1,sp2-3,,,
70.42629,2,sp1-2,,,
70.42629,3,sp3-4,,,
70.42629,4,sp2-3,,,
71.3262,2,hj2,,,
71.49284999999999,MOT_mc_stage_color_00,y-flash,,
71.62617,MOT_all,coconatsu_cut2,,
71.89281,MOT_control_all,coconatsu_zoom13,,
71.89281,2,w2,r1,,
71.89281,3,w4,r1,,
72.02613,1,w3,r1,,
72.02613,4,w3,r1,,
72.15944999999999,2,,r2,,
72.15944999999999,3,,r2,,
72.29276999999999,1,,r2,,
72.29276999999999,4,,r2,,
72.45942,1,lp3,,,
72.45942,2,lp2,,,
72.45942,3,lp4,,,
72.45942,4,lp3,,,
72.55941,MOT_mc_stage_color_00,r-flash,,
72.72605999999999,1,j3-4,,,
72.72605999999999,2,j2-3,,,
72.72605999999999,3,j4-1,,,
72.72605999999999,4,j3-4,,,
73.12602,MOT_mc_stage_color_00,b-flash,,
73.12602,1,j4-1,,,
73.12602,2,j3-4,,,
73.12602,3,j1-2,,,
73.12602,4,j4-1,,,
73.49265,1,j1-2,,,
73.49265,2,j4-1,,,
73.49265,3,j2-3,,,
73.49265,4,j1-2,,,
73.72596,MOT_mc_stage_color_00,y-flash,,
73.75929,1,sp2-3,,,
73.75929,2,sp1-2,,,
73.75929,3,sp3-4,,,
73.75929,4,sp2-3,,,
74.55921,MOT_control_all,coconatsu_zoom14,,
74.55921,1,w3,rb1,,
74.55921,4,w3,rb1,,
74.69252999999999,2,w2,rb1,,
74.69252999999999,3,w4,rb1,,
74.82585,1,,rb0,,
74.82585,4,,rb0,,
74.95917,2,,rb0,,
74.95917,3,,rb0,,
75.12581999999999,1,lp3,,,
75.12581999999999,2,lp2,,,
75.12581999999999,3,lp4,,,
75.12581999999999,4,lp3,,,
75.25914,MOT_mc_stage_color_00,r-flash,,
75.39246,1,j3-4,,,
75.39246,2,j2-3,,,
75.39246,3,j4-1,,,
75.39246,4,j3-4,,,
75.79241999999999,1,j4-1,,,
75.79241999999999,2,j3-4,,,
75.79241999999999,3,j1-2,,,
75.79241999999999,4,j4-1,,,
75.82575,MOT_mc_stage_color_00,b-flash,,
76.15905,1,j1-2,,,
76.15905,2,j4-1,,,
76.15905,3,j2-3,,,
76.15905,4,j1-2,,,
76.42569,MOT_mc_stage_color_00,y-flash,,
76.42569,1,sp2-3,,,
76.42569,2,sp1-2,,,
76.42569,3,sp3-4,,,
76.42569,4,sp2-3,,,
77.29227,1,w3,r1,,
77.29227,3,w4,r1,,
77.3256,MOT_mc_stage_color_00,r-flash,,
77.42559,2,w2,l1,,
77.42559,4,w3,l1,,
77.55891,1,,r2,,
77.55891,3,,r2,,
77.69223,2,,l2,,
77.69223,4,,l2,,
77.82554999999999,MOT_mc_stage_color_00,b-flash,,
77.85888,1,lp3,,,
77.85888,2,lp2,,,
77.85888,3,lp4,,,
77.85888,4,lp3,,,
78.22551,1,sj3,,,
78.22551,3,sj4,,,
78.35883,MOT_mc_stage_color_00,y-flash,,
78.59214,2,sj2,,,
78.59214,4,sj3,,,
78.72546,3,w4,,,
78.72546,1,w3,,,
78.95877,1,sp3-4,rb1,,
78.95877,3,sp4-1,rb1,,
79.05875999999999,MOT_mc_stage_color_00,r-flash,,
79.09209,4,w3,,,
79.09209,2,w2,,,
79.25874,2,sp2-3,lb1,,
79.25874,4,sp3-4,lb1,,
79.59204,1,,rb0,,
79.59204,3,,rb0,,
79.82535,2,,lb0,,
79.82535,4,,lb0,,
80.05866,1,lp4,,,
80.05866,2,lp3,,,
80.05866,3,lp1,,,
80.05866,4,lp4,,,
80.49195,1,4-1,,,
80.49195,2,3-4,,,
80.49195,3,1-2,,,
80.49195,4,4-1,,,
80.62527,MOT_mc_stage_color_00,b-flash,,
80.72525999999999,1,1-2,,,
80.72525999999999,2,4-1,,,
80.72525999999999,3,2-3,,,
80.72525999999999,4,1-2,,,
80.9919,1,hj2,,,
80.9919,2,hj1,,,
80.9919,3,hj3,,,
80.9919,4,hj2,,,
81.15854999999999,MOT_mc_stage_color_00,y-flash,,
81.65849999999999,1,sp2-3,,,
81.69183,2,sp1-2,,,
81.72516,3,sp3-4,,,
81.75849,4,sp2-3,,,
82.52508,MOT_all,coconatsu_cut3,,
82.75838999999999,MOT_control_all,coconatsu_zoom15,,
82.75838999999999,2,w2,r1,,
82.75838999999999,3,w4,r1,,
82.89171,1,w3,r1,,
82.89171,4,w3,r1,,
83.02503,2,,r2,,
83.02503,3,,r2,,
83.15835,1,,r2,,
83.15835,4,,r2,,
83.325,1,lp3,,,
83.325,2,lp2,,,
83.325,3,lp4,,,
83.325,4,lp3,,,
83.45832,MOT_mc_stage_color_00,r-flash,,
83.59164,1,j3-4,,,
83.59164,2,j2-3,,,
83.59164,3,j4-1,,,
83.59164,4,j3-4,,,
83.99159999999999,1,j4-1,,,
83.99159999999999,2,j3-4,,,
83.99159999999999,3,j1-2,,,
83.99159999999999,4,j4-1,,,
84.02493,MOT_mc_stage_color_00,b-flash,,
84.35822999999999,1,j1-2,,,
84.35822999999999,2,j4-1,,,
84.35822999999999,3,j2-3,,,
84.35822999999999,4,j1-2,,,
84.62487,MOT_mc_stage_color_00,y-flash,,
84.62487,1,sp2-3,,,
84.62487,2,sp1-2,,,
84.62487,3,sp3-4,,,
84.62487,4,sp2-3,,,
85.42479,MOT_control_all,coconatsu_zoom16,,
85.42479,1,w3,rb1,,
85.42479,4,w3,rb1,,
85.55811,2,w2,rb1,,
85.55811,3,w4,rb1,,
85.69143,1,,rb0,,
85.69143,4,,rb0,,
85.82475,2,,rb0,,
85.82475,3,,rb0,,
85.9914,1,lp3,,,
85.9914,2,lp2,,,
85.9914,3,lp4,,,
85.9914,4,lp3,,,
86.15805,MOT_mc_stage_color_00,r-flash,,
86.25804,1,j3-4,,,
86.25804,2,j2-3,,,
86.25804,3,j4-1,,,
86.25804,4,j3-4,,,
86.658,1,j4-1,,,
86.658,2,j3-4,,,
86.658,3,j1-2,,,
86.658,4,j4-1,,,
86.72466,MOT_mc_stage_color_00,b-flash,,
87.02463,1,j1-2,,,
87.02463,2,j4-1,,,
87.02463,3,j2-3,,,
87.02463,4,j1-2,,,
87.29127,1,sp2-3,,,
87.29127,2,sp1-2,,,
87.29127,3,sp3-4,,,
87.29127,4,sp2-3,,,
87.32459999999999,MOT_mc_stage_color_00,y-flash,,
88.29117,1,w3,r1,,
88.29117,3,w4,r1,,
88.42448999999999,2,w2,l1,,
88.42448999999999,4,w3,l1,,
88.55780999999999,1,,r2,,
88.55780999999999,3,,r2,,
88.69113,2,,l2,,
88.69113,4,,l2,,
88.92443999999999,1,lp3,,,
88.92443999999999,2,lp2,,,
88.92443999999999,3,lp4,,,
88.92443999999999,4,lp3,,,
89.22440999999999,1,sj3,,,
89.22440999999999,3,sj4,,,
89.59103999999999,2,sj2,,,
89.59103999999999,4,sj3,,,
89.72435999999999,3,w4,,,
89.72435999999999,1,w3,,,
89.95767,1,sp3-4,rb1,,
89.95767,3,sp4-1,rb1,,
90.09098999999999,4,w3,,,
90.09098999999999,2,w2,,,
90.25764,2,sp2-3,lb1,,
90.25764,4,sp3-4,lb1,,
90.59093999999999,1,,rb0,,
90.59093999999999,3,,rb0,,
90.82424999999999,2,,lb0,,
90.82424999999999,4,,lb0,,
91.05756,1,lp4,,,
91.05756,2,lp3,,,
91.05756,3,lp1,,,
91.05756,4,lp4,,,
91.42419,MOT_control_all,coconatsu_zoom17,,
91.52418,2,sp3-4,l1,,
91.52418,4,sp4-1,l1,,
91.6575,MOT_mc_stage_color_00,y-flash,,
92.69073,MOT_control_all,coconatsu_zoom18,,
92.82405,1,sp4-1,r1,,
92.82405,3,sp1-2,r1,,
92.95737,MOT_mc_stage_color_00,y-flash,,
94.19058,1,lp1,rb0,,
94.19058,2,lp4,lb0,,
94.19058,3,lp2,,,
94.19058,4,lp1,,,
94.3239,MOT_control_all,coconatsu_zoom19,,
94.3239,MOT_mc_stage_color_00,r-flash,,
95.35713,3,,rb0,,
