0.03333,MOT_mc_stage_color_00,b,,
0.03333,MOT_mc_light_center_00,l2,,
0.03333,MOT_mc_light_under_00,kaibutsu_stay,,
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,1,,,,D20
0.03333,4,,,,D60
0.03333,5,,,,D60
1.7331599999999998,MOT_mc_stage_color_00,up,,
1.7331599999999998,MOT_mc_light_under_00,l5_lp,,
1.7331599999999998,1,,,f1,
2.09979,1,sp1-2,,,
2.53308,1,lp2,,,
2.9997,1,2-3,,,
3.3329999999999997,1,lp3,,,
3.8662799999999997,1,3-4,,,
4.19958,1,lp4,,,
5.03283,1,j4-1,,,
5.36613,1,lp1,,,
6.932639999999999,1,j1-2,,,
7.26594,1,lp2,,,
8.09919,1,2-3,,,
8.43249,1,lp3,,,
9.93234,1,3-4,,,
10.26564,1,lp4,,,
10.798919999999999,1,4-1,,,
11.16555,1,1-2,,,
12.06546,1,j2-3,,,
12.39876,1,lp3,,,
13.631969999999999,MOT_mc_light_under_00,l5_up,,
13.631969999999999,2,1-2,l1,,L40
13.631969999999999,3,1-2,l1,,L40
13.631969999999999,1,3-4,l1,,L0
13.631969999999999,4,1-2,l1,,L40
13.631969999999999,5,1-2,l1,,L40
14.465219999999999,2,,l2,,
14.465219999999999,3,,l2,,
14.465219999999999,1,,l2,,
14.465219999999999,4,,l2,,
14.465219999999999,5,,l2,,
14.565209999999999,5,w2,,,
14.565209999999999,4,w2,,,
14.565209999999999,3,w2,,,
14.565209999999999,2,w2,,,
14.565209999999999,1,w4,,,
15.39846,1,4-1,,,
16.331699999999998,1,w1,,,
16.43169,2,2-3,lb1,,
16.43169,3,2-3,lb1,,
16.43169,1,1-2,lb1,,
16.43169,4,2-3,lb1,,
16.43169,5,2-3,lb1,,
17.26494,2,,lb0,,
17.26494,3,,lb0,,
17.26494,1,,lb0,,
17.26494,4,,lb0,,
17.26494,5,,lb0,,
17.364929999999998,5,w3,,,
17.364929999999998,4,w3,,,
17.364929999999998,3,w3,,,
17.364929999999998,2,w3,,,
17.364929999999998,1,w2,,,
17.89821,1,2-3,,,
18.39816,1,j3-4,,,
18.79812,1,j4-1,,,
19.364729999999998,2,3-4,r1,,
19.364729999999998,3,3-4,r1,,
19.364729999999998,1,1-2,r1,,
19.364729999999998,4,3-4,r1,,
19.364729999999998,5,3-4,r1,,
20.197979999999998,2,,r2,,
20.197979999999998,3,,r2,,
20.197979999999998,1,,r2,,
20.197979999999998,4,,r2,,
20.197979999999998,5,,r2,,
20.29797,5,w4,,,
20.29797,4,w4,,,
20.29797,3,w4,,,
20.29797,2,w4,,,
20.29797,1,w2,,,
20.597939999999998,2,4-1,rb1,,
20.597939999999998,3,4-1,rb1,,
20.597939999999998,1,2-3,rb1,,
20.597939999999998,4,4-1,rb1,,
