0.00000,3,sort,-3000,
0.00000,4,sort,-3000,
0.00000,5,sort,-3000,
0.06666,MOT_all,ppd_cut1,,
0.06666,1,,,,stay
0.06666,2,,,,stay
0.06666,3,,,,stay
0.06666,4,,,,stay
0.06666,5,,,,stay
3.06636,1,1-2,,,
3.06636,2,1-2,,,
3.06636,3,1-2,,,
3.06636,4,1-2,,,
3.06636,5,1-2,,,
3.06636,MOT_mc_bg_black_00,b80-45,,
3.06636,MOT_mc_stage_color_00,b-flash,,
3.06636,MOT_mc_light_up_00,l1,,
3.06636,MOT_mc_speaker_00,temp1,,
3.9996,5,w2,,,
3.9996,4,w2,,,
3.9996,3,w2,,,
3.9996,2,w2,,,
3.9996,1,w2,,,
4.4328899999999996,1,2-3,,,
4.59954,2,2-3,,,
4.59954,3,2-3,,,
4.59954,MOT_mc_stage_color_00,y-flash,,
5.16615,4,2-3,,,
5.16615,5,2-3,,,
5.36613,1,w3,,,
5.3994599999999995,MOT_mc_stage_color_00,r-flash,,
5.53278,3,w3,,,
5.53278,2,w3,,,
6.09939,5,w3,,,
6.09939,4,w3,,,
6.13272,1,j3-4,,,
6.13272,2,j3-4,,,
6.13272,3,j3-4,,,
6.13272,4,j3-4,,,
6.13272,5,j3-4,,,
6.13272,MOT_mc_stage_color_00,b-flash,,
7.19928,5,w4,,,
7.19928,4,w4,,,
7.19928,3,w4,,,
7.19928,2,w4,,,
7.19928,1,w4,,,
7.632569999999999,MOT_mc_stage_color_00,y-flash,,
7.6659,1,j4-1,,,
7.86588,2,j4-1,,,
7.86588,3,j4-1,,,
8.065859999999999,4,j4-1,,,
8.065859999999999,5,j4-1,,,
8.265839999999999,2,j1-2,,,
8.265839999999999,3,j1-2,,,
8.49915,1,j1-2,,,
9.03243,1,hj2,,,
9.03243,2,hj2,,,
9.03243,3,hj2,,,
9.03243,4,hj1,,,
9.03243,5,hj1,,,
9.03243,MOT_mc_light_up_00,l2,,
9.03243,MOT_mc_stage_color_00,r-flash,,
9.03243,MOT_mc_speaker_00,temp2,,
9.699029999999999,1,j2-3,,,
9.699029999999999,3,2-3,,,
9.699029999999999,4,1-2,,,
9.699029999999999,5,1-2,,,
10.03233,3,lp3,,,
10.03233,4,lp2,,,
10.03233,5,lp2,,,
10.198979999999999,1,3-4,,,
10.26564,2,w2,,,
10.63227,1,hj4,,,
11.43219,1,4-1,,,
11.63217,MOT_mc_stage_color_00,y-r,,
11.932139999999999,1,j1-2,,,
12.432089999999999,1,lp2,,,
12.49875,2,j2-3,,,
12.9987,2,3-4,,,
13.59864,2,4-1,,,
13.931939999999999,2,lp1,,,
15.165149999999999,1,hj2,,,
15.9984,1,2-3,,,
16.331699999999998,1,j3-4,,,
16.83165,1,lp4,,,
17.26494,1,4-1,,,
17.764889999999998,1,lp1,,,
18.6648,2,j1-2,,,
19.43139,2,2-3,,,
19.997999999999998,2,hj3,,,
20.89791,3,3-4,,,
20.89791,4,2-3,,,
20.89791,5,2-3,,,
21.23121,2,w3,,,
21.23121,1,j1-2,,,
21.23121,2,j3-4,,,
21.23121,3,j4-1,,,
21.23121,4,j3-4,,,
21.23121,5,j3-4,,,
