0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
0.03333,4,sort,-500,
0.03333,5,sort,-500,
0.03333,3,sort,-500,
1.69983,4,j1-2,,,
1.69983,5,j1-2,,,
1.8331499999999998,1,j1-2,,,
1.8331499999999998,2,j1-2,,,
1.96647,3,j1-2,,,
2.4997499999999997,4,j2-3,,,
2.4997499999999997,5,j2-3,,,
2.63307,1,j2-3,,,
2.63307,2,j2-3,,,
2.76639,3,j2-3,,,
3.3329999999999997,1,j3-4,,,
3.3329999999999997,2,j3-4,,,
3.3329999999999997,3,j3-4,,,
3.3329999999999997,4,j3-4,,,
3.3329999999999997,5,j3-4,,,
3.6662999999999997,MOT_mc_stage_color_00,b-flash,,
3.73296,1,lp4,,,
3.73296,2,lp4,,,
3.73296,3,lp4,,,
3.73296,4,lp4,,,
3.73296,5,lp4,,,
4.3328999999999995,1,j4-1,,,
4.3328999999999995,2,j4-1,,,
4.6662,MOT_mc_stage_color_00,r-flash,,
4.76619,3,j4-1,,,
4.76619,4,j4-1,,,
4.76619,5,j4-1,,,
5.099489999999999,MOT_mc_stage_color_00,r-flash,,
5.2994699999999995,1,1-2,,,
5.2994699999999995,2,1-2,,,
5.2994699999999995,3,1-2,,,
5.2994699999999995,4,1-2,,,
5.2994699999999995,5,1-2,,,
5.6661,1,lp2,,,
5.6661,2,lp2,,,
5.6661,3,lp2,,,
5.6661,4,lp2,,,
5.6661,5,lp2,,,
6.3327,1,2-3,,,
6.3327,2,2-3,,,
6.3327,3,2-3,,,
6.3327,4,2-3,,,
6.3327,5,2-3,,,
6.89931,1,hj3,,,
6.89931,2,hj3,,,
6.89931,3,hj3,,,
6.89931,4,hj3,,,
6.89931,5,hj3,,,
7.032629999999999,MOT_mc_stage_color_00,b-flash,,
7.59924,1,lp3,,,
7.59924,2,lp3,,,
7.59924,3,lp3,,,
7.59924,4,lp3,,,
7.59924,5,lp3,,,
8.265839999999999,1,3-4,,,
8.265839999999999,2,3-4,,,
8.265839999999999,3,3-4,,,
8.265839999999999,4,3-4,,,
8.265839999999999,5,3-4,,,
8.63247,1,lp4,,,
8.63247,2,lp4,,,
8.63247,3,lp4,,,
8.63247,4,lp4,,,
8.63247,5,lp4,,,
9.19908,1,4-1,,,
9.19908,2,4-1,,,
9.19908,3,4-1,,,
9.19908,4,4-1,,,
9.19908,5,4-1,,,
9.56571,1,lp1,,,
9.56571,2,lp1,,,
9.56571,3,lp1,,,
9.56571,4,lp1,,,
9.56571,5,lp1,,,
10.13232,1,j1-2,,,
10.13232,2,j1-2,,,
10.13232,3,j1-2,,,
10.13232,4,j1-2,,,
10.13232,5,j1-2,,,
10.56561,1,sj2,,,
10.56561,2,sj2,,,
10.56561,3,sj2,,,
10.56561,4,sj2,,,
10.56561,5,sj2,,,
11.06556,5,w2,,,
11.06556,4,w2,,,
11.06556,3,w2,,,
11.06556,2,w2,,,
11.06556,1,w2,,,
11.098889999999999,1,2-3,,,
11.098889999999999,2,2-3,,,
11.098889999999999,3,2-3,,,
11.098889999999999,4,2-3,,,
11.098889999999999,5,2-3,,,
11.49885,1,lp3,,,
11.49885,2,lp3,,,
11.49885,3,lp3,,,
11.49885,4,lp3,,,
11.49885,5,lp3,,,
12.132119999999999,1,3-4,,,
12.132119999999999,2,3-4,,,
12.132119999999999,3,3-4,,,
12.132119999999999,4,3-4,,,
12.132119999999999,5,3-4,,,
12.56541,1,4-1,,,
12.56541,2,4-1,,,
12.56541,3,4-1,,,
12.56541,4,4-1,,,
12.56541,5,4-1,,,
12.96537,1,j1-2,,,
12.96537,2,j1-2,,,
12.96537,3,j1-2,,,
12.96537,4,j1-2,,,
12.96537,5,j1-2,,,
13.39866,1,hj2,,,
13.56531,2,hj2,,,
13.731959999999999,3,hj2,,,
13.89861,4,hj2,,,
14.03193,5,w2,,,
14.065259999999999,5,hj2,,,
14.53188,1,j2-3,,,
14.53188,2,j2-3,,,
14.53188,3,j2-3,,,
14.53188,4,j2-3,,,
14.53188,5,j2-3,,,
14.93184,1,lp3,,,
14.93184,2,lp3,,,
14.93184,3,lp3,,,
14.93184,4,lp3,,,
14.93184,5,lp3,,,
15.065159999999999,2,j3-4,,,
15.29847,MOT_mc_stage_color_00,b-flash,,
15.49845,2,j4-1,,,
15.9984,2,1-2,,,
16.46502,2,2-3,,,
16.96497,2,3-4,,,
17.43159,2,4-1,,,
17.964869999999998,2,1-2,l1,,
18.49815,2,2-3,lb0,,
18.89811,2,3-4,,,
19.3314,2,4-1,,,
19.798019999999998,2,sj1,,,
20.29797,2,sj1,,,
20.797919999999998,2,w1,,,
20.89791,2,sp1-2,,,
21.76449,2,j2-3,,,
22.231109999999997,2,sj3,,,
22.6644,1,j3-4,,,
22.6644,2,j3-4,,,
22.6644,3,j3-4,,,
22.6644,4,j3-4,,,
22.6644,5,j3-4,,,
23.031029999999998,MOT_mc_stage_color_00,y-flash,,
23.06436,1,lp4,,,
23.06436,2,lp4,,,
23.06436,3,lp4,,,
23.06436,4,lp4,,,
23.06436,5,lp4,,,
23.09769,1,4-1,,,
23.39766,1,1-2,,,
23.69763,1,j2-3,,,
24.064259999999997,1,lp3,,,
24.664199999999997,1,j3-4,,,
25.064159999999998,1,sj4,,,
25.49745,1,hj4,,,
26.064059999999998,1,lp4,,,
