0.03333,MOT_mc_bg_black_00,seat100-0,,
2.9997,MOT_mc_bg_black_00,b80-45,,
2.9997,MOT_mc_light_under_00,l1,,
2.9997,1,1-2,,,
2.9997,2,1-2,,,
2.9997,3,1-2,,,
3.83295,1,2-3,,,
3.83295,2,2-3,,,
3.83295,3,2-3,,,
4.6662,1,3-4,,,
4.6662,2,3-4,,,
4.6662,3,3-4,,,
5.5994399999999995,3,w4,,,
5.5994399999999995,2,w4,,,
5.5994399999999995,1,w4,,,
6.03273,MOT_mc_stage_color_00,y-flash,,
6.03273,1,4-1,l1,,
6.03273,2,4-1,l1,,
6.03273,3,4-1,l1,,
6.53268,1,1-2,lb0,,
6.53268,2,1-2,lb0,,
6.53268,3,1-2,lb0,,
6.9659699999999996,1,2-3,,,
6.9659699999999996,2,2-3,,,
6.9659699999999996,3,2-3,,,
7.332599999999999,1,sp3-4,,,
7.332599999999999,2,sp3-4,,,
7.332599999999999,3,sp3-4,,,
8.43249,1,lp4,,,
8.43249,2,lp4,,,
8.43249,3,lp4,,,
8.89911,1,jlp4,,,
8.89911,2,jlp4,,,
8.89911,3,jlp4,,,
8.93244,MOT_mc_stage_color_00,y-flash,,
9.39906,1,4-1,,,
9.39906,2,4-1,,,
9.39906,3,4-1,,,
9.76569,1,1-2,,,
9.76569,2,1-2,,,
9.76569,3,1-2,,,
10.298969999999999,1,sp2-3,,,
10.298969999999999,2,sp2-3,,,
10.298969999999999,3,sp2-3,,,
11.36553,1,lp3,,,
11.36553,2,lp3,,,
11.36553,3,lp3,,,
11.76549,MOT_control_all,zoom01,,
11.932139999999999,MOT_mc_stage_color_00,b-flash,,
11.932139999999999,MOT_mc_bg_black_00,b45-20,,
11.9988,1,,,,D20
11.9988,2,,,,D20
11.9988,3,j3-4,,f1,
12.532079999999999,3,4-1,r1,,
12.96537,3,1-2,rb0,,
13.331999999999999,3,2-3,r1,,
14.19858,3,3-4,rb0,,
14.83185,3,4-1,l1,,
15.565109999999999,3,1-2,lb0,,
16.29837,3,2-3,,,
17.23161,3,w3,,,
17.23161,MOT_control_all,zoom02,,
17.43159,1,sp3-4,,,
17.43159,2,sp3-4,,,
17.43159,3,sp3-4,,,
17.46492,MOT_mc_stage_color_00,b-flash,,
17.86488,MOT_control_all,zoom03,,
17.89821,1,lp4,,,
17.89821,2,lp4,,,
17.89821,3,lp4,,,
17.93154,1,j4-1,,f1,L0
17.93154,3,,,b0,D20
18.46482,1,1-2,l1,,
19.198079999999997,1,2-3,lb0,,
20.13132,1,w3,,,
20.23131,1,3-4,r1,,
20.797919999999998,1,4-1,rb0,,
21.36453,1,1-2,,,
22.29777,1,2-3,,,
22.597739999999998,1,sj3,,,
22.9977,1,3-4,,,
23.26434,MOT_control_all,zoom04,,
23.39766,1,hj4,,,
23.39766,2,hj4,,,
23.39766,3,hj4,,,
23.864279999999997,MOT_control_all,zoom05,,
23.93094,1,lp4,,b0,D20
23.93094,2,4-1,,f1,L0
23.93094,3,lp4,,,
24.830849999999998,2,1-2,l1,,
25.49745,2,2-3,lb0,,
26.16405,2,3-4,r1,,
26.79732,2,4-1,rb0,,
27.463919999999998,2,1-2,,,
28.23051,2,sp2-3,,,
29.26374,MOT_control_all,zoom06,,
29.36373,2,w3,,b0,D20
29.36373,3,,,,L0
29.43039,3,4-1,,,
29.76369,3,1-2,,,
30.096989999999998,3,hj2,,,
30.79692,1,hj4,,,
30.79692,2,hj3,,,
30.79692,3,hj2,,,
31.39686,1,,,,L0
31.39686,3,,,,D20
31.49685,1,j4-1,,,
31.86348,1,1-2,,,
32.03013,3,w2,,,
32.03013,2,w3,,,
32.296769999999995,1,lp2,,,
32.296769999999995,2,hj3,,,
32.296769999999995,3,hj2,,,
33.33,3,hj2,,,
33.52998,2,w3,,,
33.896609999999995,2,hj3,,,
34.39656,1,hj2,,,
34.56321,3,w2,,,
35.129819999999995,2,w3,,,
35.59644,1,2-3,,,
35.59644,2,lp3,,,
35.59644,3,lp2,,,
35.86308,1,hj3,,,
37.02963,2,3-4,,,L0
37.02963,1,lp3,,,
37.36293,2,hj4,,,
37.69623,3,2-3,,,L0
38.06286,3,hj3,,,
38.06286,2,lp4,,,
38.82945,3,hj3,,,
39.26274,2,hj4,,,
39.6627,1,hj3,,,
39.995999999999995,1,3-4,,,
39.995999999999995,2,4-1,,,
39.995999999999995,3,3-4,,,
40.56261,3,hj4,,,
40.56261,2,hj1,,,
40.92924,1,w4,,,
41.09589,1,hj4,,,
41.79582,3,w4,,,
41.79582,2,w1,,,
41.962469999999996,1,lp4,,,
41.962469999999996,2,lp1,,,
41.962469999999996,3,lp4,,,
43.29567,1,sp4-1,,,
43.29567,2,sp1-2,,,
43.29567,3,sp4-1,,,
44.828849999999996,1,1-2,r1,,
44.828849999999996,2,2-3,r1,,
44.828849999999996,3,1-2,r1,,
44.862179999999995,MOT_mc_stage_color_00,r-flash,,
44.862179999999995,MOT_mc_back_00,l2_white,,
44.862179999999995,MOT_mc_bg_black_00,b20-0,,
44.862179999999995,MOT_mc_light_center_00,l2,,
44.862179999999995,MOT_control_all,zoom07,,
45.39546,1,2-3,rb0,,
45.39546,2,3-4,rb0,,
45.39546,3,2-3,rb0,,
46.16205,1,3-4,l1,,
46.16205,2,4-1,l1,,
46.16205,3,3-4,l1,,
46.96197,1,4-1,lb0,,
46.96197,2,1-2,lb0,,
46.96197,3,4-1,lb0,,
47.695229999999995,1,1-2,,,
47.695229999999995,2,2-3,,,
47.695229999999995,3,1-2,,,
48.39516,1,2-3,,,
48.39516,2,3-4,,,
48.39516,3,2-3,,,
49.12842,1,j3-4,,,
49.12842,2,j4-1,,,
49.12842,3,j3-4,,,
49.56171,1,j4-1,,,
49.56171,2,j1-2,,,
49.56171,3,j4-1,,,
49.92834,1,1-2,l1,,
49.92834,2,2-3,l1,,
49.92834,3,1-2,l1,,
50.22831,MOT_mc_light_center_00,l3,,
50.22831,1,2-3,lb0,,
50.22831,2,3-4,lb0,,
50.22831,3,2-3,lb0,,
50.59494,1,3-4,,,
50.59494,2,4-1,,,
50.59494,3,3-4,,,
50.79492,MOT_mc_stage_color_00,y-flash,,
50.928239999999995,1,4-1,r1,,
50.928239999999995,2,1-2,r1,,
50.928239999999995,3,4-1,r1,,
51.394859999999994,1,1-2,r2,,
51.394859999999994,2,2-3,r2,,
51.394859999999994,3,1-2,r2,,
52.02813,1,2-3,rb1,,
52.02813,2,3-4,rb1,,
52.02813,3,2-3,rb1,,
52.82805,1,3-4,rb0,,
52.82805,2,4-1,rb0,,
52.82805,3,3-4,rb0,,
53.59464,1,4-1,,,
53.59464,2,1-2,,,
53.59464,3,4-1,,,
54.161249999999995,1,j1-2,,,
54.161249999999995,2,j2-3,,,
54.161249999999995,3,j1-2,,,
54.86118,1,2-3,,,
54.86118,2,3-4,,,
54.86118,3,2-3,,,
55.29447,1,3-4,,,
55.29447,2,4-1,,,
55.29447,3,3-4,,,
55.727759999999996,1,4-1,,,
55.727759999999996,2,1-2,,,
55.727759999999996,3,4-1,,,
56.194379999999995,1,1-2,,,
56.194379999999995,2,2-3,,,
56.194379999999995,3,1-2,,,
56.69433,1,2-3,l1,,
56.69433,2,3-4,l1,,
56.69433,3,2-3,l1,,
56.89431,MOT_mc_stage_color_00,b-flash,,
57.394259999999996,1,3-4,lb0,,
57.394259999999996,2,4-1,lb0,,
57.394259999999996,3,3-4,lb0,,
58.227509999999995,1,4-1,r1,,
58.227509999999995,2,1-2,r1,,
58.227509999999995,3,4-1,r1,,
58.76079,1,1-2,rb0,,
58.76079,2,2-3,rb0,,
58.76079,3,1-2,rb0,,
59.6607,1,2-3,,,
59.6607,2,3-4,,,
59.6607,3,2-3,,,
60.02733,1,3-4,,,
60.02733,2,4-1,,,
60.02733,3,3-4,,,
60.39396,1,j4-1,,,
60.39396,2,j1-2,,,
60.39396,3,j4-1,,,
60.727259999999994,1,1-2,r1,,
60.727259999999994,2,2-3,r1,,
60.727259999999994,3,1-2,r1,,
61.26054,1,2-3,rb0,,
61.26054,2,3-4,rb0,,
61.26054,3,2-3,rb0,,
61.79382,1,3-4,,,
61.79382,2,4-1,,,
61.79382,3,3-4,,,
62.627069999999996,1,sp4-1,,,
62.627069999999996,2,sp1-2,,,
62.627069999999996,3,sp4-1,,,
62.760389999999994,MOT_mc_stage_color_00,y-flash,,
64.72686,1,sp1-2,,,
64.72686,2,sp2-3,,,
64.72686,3,sp1-2,,,
67.05996,1,lp2,,,
67.05996,2,hj3,,,
67.05996,3,hj2,,,
68.12652,1,hj2,,,
68.29317,3,w2,,,
68.29317,2,w3,,,
68.62647,1,lp2,,,
68.62647,2,lp3,,,
68.62647,3,lp2,,,
68.85978,MOT_control_all,zoom08,,
69.79302,MOT_control_all,zoom09,,
69.79302,1,,,,D20
69.79302,2,3-4,r1,,
69.79302,3,,,,D20
70.05966,2,4-1,rb0,,
70.35963,2,1-2,l1,,
70.62626999999999,2,2-3,lb0,,
71.09289,2,hj3,,,
71.79281999999999,MOT_control_all,zoom10,,
71.89281,1,lp2,,,L0
71.89281,2,lp3,,,
71.89281,3,lp2,,,L0
73.55931,2,hj3,,,
73.55931,3,hj2,,,
74.12592,1,hj2,,,
74.79252,3,w2,,,
74.79252,2,w3,,,
74.82585,1,lp2,,,
74.82585,2,lp3,,,
74.82585,3,lp2,,,
74.89251,MOT_mc_light_center_00,l4,,
77.79222,1,hj2,,,
77.82554999999999,MOT_control_all,zoom11,,
78.45882,1,lp2,,,
79.12541999999999,2,hj3,,,
79.75869,2,lp3,,,
80.59194,3,hj2,,,
81.15854999999999,3,lp2,,,
82.15845,1,hj2,,,
82.79172,1,2-3,,,
82.79172,2,3-4,,,
82.79172,3,2-3,,,
83.69162999999999,1,sp3-4,,,
83.69162999999999,2,sp4-1,,,
83.69162999999999,3,sp3-4,,,
85.35813,1,hj4,,,
85.35813,2,hj1,,,
85.35813,3,hj4,,,
86.22471,1,lp4,,,
86.22471,2,lp1,,,
86.22471,3,lp4,,,
88.52448,1,j4-1,,,
89.09109,2,j1-2,,,
89.09109,3,j4-1,,,
89.59103999999999,1,w1,,,
89.89101,1,lp1,,,
89.89101,2,lp2,,,
89.89101,3,lp1,,,
91.15755,MOT_control_all,zoom12,,
91.15755,1,sp1-2,,,
91.15755,2,sp2-3,,,
91.15755,3,sp1-2,,,
