0.03333,MOT_mc_bg_black_00,seat100-0,,
2.9997,3,sort,-500,
2.9997,4,sort,-500,
2.9997,5,sort,-500,
2.9997,1,sp1-2,,,
2.9997,2,sp1-2,,,
2.9997,3,sp1-2,,,
2.9997,4,sp1-2,,,
2.9997,5,sp1-2,,,
4.59954,1,2-3,,,
4.59954,2,2-3,,,
4.59954,3,2-3,,b-1,
4.59954,4,2-3,,b-1,
4.59954,5,2-3,,b-1,
4.999499999999999,1,j3-4,,,
4.999499999999999,2,j3-4,,,
4.999499999999999,3,3-4,,,
4.999499999999999,4,3-4,,,
4.999499999999999,5,3-4,,,
5.03283,MOT_mc_stage_color_00,y-flash,,
5.83275,1,4-1,,,
5.83275,2,4-1,,,
5.93274,5,w4,,,
5.93274,4,w4,,,
5.93274,3,w4,,,
6.3327,1,,r1,,
6.3327,2,,l1,,
6.3327,3,4-1,,,
6.3327,4,4-1,,,
6.3327,5,4-1,,,
6.7659899999999995,2,w1,,,
6.7659899999999995,1,w1,,,
7.26594,5,w1,,,
7.26594,4,w1,,,
7.26594,3,w1,,,
7.29927,1,1-2,,,
7.29927,2,1-2,,,
7.96587,1,2-3,,,
7.96587,2,2-3,,,
7.96587,3,1-2,,,
7.96587,4,1-2,,,
7.96587,5,1-2,,,
8.73246,1,3-4,,,
8.73246,2,3-4,,,
8.89911,5,w2,,,
8.89911,4,w2,,,
8.89911,3,w2,,,
9.6657,2,w4,,,
9.6657,1,w4,,,
9.83235,1,,rb0,,
9.83235,2,,lb0,,
9.83235,3,2-3,,,
9.83235,4,2-3,,,
9.83235,5,2-3,,,
10.76559,5,w3,,,
10.76559,4,w3,,,
10.76559,3,w3,,,
10.798919999999999,1,hj4,,,
10.798919999999999,2,hj4,,,
10.798919999999999,3,3-4,,,
10.798919999999999,4,3-4,,,
10.798919999999999,5,3-4,,,
11.6655,MOT_mc_stage_color_00,y-flash,,
11.6655,1,,r1,,
11.6655,2,,l1,,
11.6655,4,,l1,,
11.6655,5,,r1,,
11.73216,5,w4,,,
11.73216,4,w4,,,
11.73216,3,w4,,,
12.032129999999999,2,w4,,,
12.032129999999999,1,w4,,,
12.49875,1,4-1,,,
12.49875,2,4-1,,,
12.49875,3,4-1,,,
12.49875,4,4-1,,,
12.49875,5,4-1,,,
13.431989999999999,5,w1,,,
13.431989999999999,4,w1,,,
13.431989999999999,3,w1,,,
13.431989999999999,2,w1,,,
13.431989999999999,1,w1,,,
13.49865,MOT_mc_stage_color_00,b-flash,,
13.49865,1,1-2,,,
13.49865,2,1-2,,,
14.3319,1,,rb0,,
14.3319,2,,lb0,,
14.3319,4,,lb0,,
14.3319,5,,rb0,,
14.43189,2,w2,,,
14.43189,1,w2,,,
15.165149999999999,1,j2-3,,,
15.165149999999999,2,j2-3,,,
15.165149999999999,3,j1-2,,,
15.165149999999999,4,j1-2,,,
15.165149999999999,5,j1-2,,,
16.16505,1,3-4,,,
16.16505,2,3-4,,,
16.16505,3,2-3,,,
16.16505,4,2-3,,,
16.16505,5,2-3,,,
16.9983,MOT_mc_stage_color_00,y-flash,,
16.9983,1,hj4,,,
16.9983,2,hj4,,,
16.9983,3,hj3,,,
16.9983,4,hj3,,,
16.9983,5,hj3,,,
18.164849999999998,1,sp4-1,,,
18.164849999999998,2,sp4-1,,,
18.164849999999998,3,sp3-4,,,
18.164849999999998,4,sp3-4,,,
18.164849999999998,5,sp3-4,,,
18.93144,MOT_mc_stage_color_00,y-flash,,
18.93144,1,j1-2,,,
18.93144,2,j1-2,,,
18.93144,3,j4-1,,,
18.93144,4,j4-1,,,
18.93144,5,j4-1,,,
19.364729999999998,1,2-3,,,
19.364729999999998,2,2-3,,,
19.798019999999998,3,1-2,,,
19.798019999999998,4,1-2,,,
19.798019999999998,5,1-2,,,
20.26464,1,3-4,,,
20.26464,2,3-4,,,
20.26464,3,2-3,,,
20.26464,4,2-3,,,
20.26464,5,2-3,,,
20.997899999999998,1,4-1,,,
20.997899999999998,2,4-1,,,
20.997899999999998,3,3-4,,,
20.997899999999998,4,3-4,,,
20.997899999999998,5,3-4,,,
21.3312,1,1-2,,,
21.3312,2,1-2,,,
21.93114,5,w4,,,
21.93114,4,w4,,,
21.93114,3,w4,,,
