0.03333,MOT_control_all,zoom_1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
2.19978,MOT_all,cutP1,,
2.89971,MOT_control_all,zoom_2,,
3.1330199999999997,MOT_mc_stage_color_00,b-flash,,
3.1330199999999997,MOT_mc_light_up_00,l1,,
3.1330199999999997,MOT_mc_bg_black_00,b80-45,,
3.1330199999999997,MOT_mc_light_under_00,l1,,
3.1330199999999997,MOT_mc_light_center_00,cut2_04,,
3.1330199999999997,2,j1-2,,,
3.19968,3,j1-2,,,
3.26634,1,j1-2,,,
3.59964,1,2-3,,,
3.59964,2,2-3,,,
3.59964,3,2-3,,,
4.36623,MOT_mc_stage_color_00,y-flash,,
4.36623,1,3-4,,,
4.4328899999999996,2,3-4,,,
4.4328899999999996,3,3-4,,,
4.899509999999999,2,j4-1,,,
4.96617,3,j4-1,,,
5.03283,1,j4-1,,,
5.76609,MOT_mc_stage_color_00,r-flash,,
5.76609,1,1-2,,,
5.76609,2,1-2,,,
5.76609,3,1-2,,,
6.19938,1,j2-3,,,
6.19938,2,j2-3,,,
6.19938,3,j2-3,,,
6.8659799999999995,1,3-4,,,
6.8659799999999995,2,3-4,,,
6.8659799999999995,3,3-4,,,
7.232609999999999,2,j4-1,,,
7.232609999999999,3,j4-1,,,
7.432589999999999,1,j4-1,,,
7.49925,MOT_mc_stage_color_00,b-flash,,
7.76589,3,j1-2,,,
7.86588,MOT_control_all,zoom_3,,
7.96587,1,j1-2,,,
8.165849999999999,2,j1-2,,,
8.365829999999999,1,j2-3,,,
8.565809999999999,3,j2-3,,,
9.03243,MOT_mc_stage_color_00,y-flash,,
9.06576,1,j3-4,,,
9.06576,2,j2-3,,,
9.06576,3,j3-4,,,
9.46572,MOT_mc_stage_color_00,r-flash,,
9.6657,1,j4-1,,,
9.6657,2,j3-4,,,
9.6657,3,j4-1,,,
10.6656,2,4-1,l1,,
10.6656,3,1-2,r1,,
10.73226,1,w1,,,
10.83225,1,1-2,,,
11.23221,1,j2-3,,,
11.23221,2,j1-2,,,
11.23221,3,j2-3,,,
11.79882,1,3-4,,,
11.79882,2,2-3,,,
11.79882,3,3-4,,,
12.49875,1,4-1,,,
12.49875,2,3-4,,,
12.49875,3,4-1,,,
12.832049999999999,1,1-2,,,
12.832049999999999,2,4-1,,,
12.832049999999999,3,1-2,,,
13.16535,1,2-3,,,
13.16535,2,1-2,,,
13.16535,3,2-3,,,
13.631969999999999,1,j3-4,,,
13.6653,MOT_mc_stage_color_00,y-flash,,
13.9986,MOT_control_all,zoom_4,,
14.09859,3,w3,,,
14.09859,2,w2,,,
14.19858,3,j3-4,,,
14.39856,1,j4-1,,,
14.59854,2,j2-3,,,
14.765189999999999,1,j1-2,,,
14.965169999999999,MOT_mc_stage_color_00,r-flash,,
15.265139999999999,3,w4,,,
15.3318,2,j3-4,,,
15.53178,1,j2-3,,,
15.73176,3,j4-1,,,
15.89841,2,j4-1,,,
16.19838,MOT_mc_stage_color_00,y-flash,,
16.531679999999998,3,j1-2,,,
16.59834,1,w3,,,
16.731659999999998,1,j3-4,,,
16.931639999999998,2,j1-2,,,
17.09829,3,j2-3,,,
17.331599999999998,MOT_mc_stage_color_00,r-flash,,
17.69823,3,j3-4,,,
17.79822,1,w4,,,
17.89821,1,j4-1,,,
17.9982,2,w2,,,
18.09819,2,j2-3,,,
18.53148,MOT_mc_stage_color_00,b-flash,,
18.53148,MOT_mc_light_center_00,cut2_03,,
18.53148,1,,,,D40
18.53148,2,,,,D40
18.53148,2,3-4,,,
18.53148,3,4-1,,,
18.53148,1,1-2,,,
18.86478,3,j1-2,,,
19.3314,MOT_mc_stage_color_00,y-flash,,
19.3314,MOT_mc_light_up_00,l3,,
19.3314,MOT_mc_light_center_00,cut2_04,,
19.3314,1,,,,L0
19.3314,2,,,,L0
19.3314,2,4-1,,,
19.3314,3,2-3,,,
19.3314,1,j2-3,,,
19.93134,1,3-4,,,
19.93134,3,3-4,,,
19.93134,2,j1-2,,,
20.49795,2,2-3,,,
20.49795,1,4-1,,,
20.49795,3,j4-1,,,
21.06456,1,1-2,,,
21.06456,2,3-4,,,
21.06456,3,1-2,,,
21.631169999999997,1,j2-3,,,
21.631169999999997,2,j4-1,,,
21.631169999999997,3,j2-3,,,
22.29777,2,1-2,l2,,
22.29777,3,3-4,r2,,
22.29777,1,j3-4,,,
22.89771,2,2-3,lb1,,
22.89771,3,4-1,rb1,,
22.89771,1,j4-1,,,
23.630969999999998,1,1-2,,,
23.630969999999998,2,3-4,,,
23.630969999999998,3,1-2,,,
24.064259999999997,1,2-3,,,
24.064259999999997,2,4-1,,,
24.064259999999997,3,2-3,,,
24.664199999999997,2,j1-2,,,
24.664199999999997,3,j3-4,,,
24.96417,1,j3-4,,,
25.59744,2,2-3,l2,,
25.59744,3,4-1,r2,,
25.59744,1,j4-1,,,
26.19738,2,3-4,lb1,,
26.19738,3,1-2,rb1,,
26.19738,1,j1-2,,,
26.76399,2,4-1,,,
26.76399,3,2-3,,,
26.76399,1,2-3,,,
27.3306,2,1-2,,,
27.3306,3,3-4,,,
27.3306,1,3-4,,,
27.697229999999998,2,j2-3,,,
27.697229999999998,3,j4-1,,,
27.863879999999998,1,j4-1,,,
28.56381,3,j1-2,,,
28.76379,2,w3,,,
28.930439999999997,1,w1,,,
29.03043,1,j1-2,,,
29.19708,2,j3-4,,,
29.36373,3,j2-3,,,
29.59704,1,j2-3,,,
29.79702,2,4-1,,,
29.79702,3,3-4,,,
29.997,1,3-4,,,
30.23031,MOT_control_all,zoom_5,,
30.363629999999997,1,j4-1,,,
30.363629999999997,2,j1-2,,,
30.363629999999997,3,j4-1,,,
30.86358,2,2-3,,,
30.86358,3,1-2,,,
31.130219999999998,1,1-2,,,
31.23021,2,3-4,,,
31.23021,3,2-3,,,
31.563509999999997,1,j2-3,,,
31.563509999999997,2,j4-1,,,
31.563509999999997,3,j3-4,,,
31.730159999999998,MOT_mc_stage_color_00,r-flash,,
32.16345,1,3-4,r1,,
32.16345,2,1-2,lb0,,
32.16345,3,4-1,r2,,
32.79672,1,4-1,r2,,
32.79672,2,2-3,r1,,
32.79672,3,1-2,r3,,
33.36333,1,1-2,,,
33.36333,2,3-4,,,
33.36333,3,2-3,,,
33.69663,1,2-3,,,
33.69663,2,4-1,,,
33.69663,3,3-4,,,
34.263239999999996,3,4-1,,,
34.42989,1,3-4,,,
34.62987,2,1-2,,,
34.86318,1,j4-1,,,
34.86318,2,j2-3,,,
34.86318,3,j1-2,,,
35.096489999999996,MOT_mc_stage_color_00,r-flash,,
35.463119999999996,1,1-2,rb1,,
35.463119999999996,2,3-4,rb0,,
35.463119999999996,3,2-3,rb2,,
36.09639,1,2-3,rb0,,
36.09639,2,4-1,l1,,
36.09639,3,3-4,rb1,,
36.663,1,3-4,,,
36.663,2,1-2,,,
36.663,3,4-1,,,
37.29627,2,j2-3,,,
37.29627,3,j1-2,,,
37.42959,MOT_mc_stage_color_00,b-flash,,
37.496249999999996,1,j4-1,,,
38.16285,1,1-2,l1,,
38.16285,2,3-4,l2,,
38.16285,3,2-3,rb0,,
38.796119999999995,1,2-3,l2,,
38.796119999999995,2,4-1,l3,,
38.796119999999995,3,3-4,l1,,
39.596039999999995,1,3-4,,,
39.596039999999995,2,1-2,,,
39.596039999999995,3,4-1,,,
39.995999999999995,1,4-1,,,
39.995999999999995,2,2-3,,,
39.995999999999995,3,1-2,,,
40.56261,2,3-4,,,
40.72926,1,1-2,,,
40.92924,3,2-3,,,
41.162549999999996,1,j2-3,,,
41.162549999999996,2,j4-1,,,
41.162549999999996,3,j3-4,,,
41.39586,MOT_mc_stage_color_00,y-flash,,
41.79582,1,3-4,lb1,,
41.79582,2,1-2,lb2,,
41.79582,3,4-1,lb0,,
42.429089999999995,1,4-1,lb0,,
42.429089999999995,2,2-3,lb1,,
42.429089999999995,3,1-2,r1,,
42.862379999999995,1,1-2,,,
42.862379999999995,2,3-4,,,
42.862379999999995,3,2-3,,,
43.229009999999995,1,2-3,,,
43.229009999999995,2,4-1,,,
43.229009999999995,3,3-4,,,
43.72896,MOT_mc_stage_color_00,r-flash,,
43.72896,2,j1-2,lb0,,
43.72896,3,j4-1,rb0,,
43.92894,1,j3-4,,,
44.56221,MOT_mc_light_up_00,l1,,
44.56221,MOT_mc_light_center_00,cut2_03,,
44.56221,1,,,,D40
44.56221,2,,,,D40
44.56221,1,4-1,,,
44.56221,2,2-3,,,
44.56221,3,1-2,,f1,
44.895509999999994,1,lp1,,,
44.895509999999994,2,lp3,,,
45.228809999999996,3,j2-3,,,
45.3288,MOT_mc_stage_color_00,b-flash,,
45.76209,3,3-4,,,
46.26204,3,j4-1,,,
46.76199,3,j1-2,,,
47.49525,MOT_mc_light_center_00,cut2_02,,
47.49525,2,,,,L0
47.49525,3,,,,D40
47.49525,3,2-3,,b0,
47.49525,2,3-4,,f1,
47.49525,1,1-2,,,
47.82855,1,lp2,,,
47.82855,3,lp3,,,
47.82855,2,4-1,,,
48.39516,2,1-2,,,
48.72846,2,2-3,,,
49.19508,2,3-4,,,
49.52838,2,4-1,,,
49.86168,2,j1-2,,,
50.22831,MOT_mc_stage_color_00,y-flash,,
50.22831,MOT_mc_light_center_00,cut2_01,,
50.22831,1,,,,L0
50.22831,2,,,,D40
50.22831,1,2-3,,f1,
50.561609999999995,2,2-3,,b0,
50.561609999999995,3,3-4,,,
50.561609999999995,1,3-4,,,
50.894909999999996,2,lp3,,,
50.894909999999996,3,lp4,,,
50.894909999999996,1,4-1,,,
51.22821,1,1-2,,,
51.59484,1,j2-3,,,
52.128119999999996,1,j3-4,,,
52.69473,1,4-1,,,
53.16135,1,j1-2,,,
53.727959999999996,MOT_mc_stage_color_00,r-flash,,
53.727959999999996,MOT_mc_light_center_00,cut2_03,,
53.727959999999996,3,,,,L0
53.727959999999996,1,,,,D40
53.727959999999996,1,2-3,,b0,
53.727959999999996,3,4-1,,f1,
53.727959999999996,2,3-4,,,
54.06126,1,lp3,,,
54.06126,2,lp4,,,
54.06126,3,1-2,,,
54.39456,3,2-3,,,
54.76119,3,j3-4,,,
55.26114,3,j4-1,,,
56.06106,1,3-4,,,
56.06106,2,4-1,,,
56.06106,3,1-2,,,
56.594339999999995,1,4-1,,,
56.594339999999995,2,1-2,,,
56.594339999999995,3,2-3,,,
57.12762,3,3-4,l1,,
57.52758,2,w2,,,
57.52758,1,w1,,,
58.06086,3,w4,,,
58.260839999999995,MOT_all,cutP2,,
58.260839999999995,MOT_mc_light_center_00,cut2_02,,
58.260839999999995,2,,,,L0
58.260839999999995,3,,,,D40
58.260839999999995,2,2-3,l1,,
58.76079,MOT_all,cutP3,,
58.76079,MOT_mc_light_center_00,cut2_03,,
58.76079,3,,,,L0
58.76079,2,,,,D40
58.76079,3,4-1,l2,,
59.19408,2,w3,,,
59.69403,MOT_all,cutP4,,
59.69403,3,w1,,,
59.69403,MOT_mc_light_center_00,cut2_02,,
59.69403,2,,,,L0
59.69403,3,,,,D40
59.69403,2,3-4,l2,,
60.327299999999994,MOT_all,cutP5,,
60.327299999999994,MOT_mc_light_center_00,cut2_03,,
60.327299999999994,3,,,,L0
60.327299999999994,2,,,,D40
60.327299999999994,3,1-2,l3,,
60.627269999999996,2,w4,,,
60.660599999999995,3,2-3,,,
60.9939,3,3-4,lb2,,
61.3272,3,4-1,lb1,,
61.6605,3,1-2,lb0,,
61.9938,3,2-3,,,
62.327099999999994,3,j3-4,,,
62.82705,3,,l1,,
63.127019999999995,3,,,,D40
63.39366,3,w4,,,
63.39366,MOT_mc_light_center_00,cut2_01,,
63.39366,1,,,,L0
63.39366,1,1-2,,f1,
63.72696,1,2-3,,,
64.19358,MOT_all,cutP6,,
64.19358,MOT_mc_light_center_00,cut2_02,,
64.19358,2,,,,L0
64.19358,1,,,,D40
64.22691,2,4-1,l3,,
64.6602,1,w3,,,
65.09349,MOT_all,cutP7,,
65.09349,MOT_mc_light_center_00,cut2_01,,
65.09349,1,,,,L0
65.09349,2,,,,D40
65.09349,1,3-4,l1,,
65.16015,2,w1,,,
66.02673,1,w4,,,
66.06006,MOT_all,cutP8,,
66.06006,MOT_mc_light_center_00,cut2_02,,
66.06006,2,,,,L0
66.06006,1,,,,D40
66.06006,2,j1-2,,f1,
66.62666999999999,MOT_mc_stage_color_00,b-flash,,
66.72666,1,4-1,lb0,,
66.72666,2,2-3,lb2,,
67.22661,MOT_mc_stage_color_00,y-flash,,
67.25994,2,3-4,lb1,,
67.6599,1,w1,,,
67.82655,MOT_mc_stage_color_00,r-flash,,
67.89321,2,4-1,lb0,,
68.39316,MOT_mc_stage_color_00,b-flash,,
68.42649,1,1-2,r1,,
68.42649,3,4-1,lb0,,
68.42649,2,j1-2,r1,,
68.92644,2,2-3,rb0,,
68.95976999999999,MOT_mc_stage_color_00,y-flash,,
69.25974,2,3-4,,,
69.35973,3,w1,,,
69.35973,1,w2,,,
69.59304,MOT_mc_stage_color_00,r-flash,,
69.59304,2,4-1,r1,,
70.52628,2,w1,,,
71.42618999999999,MOT_all,cutP9,,
71.42618999999999,MOT_mc_light_center_00,cut2_01,,
71.42618999999999,1,,,,L0
71.42618999999999,2,,,,D40
71.42618999999999,1,2-3,rb0,,
71.42618999999999,2,1-2,rb0,,
72.35943,2,w2,,,
72.35943,1,w3,,,
72.35943,1,,,,D40
72.95936999999999,MOT_mc_stage_color_00,b-flash,,
72.95936999999999,MOT_mc_light_center_00,cut2_04,,
72.95936999999999,MOT_mc_light_up_00,l3,,
72.95936999999999,1,,,,L0
72.95936999999999,2,,,,L0
72.95936999999999,3,,,,L0
72.95936999999999,1,3-4,,,
72.95936999999999,2,2-3,,,
72.95936999999999,3,1-2,,,
73.52597999999999,1,j4-1,,,
73.52597999999999,2,j3-4,,,
73.52597999999999,3,j2-3,,,
