0.03333,MOT_all,Dcut1,,
0.03333,MOT_control_all,Dzoom_1,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,4,,,,D40
0.03333,5,,,,D40
0.03333,MOT_mc_back_00,lt_1,,
0.06666,1,,,,D40
0.06666,2,,,,D40
0.06666,3,,,,D40
0.06666,4,,,,D40
0.06666,5,,,,D40
0.06666,MOT_mc_back_00,lt_1,,
2.83305,1,j1-2,,,
3.09969,MOT_mc_stage_color_00,b-flash,,
3.59964,MOT_control_all,Dzoom_2,,
3.59964,1,,,,L0
3.59964,2,1-2,,,
3.59964,3,1-2,,,
3.59964,1,2-3,,,
4.26624,4,1-2,,,
4.26624,5,1-2,,,
4.26624,1,3-4,,,
4.53288,3,w2,,,
4.53288,2,w2,,,
5.199479999999999,5,w2,,,
5.199479999999999,4,w2,,,
5.199479999999999,1,w4,,,
5.5994399999999995,1,4-1,,,
5.93274,1,1-2,,,
6.19938,2,j2-3,,,
6.19938,3,j2-3,,,
6.43269,4,j2-3,,,
6.43269,5,j2-3,,,
6.43269,1,j2-3,,,
6.69933,2,j3-4,,,
6.69933,3,j3-4,,,
6.932639999999999,MOT_mc_stage_color_00,y-flash,,
6.932639999999999,4,j3-4,,,
6.932639999999999,5,j3-4,,,
7.19928,1,3-4,,,
7.69923,1,j4-1,,,
7.76589,3,w4,,,
7.76589,2,w4,,,
7.76589,MOT_mc_stage_color_00,r-flash,,
7.9992,5,w4,,,
7.9992,4,w4,,,
8.19918,1,1-2,,,
8.19918,2,4-1,,,
8.19918,3,4-1,,,
8.19918,4,4-1,,,
8.19918,5,4-1,,,
9.13242,5,w1,,,
9.13242,4,w1,,,
9.13242,3,w1,,,
9.13242,2,w1,,,
9.13242,1,2-3,,,
9.13242,2,1-2,,,
9.13242,3,1-2,,,
9.36573,4,1-2,,,
9.36573,5,1-2,,,
9.63237,1,j3-4,,,
9.63237,2,j2-3,,,
9.63237,3,j2-3,,,
9.86568,4,j2-3,,,
9.86568,5,j2-3,,,
10.698929999999999,3,w3,,,
10.698929999999999,2,w3,,,
10.698929999999999,1,w4,,,
10.73226,MOT_mc_stage_color_00,r-flash,,
10.73226,4,3-4,l1,,
10.73226,5,3-4,r1,,
10.73226,1,4-1,,,
11.36553,3,3-4,r1,,
11.36553,2,3-4,l1,,
11.36553,1,j1-2,,,
11.6655,5,w4,,,
11.6655,4,w4,,,
12.29877,3,w4,,,
12.29877,2,w4,,,
12.432089999999999,1,w2,,,
12.69873,1,2-3,,,
12.69873,2,4-1,,,
12.69873,3,4-1,,,
12.69873,4,4-1,,,
12.69873,5,4-1,,,
13.032029999999999,1,3-4,,,
13.032029999999999,2,1-2,,,
13.032029999999999,3,1-2,,,
13.032029999999999,4,1-2,,,
13.032029999999999,5,1-2,,,
13.36533,4,j2-3,,,
13.36533,5,j2-3,,,
13.49865,3,j2-3,,,
13.49865,2,j2-3,,,
13.631969999999999,1,j4-1,,,
14.13192,1,1-2,,,
14.13192,2,3-4,,,
14.13192,3,3-4,,,
14.13192,4,3-4,,,
14.13192,5,3-4,,,
14.53188,1,2-3,,,
14.53188,2,4-1,,,
14.53188,3,4-1,,,
14.83185,4,4-1,,,
14.83185,5,4-1,,,
15.03183,1,j3-4,,,
15.03183,2,j1-2,,,
15.03183,3,j1-2,,,
15.165149999999999,4,j1-2,,,
15.165149999999999,5,j1-2,,,
15.19848,MOT_mc_stage_color_00,b-flash,,
15.79842,1,4-1,,,
15.79842,2,2-3,,,
15.79842,3,2-3,,,
15.79842,4,2-3,,,
15.79842,5,2-3,,,
16.731659999999998,5,w3,,,
16.731659999999998,4,w3,,,
16.731659999999998,3,w3,,,
16.731659999999998,2,w3,,,
16.731659999999998,1,w1,,,
16.76499,4,3-4,,,
16.76499,5,3-4,,,
16.76499,1,1-2,,,
17.06496,2,3-4,,,
17.06496,3,3-4,,,
17.69823,5,w4,,,
17.69823,4,w4,,,
17.69823,1,w2,,,
17.69823,MOT_control_all,Dzoom_3,,
17.83155,MOT_mc_stage_color_00,y-flash,,
17.83155,4,4-1,lb0,,
17.83155,5,4-1,rb0,,
17.83155,1,2-3,,,
17.9982,3,w4,,,
17.9982,2,w4,,,
18.564809999999998,2,4-1,lb0,,
18.564809999999998,3,4-1,rb0,,
18.564809999999998,1,3-4,,,
18.764789999999998,5,w1,,,
18.764789999999998,4,w1,,,
18.89811,1,4-1,,,
18.89811,2,1-2,,,
18.89811,3,1-2,,,
18.89811,4,1-2,,,
18.89811,5,1-2,,,
19.23141,1,lp1,,,
19.23141,2,lp2,,,
19.23141,3,lp2,,,
19.23141,4,lp2,,,
19.23141,5,lp2,,,
19.93134,1,1-2,,,
19.93134,2,2-3,,,
19.93134,3,2-3,,,
19.93134,4,2-3,,,
19.93134,5,2-3,,,
20.26464,1,2-3,,,
20.26464,2,3-4,,,
20.26464,3,3-4,,,
20.26464,4,3-4,,,
20.26464,5,3-4,,,
20.56461,4,4-1,l1,,
20.56461,5,4-1,r1,,
20.56461,1,3-4,,,
20.73126,2,4-1,l1,,
20.73126,3,4-1,r1,,
20.73126,1,4-1,,,
21.06456,1,1-2,,,
21.06456,2,1-2,,,
21.06456,3,1-2,,,
21.06456,4,1-2,,,
21.06456,5,1-2,,,
21.49785,MOT_mc_stage_color_00,r-flash,,
21.56451,1,j2-3,,,
21.56451,2,j2-3,,,
21.56451,3,j2-3,,,
21.56451,4,j2-3,,,
21.56451,5,j2-3,,,
22.09779,MOT_mc_stage_color_00,b-flash,,
22.09779,1,j3-4,,,
22.09779,2,j3-4,,,
22.09779,3,j3-4,,,
22.09779,4,j3-4,,,
22.09779,5,j3-4,,,
23.16435,5,w4,,,
23.16435,4,w4,,,
23.16435,3,w4,,,
23.16435,2,w4,,,
23.16435,1,w4,,,
23.49765,1,4-1,,,
23.49765,2,4-1,,,
23.49765,3,4-1,,,
23.49765,4,4-1,,,
23.49765,5,4-1,,,
23.93094,2,j1-2,,,
23.93094,3,j1-2,,,
24.09759,1,j1-2,,,
24.09759,4,j1-2,,,
24.09759,5,j1-2,,,
24.59754,1,2-3,,,
24.59754,2,2-3,,,
24.59754,3,2-3,,,
24.59754,4,2-3,,,
24.59754,5,2-3,,,
24.93084,4,j3-4,,,
24.93084,5,j3-4,,,
25.030829999999998,MOT_mc_stage_color_00,y-flash,,
25.030829999999998,MOT_mc_back_00,lt_2,,
25.13082,2,j3-4,,,
25.13082,3,j3-4,,,
25.39746,1,j3-4,,,
25.9974,5,w4,,,
25.9974,4,w4,,,
26.19738,3,w4,,,
26.19738,2,w4,,,
26.19738,1,4-1,,,
26.19738,2,4-1,,,
26.19738,3,4-1,,,
26.19738,4,4-1,,,
26.19738,5,4-1,,,
26.697329999999997,2,j1-2,,,
26.697329999999997,3,j1-2,,,
26.83065,MOT_mc_stage_color_00,r-flash,,
26.863979999999998,4,j1-2,,,
26.863979999999998,5,j1-2,,,
26.863979999999998,1,j1-2,,,
27.19728,1,2-3,,,
27.19728,2,2-3,,,
27.19728,3,2-3,,,
27.19728,4,2-3,,,
27.19728,5,2-3,,,
27.53058,4,j3-4,,,
27.53058,5,j3-4,,,
27.53058,1,j3-4,,,
27.697229999999998,MOT_mc_stage_color_00,b-flash,,
27.697229999999998,2,j3-4,,,
27.697229999999998,3,j3-4,,,
28.39716,MOT_mc_stage_color_00,y-flash,,
28.39716,4,j4-1,,,
28.39716,5,j4-1,,,
28.39716,1,j4-1,,,
28.56381,2,j4-1,,,
28.56381,3,j4-1,,,
29.06376,1,1-2,,,
29.06376,2,1-2,,,
29.06376,3,1-2,,,
29.06376,4,1-2,,,
29.06376,5,1-2,,,
29.56371,1,2-3,,,
29.56371,2,2-3,,,
29.56371,3,2-3,,,
29.56371,4,2-3,,,
