0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,lt_1,,
1.9998,MOT_mc_stage_color_00,y-flash,,
1.9998,MOT_mc_light_center_00,lt_2,,
1.9998,1,1-2,,,
1.9998,2,1-2,,,
1.9998,3,1-2,,,
1.9998,4,1-2,,,
1.9998,5,1-2,,,
2.3997599999999997,4,j2-3,,,
2.3997599999999997,5,j2-3,,,
2.3997599999999997,1,j2-3,,,
2.7997199999999998,2,j2-3,,,
2.7997199999999998,3,j2-3,,,
3.1330199999999997,1,3-4,,,
3.1330199999999997,2,3-4,,,
3.1330199999999997,3,3-4,,,
3.1330199999999997,4,3-4,,,
3.1330199999999997,5,3-4,,,
3.4663199999999996,2,4-1,,,
3.4663199999999996,3,4-1,,,
3.79962,4,4-1,,,
3.79962,5,4-1,,,
3.79962,1,4-1,,,
4.1329199999999995,1,1-2,,,
4.1329199999999995,2,1-2,,,
4.1329199999999995,3,1-2,,,
4.1329199999999995,4,1-2,,,
4.1329199999999995,5,1-2,,,
4.46622,1,2-3,,,
4.46622,2,2-3,,,
4.46622,3,2-3,,,
4.46622,4,2-3,,,
4.46622,5,2-3,,,
4.83285,2,3-4,,,
4.83285,3,3-4,,,
5.16615,4,3-4,,,
5.16615,5,3-4,,,
5.16615,1,3-4,,,
5.76609,3,w4,,,
5.76609,2,w4,,,
5.79942,1,j4-1,,,
5.79942,2,j4-1,,,
5.79942,3,j4-1,,,
5.79942,4,j4-1,,,
5.79942,5,j4-1,,,
6.59934,1,1-2,,,
6.59934,2,1-2,,,
6.59934,3,1-2,,,
6.59934,4,1-2,,,
6.59934,5,1-2,,,
6.9993,4,j2-3,,,
6.9993,5,j2-3,,,
6.9993,1,j2-3,,,
7.39926,2,j2-3,,,
7.39926,3,j2-3,,,
7.732559999999999,1,3-4,,,
7.732559999999999,2,3-4,,,
7.732559999999999,3,3-4,,,
7.732559999999999,4,3-4,,,
7.732559999999999,5,3-4,,,
8.065859999999999,2,4-1,,,
8.065859999999999,3,4-1,,,
8.39916,4,4-1,,,
8.39916,5,4-1,,,
8.39916,1,4-1,,,
8.73246,1,1-2,,,
8.73246,2,1-2,,,
8.73246,3,1-2,,,
8.73246,4,1-2,,,
8.73246,5,1-2,,,
9.06576,1,2-3,,,
9.06576,2,2-3,,,
9.06576,3,2-3,,,
9.06576,4,2-3,,,
9.06576,5,2-3,,,
9.43239,2,3-4,,,
9.43239,3,3-4,,,
9.76569,4,3-4,,,
9.76569,5,3-4,,,
9.76569,1,3-4,,,
9.998999999999999,2,j4-1,,,
9.998999999999999,3,j4-1,,,
9.998999999999999,4,4-1,,,
9.998999999999999,5,4-1,,,
9.998999999999999,1,4-1,,,
10.56561,2,1-2,,,
10.56561,3,1-2,,,
10.56561,4,1-2,,,
10.56561,5,1-2,,,
10.56561,1,1-2,,,
11.03223,2,j2-3,,,
11.03223,3,j2-3,,,
11.03223,4,2-3,,,
11.03223,5,2-3,,,
11.03223,1,2-3,,,
11.53218,2,3-4,,,
11.53218,3,3-4,,,
11.53218,4,3-4,,,
11.53218,5,3-4,,,
11.53218,1,3-4,,,
12.06546,1,4-1,,,
12.06546,2,4-1,,,
12.06546,3,4-1,,,
12.06546,4,4-1,,,
12.06546,5,4-1,,,
12.46542,4,j1-2,,,
12.46542,5,j1-2,,,
12.46542,1,j1-2,,,
12.86538,2,j1-2,,,
12.86538,3,j1-2,,,
13.19868,1,2-3,,,
13.19868,2,2-3,,,
13.19868,3,2-3,,,
13.19868,4,2-3,,,
13.19868,5,2-3,,,
13.531979999999999,2,3-4,,,
13.531979999999999,3,3-4,,,
13.865279999999998,4,3-4,,,
13.865279999999998,5,3-4,,,
13.865279999999998,1,3-4,,,
14.19858,1,4-1,,,
14.19858,2,4-1,,,
14.19858,3,4-1,,,
14.19858,4,4-1,,,
14.19858,5,4-1,,,
14.53188,1,1-2,,,
14.53188,2,1-2,,,
14.53188,3,1-2,,,
14.53188,4,1-2,,,
14.53188,5,1-2,,,
14.89851,2,2-3,,,
14.89851,3,2-3,,,
15.23181,4,2-3,,,
15.23181,5,2-3,,,
15.23181,1,2-3,,,
15.83175,3,w3,,,
15.83175,2,w3,,,
