0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,stay,,
0.03333,MOT_mc_special_02,stay,,
3.19968,MOT_mc_back_00,light1,,
3.19968,MOT_mc_special_02,light1,,
3.39966,4,1-2,,,
3.39966,5,1-2,,,
3.39966,1,1-2,,,
3.63297,2,1-2,,,
3.63297,3,1-2,,,
4.09959,1,2-3,,,
4.09959,2,2-3,,,
4.09959,3,2-3,,,
4.09959,4,2-3,,,
4.09959,5,2-3,,,
4.4328899999999996,1,3-4,,,
4.4328899999999996,2,3-4,,,
4.4328899999999996,3,3-4,,,
4.4328899999999996,4,3-4,,,
4.4328899999999996,5,3-4,,,
4.76619,1,j4-1,,,
4.76619,2,j4-1,,,
4.76619,3,j4-1,,,
4.76619,4,j4-1,,,
4.76619,5,j4-1,,,
5.36613,1,1-2,,,
5.36613,2,1-2,,,
5.36613,3,1-2,,,
5.36613,4,1-2,,,
5.36613,5,1-2,,,
5.83275,1,2-3,,,
5.83275,2,2-3,,,
5.83275,3,2-3,,,
5.83275,4,2-3,,,
5.83275,5,2-3,,,
6.19938,1,3-4,,,
6.19938,4,3-4,l1,,
6.19938,5,3-4,r1,,
6.43269,2,3-4,l1,,
6.43269,3,3-4,r1,,
6.6659999999999995,1,4-1,,,
6.6659999999999995,4,4-1,l2,,
6.6659999999999995,5,4-1,r2,,
6.89931,2,4-1,l2,,
6.89931,3,4-1,r2,,
7.29927,1,1-2,,,
7.29927,2,1-2,,,
7.29927,3,1-2,,,
7.29927,4,1-2,,,
7.29927,5,1-2,,,
7.632569999999999,1,j2-3,,,
7.632569999999999,4,j2-3,,,
7.632569999999999,5,j2-3,,,
7.76589,3,j2-3,,,
7.76589,2,j2-3,,,
8.465819999999999,1,3-4,,,
8.465819999999999,2,3-4,,,
8.465819999999999,3,3-4,,,
8.465819999999999,4,3-4,,,
8.465819999999999,5,3-4,,,
8.93244,2,4-1,lb1,,
8.93244,3,4-1,rb1,,
9.19908,1,4-1,,,
9.19908,4,4-1,lb1,,
9.19908,5,4-1,rb1,,
9.699029999999999,1,j1-2,,,
9.86568,3,w1,,,
9.86568,2,w1,,,
10.13232,5,w1,,,
10.13232,4,w1,,,
10.36563,1,2-3,,,
10.36563,2,1-2,,,
10.36563,3,1-2,,,
10.36563,4,1-2,,,
10.36563,5,1-2,,,
10.83225,1,3-4,,,
10.83225,2,2-3,,,
10.83225,3,2-3,,,
10.83225,4,2-3,,,
10.83225,5,2-3,,,
11.36553,1,4-1,,,
11.36553,2,3-4,,,
11.36553,3,3-4,,,
11.36553,4,3-4,,,
11.36553,5,3-4,,,
11.89881,1,j1-2,,,
11.89881,2,j4-1,,,
11.89881,3,j4-1,,,
11.89881,4,j4-1,,,
11.89881,5,j4-1,,,
12.76539,MOT_control_all,S_1a_01,,
12.76539,1,2-3,,f1,
12.96537,MOT_all,S_cut1,,
12.96537,5,w1,,,
12.96537,4,w1,,,
12.96537,3,w1,,,
12.96537,2,w1,,,
13.09869,1,3-4,,,
13.431989999999999,1,4-1,,,
13.76529,1,j1-2,,,
14.83185,1,w2,,,
15.23181,1,2-3,,,
15.565109999999999,1,3-4,,,
15.89841,1,j4-1,,,
16.96497,1,w1,,,
17.09829,1,j1-2,,,
17.59824,1,2-3,,,
17.93154,1,j3-4,,,
18.06486,2,j1-2,,,
18.06486,3,j1-2,,,
18.19818,4,j1-2,,,
18.19818,5,j1-2,,,
18.59814,MOT_control_all,S_1a_02,,
18.69813,1,4-1,,,
18.69813,2,2-3,,,
18.69813,3,2-3,,,
18.69813,4,2-3,,,
18.69813,5,2-3,,,
19.03143,1,lp1,,,
19.03143,2,lp3,,,
19.03143,3,lp3,,,
19.03143,4,lp3,,,
19.03143,5,lp3,,,
21.6645,1,j1-2,,,
21.6645,2,j3-4,,,
21.6645,3,j3-4,,,
21.6645,4,j3-4,,,
21.6645,5,j3-4,,,
22.16445,1,2-3,,,
22.16445,2,4-1,,,
