0.03333,MOT_mc_bg_black_00,stay,,
0.03333,1,,,,D20
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,4,,,,D60
0.03333,MOT_all,cut2,,
0.06666,MOT_mc_bg_black_00,seat100-0,,
0.29996999999999996,MOT_mc_light_under_00,l1,,
2.4997499999999997,MOT_mc_light_center_00,l5,,
2.4997499999999997,MOT_mc_light_center_00,l1,,
2.4997499999999997,MOT_mc_stage_color_00,b-flash,,
2.4997499999999997,MOT_mc_speaker_00,temp2,,
2.4997499999999997,1,1-2,,,
2.4997499999999997,2,1-2,,,
2.4997499999999997,3,1-2,,,
2.4997499999999997,4,1-2,,,
2.96637,1,j2-3,,,
2.96637,2,j2-3,,,
2.96637,3,j2-3,,,
2.96637,4,j2-3,,,
3.0330299999999997,MOT_mc_light_center_00,l5,,
3.0330299999999997,MOT_mc_stage_color_00,b-flash,,
3.4329899999999998,MOT_mc_light_center_00,l4,,
3.4329899999999998,MOT_mc_bg_black_00,b80-20-65,,
3.4329899999999998,MOT_mc_stage_color_00,y-flash,,
3.4329899999999998,1,j3-4,,,
3.4329899999999998,2,j3-4,,,
3.4329899999999998,3,j3-4,,,
3.4329899999999998,4,j3-4,,,
3.7662899999999997,1,sp4-1,,,
3.7662899999999997,2,sp4-1,,,
3.7662899999999997,3,sp4-1,,,
3.7662899999999997,4,sp4-1,,,
4.96617,2,1-2,,,
4.96617,3,1-2,,,
4.96617,4,1-2,,,
5.26614,1,1-2,,,
5.56611,1,sj2,,,
5.56611,2,sj2,,,
5.56611,3,sj2,,,
5.56611,4,sj2,,,
5.93274,1,lp2,,,
5.93274,2,lp2,,,
5.93274,3,lp2,,,
5.93274,4,lp2,,,
6.43269,1,j2-3,,,
6.43269,2,j2-3,,,
6.43269,3,j2-3,,,
6.43269,4,j2-3,,,
6.8659799999999995,4,3-4,,,
6.89931,3,3-4,,,
6.932639999999999,1,3-4,,,
6.9659699999999996,2,3-4,,,
7.19928,1,sj4,,,
7.19928,4,sj4,,,
7.46592,2,sj4,,,
7.46592,3,sj4,,,
7.69923,4,w4,,,
7.69923,1,w4,,,
7.8325499999999995,1,sj4,,,
7.8325499999999995,4,sj4,,,
7.96587,3,w4,,,
7.96587,2,w4,,,
8.03253,2,sj4,,,
8.03253,3,sj4,,,
8.3325,4,w4,,,
8.3325,1,w4,,,
8.365829999999999,1,sj4,,,
8.365829999999999,4,sj4,,,
8.53248,3,w4,,,
8.53248,2,w4,,,
8.765789999999999,1,j4-1,,,
8.765789999999999,2,j4-1,,,
8.765789999999999,3,j4-1,,,
8.765789999999999,4,j4-1,,,
9.26574,1,1-2,,,
9.26574,2,1-2,,,
9.26574,3,1-2,,,
9.26574,4,1-2,,,
9.56571,1,2-3,,,
9.56571,2,2-3,,,
9.56571,3,2-3,,,
9.56571,4,2-3,,,
9.899009999999999,1,j3-4,,,
9.899009999999999,2,j3-4,,,
9.899009999999999,3,j3-4,,,
9.899009999999999,4,j3-4,,,
10.26564,1,lp4,,,
10.26564,2,lp4,,,
10.26564,3,lp4,,,
10.26564,4,lp4,,,
10.598939999999999,1,4-1,,,
10.598939999999999,2,4-1,,,
10.598939999999999,3,4-1,,,
10.598939999999999,4,4-1,,,
10.96557,1,j1-2,,,
10.96557,2,j1-2,,,
10.96557,3,j1-2,,,
10.96557,4,j1-2,,,
11.3322,1,lp2,,,
11.3322,2,lp2,,,
11.3322,3,lp2,,,
11.3322,4,lp2,,,
11.46552,4,2-3,,,
11.49885,3,2-3,,,
11.53218,1,2-3,,,
11.56551,2,2-3,,,
11.89881,1,j3-4,,,
11.89881,2,j3-4,,,
11.89881,3,j3-4,,,
11.89881,4,j3-4,,,
12.232109999999999,1,4-1,,,
12.232109999999999,2,4-1,,,
12.232109999999999,3,4-1,,,
12.232109999999999,4,4-1,,,
12.59874,1,lp1,,,
12.59874,2,lp1,,,
12.59874,3,lp1,,,
12.59874,4,lp1,,,
12.732059999999999,1,lp1,,,
12.732059999999999,2,lp1,,,
12.732059999999999,3,lp1,,,
12.732059999999999,4,lp1,,,
12.732059999999999,4,1-2,,,
12.76539,2,1-2,,,
12.79872,1,1-2,,,
12.832049999999999,3,1-2,,,
13.032029999999999,1,sj2,,,
13.032029999999999,2,sj2,,,
13.032029999999999,3,sj2,,,
13.032029999999999,4,sj2,,,
13.331999999999999,1,2-3,,,
13.331999999999999,2,2-3,,,
13.331999999999999,3,2-3,,,
13.331999999999999,4,2-3,,,
13.6653,1,3-4,,,
13.6653,2,3-4,,,
13.6653,3,3-4,,,
13.6653,4,3-4,,,
14.03193,1,sj4,,,
14.03193,2,sj4,,,
14.03193,3,sj4,,,
14.03193,4,sj4,,,
14.065259999999999,MOT_mc_stage_color_00,y-flash,,
14.065259999999999,MOT_mc_light_center_00,l4,,
14.065259999999999,MOT_mc_bg_black_00,b80-20-65,,
14.265239999999999,MOT_mc_stage_color_00,b-flash,,
14.265239999999999,MOT_mc_light_center_00,l3,,
14.365229999999999,1,j4-1,,,
14.365229999999999,2,j4-1,,,
14.365229999999999,3,j4-1,,,
14.365229999999999,4,j4-1,,,
14.465219999999999,MOT_mc_stage_color_00,r-flash,,
14.465219999999999,MOT_mc_light_center_00,l5,,
14.665199999999999,MOT_mc_stage_color_00,b-flash,,
14.665199999999999,MOT_mc_light_center_00,l3,,
14.765189999999999,2,lp1,,,
14.765189999999999,3,lp1,,,
14.765189999999999,4,lp1,,,
14.89851,1,1-2,,f1,
14.89851,1,,,,L0
14.89851,2,,,,L20
14.89851,3,,,,L20
14.89851,4,,,,L20
15.365129999999999,1,2-3,r1,,
15.73176,1,3-4,,,
16.09839,1,4-1,rb0,,
16.46502,1,,l1,,
16.931639999999998,1,1-2,lb0,,
17.49825,1,j2-3,,,
17.86488,1,lp3,,,
18.43149,1,3-4,,,
18.83145,1,j4-1,,,
19.398059999999997,1,1-2,,,
19.93134,MOT_mc_stage_color_00,b-flash,,
19.93134,2,j1-2,,,
19.93134,3,j1-2,,,
19.93134,4,j1-2,,,
19.93134,1,2-3,,,
20.26464,1,j3-4,,,
20.3313,2,lp2,,,
20.3313,3,lp2,,,
20.3313,4,lp2,,,
20.6646,1,4-1,,,
20.997899999999998,1,lp1,,,
21.431189999999997,1,1-2,,,
21.46452,2,j2-3,,,
21.46452,3,j2-3,,,
21.46452,4,j2-3,,,
21.76449,1,lp2,,,
21.86448,2,lp3,,,
21.86448,3,lp3,,,
21.86448,4,lp3,,,
22.46442,1,2-3,,,
22.797719999999998,1,lp3,,,
23.231009999999998,1,j3-4,,,
23.29767,2,j3-4,,,
23.29767,3,j3-4,,,
23.29767,4,j3-4,,,
23.630969999999998,2,lp4,,,
23.630969999999998,3,lp4,,,
23.630969999999998,4,lp4,,,
23.89761,1,j4-1,,,
23.89761,2,j4-1,,,
23.89761,3,j4-1,,,
23.89761,4,j4-1,,,
24.3309,1,lp1,,,
24.3309,2,lp1,,,
24.3309,3,lp1,,,
24.3309,4,lp1,,,
24.69753,2,j1-2,,,
24.79752,1,1-2,,b0,
24.89751,3,j1-2,,,
25.030829999999998,4,j1-2,,,
25.13082,2,j2-3,,,
25.230809999999998,1,j2-3,,,
25.3308,3,j2-3,,,
25.43079,4,j2-3,,,
25.83075,1,lp3,,,
25.83075,2,lp3,,,
25.83075,3,lp3,,,
25.83075,4,lp3,,,
26.56401,4,3-4,,,
26.59734,3,3-4,,,
26.63067,1,3-4,,,
26.663999999999998,2,3-4,,,
26.9973,1,4-1,,,
26.9973,2,4-1,,,
26.9973,3,4-1,,,
26.9973,4,4-1,,,
27.497249999999998,4,1-2,,,
27.53058,2,1-2,,,
27.56391,1,1-2,,,
27.59724,3,1-2,,,
28.097189999999998,1,j2-3,,,
28.097189999999998,2,j2-3,,,
28.097189999999998,3,j2-3,,,
28.097189999999998,4,j2-3,,,
28.46382,1,j3-4,,,
28.46382,2,j3-4,,,
28.46382,3,j3-4,,,
28.46382,4,j3-4,,,
28.79712,1,hj4,,,
28.79712,2,hj4,,,
28.79712,3,hj4,,,
28.79712,4,hj4,,,
29.43039,MOT_mc_stage_color_00,r-flash,,
29.697029999999998,MOT_mc_stage_color_00,b-flash,,
29.697029999999998,1,lp4,,,
29.697029999999998,2,lp4,,,
29.697029999999998,3,lp4,,,
29.697029999999998,4,lp4,,,
29.897009999999998,MOT_mc_stage_color_00,r-flash,,
30.096989999999998,MOT_mc_stage_color_00,y-flash,,
30.130319999999998,1,j4-1,,,
30.63027,1,1-2,,,
31.130219999999998,1,2-3,,,
31.39686,1,j3-4,,,
31.79682,1,4-1,,,
31.9968,3,4-1,,,
31.9968,2,4-1,,,
31.9968,4,4-1,,,
32.13012,1,lp1,,,
32.3301,3,1-2,,,
32.3301,2,1-2,,,
32.3301,4,1-2,,,
32.53008,1,1-2,,,
32.663399999999996,2,lp2,,,
32.663399999999996,3,lp2,,,
32.663399999999996,4,lp2,,,
32.86338,1,lp2,,,
33.23001,1,2-3,,,
33.56331,1,lp3,,,
33.896609999999995,1,j3-4,,,
34.22991,1,lp4,,,
34.56321,1,hj4,,,
35.16315,MOT_mc_stage_color_00,y-flash,,
35.16315,4,2-3,,,
35.16315,3,2-3,,,
35.16315,2,2-3,,,
35.16315,1,4-1,,,
35.529779999999995,2,lp3,,,
35.529779999999995,3,lp3,,,
35.529779999999995,4,lp3,,,
35.529779999999995,1,lp1,,,
35.76309,1,1-2,,,
36.16305,1,sj2,,,
36.56301,1,sj2,,,
36.9963,1,j2-3,,,
37.36293,1,lp3,,,
37.82955,1,3-4,,,
38.329499999999996,1,j4-1,,,
38.69613,1,lp1,,,
39.02943,1,j1-2,,,
39.69603,1,2-3,,,
39.86268,MOT_mc_stage_color_00,b-flash,,
39.962669999999996,1,hj3,,,
40.29597,MOT_mc_stage_color_00,r-flash,,
40.329299999999996,3,hj3,,,
40.329299999999996,2,hj3,,,
40.62927,4,hj3,,,
40.62927,1,hj3,,,
40.762589999999996,MOT_mc_stage_color_00,y-flash,,
40.96257,3,j3-4,,,
40.96257,2,j3-4,,,
41.12922,MOT_mc_stage_color_00,r-flash,,
41.26254,4,j3-4,,,
41.26254,1,j3-4,,,
41.562509999999996,MOT_mc_light_center_00,l5,,
41.562509999999996,MOT_mc_bg_black_00,b20-45-20,,
41.562509999999996,MOT_mc_stage_color_00,y-flash,,
41.629169999999995,1,4-1,r1,,
41.629169999999995,2,4-1,r1,,
41.629169999999995,3,4-1,r1,,
41.629169999999995,4,4-1,r1,,
42.029129999999995,1,lp1,,,
42.029129999999995,2,lp1,,,
42.029129999999995,3,lp1,,,
42.029129999999995,4,lp1,,,
42.26244,1,1-2,rb0,,
42.26244,2,1-2,rb0,,
42.26244,3,1-2,rb0,,
42.26244,4,1-2,rb0,,
42.795719999999996,1,2-3,,,
42.795719999999996,2,2-3,,,
42.795719999999996,3,2-3,,,
42.795719999999996,4,2-3,,,
43.09569,1,lp3,,,
43.09569,2,lp3,,,
43.09569,3,lp3,,,
43.09569,4,lp3,,,
43.46232,1,3-4,l1,,
43.46232,2,3-4,l1,,
43.46232,3,3-4,l1,,
43.46232,4,3-4,l1,,
44.062259999999995,1,4-1,lb0,,
44.062259999999995,2,4-1,lb0,,
44.062259999999995,3,4-1,lb0,,
44.062259999999995,4,4-1,lb0,,
44.395559999999996,1,lp1,,,
44.395559999999996,2,lp1,,,
44.395559999999996,3,lp1,,,
44.395559999999996,4,lp1,,,
45.06216,1,j1-2,,,
45.06216,2,j1-2,,,
45.06216,3,j1-2,,,
45.06216,4,j1-2,,,
45.42879,1,sp2-3,,,
45.42879,2,sp2-3,,,
45.42879,3,sp2-3,,,
45.42879,4,sp2-3,,,
46.39536,1,j3-4,,,
46.39536,2,j3-4,,,
46.39536,3,j3-4,,,
46.39536,4,j3-4,,,
46.861979999999996,1,hj4,,,
46.861979999999996,2,hj4,,,
46.861979999999996,3,hj4,,,
46.861979999999996,4,hj4,,,
47.628569999999996,1,j4-1,,,
47.628569999999996,2,j4-1,,,
47.628569999999996,3,j4-1,,,
47.628569999999996,4,j4-1,,,
48.061859999999996,1,1-2,,,
48.061859999999996,2,1-2,,,
48.061859999999996,3,1-2,,,
48.061859999999996,4,1-2,,,
48.42849,1,lp2,,,
48.42849,2,lp2,,,
48.42849,3,lp2,,,
48.42849,4,lp2,,,
48.895109999999995,1,sj2,,,
48.895109999999995,2,sj2,,,
48.895109999999995,3,sj2,,,
48.895109999999995,4,sj2,,,
49.261739999999996,1,2-3,,,
49.261739999999996,2,2-3,,,
49.261739999999996,3,2-3,,,
49.261739999999996,4,2-3,,,
49.59504,1,lp3,,,
49.59504,2,lp3,,,
49.59504,3,lp3,,,
49.59504,4,lp3,,,
50.094989999999996,1,3-4,,,
50.094989999999996,2,3-4,,,
50.094989999999996,3,3-4,,,
50.094989999999996,4,3-4,,,
50.494949999999996,1,lp4,,,
50.494949999999996,2,lp4,,,
50.494949999999996,3,lp4,,,
50.494949999999996,4,lp4,,,
51.02823,1,j4-1,,,
51.02823,2,j4-1,,,
51.02823,3,j4-1,,,
51.02823,4,j4-1,,,
51.59484,MOT_mc_stage_color_00,b-flash,,
51.59484,MOT_mc_light_center_00,l4,,
51.59484,1,1-2,r1,,
51.59484,2,1-2,r1,,
51.59484,3,1-2,r1,,
51.59484,4,1-2,r1,,
51.9948,1,lp2,,,
51.9948,2,lp2,,,
51.9948,3,lp2,,,
51.9948,4,lp2,,,
52.22811,1,2-3,rb0,,
52.22811,2,2-3,rb0,,
52.22811,3,2-3,rb0,,
52.22811,4,2-3,rb0,,
52.76139,1,3-4,,,
52.76139,2,3-4,,,
52.76139,3,3-4,,,
52.76139,4,3-4,,,
53.06136,1,lp4,,,
53.06136,2,lp4,,,
53.06136,3,lp4,,,
53.06136,4,lp4,,,
53.427989999999994,1,4-1,l1,,
53.427989999999994,2,4-1,l1,,
53.427989999999994,3,4-1,l1,,
53.427989999999994,4,4-1,l1,,
53.727959999999996,1,lp1,,,
53.727959999999996,2,lp1,,,
53.727959999999996,3,lp1,,,
53.727959999999996,4,lp1,,,
54.06126,1,1-2,lb0,,
54.06126,2,1-2,lb0,,
54.06126,3,1-2,lb0,,
54.06126,4,1-2,lb0,,
54.49455,2,2-3,,,
54.49455,3,2-3,,,
54.49455,4,2-3,,,
54.72786,1,2-3,,,
55.06116,1,j3-4,,,
55.06116,2,j3-4,,,
55.06116,3,j3-4,,,
55.06116,4,j3-4,,,
55.49445,1,sj4,,,
55.49445,2,sj4,,,
55.49445,3,sj4,,,
55.49445,4,sj4,,,
55.827749999999995,1,lp4,,,
55.827749999999995,2,lp4,,,
55.827749999999995,3,lp4,,,
55.827749999999995,4,lp4,,,
56.261039999999994,1,j4-1,,,
56.36103,2,j4-1,,,
56.46102,3,j4-1,,,
56.561009999999996,4,j4-1,,,
56.960969999999996,1,j1-2,,,
57.060959999999994,2,j1-2,,,
57.16095,3,j1-2,,,
57.26094,4,j1-2,,,
57.827549999999995,1,,r1,,
57.827549999999995,2,,r1,,
57.827549999999995,3,,r1,,
57.827549999999995,4,,r1,,
58.02753,1,w2,,,
58.12752,2,w2,,,
58.160849999999996,1,2-3,rb0,,
58.160849999999996,2,2-3,rb0,,
58.160849999999996,3,2-3,rb0,,
58.160849999999996,4,2-3,rb0,,
58.89411,1,,l1,,
58.89411,2,,l1,,
58.89411,3,,l1,,
58.89411,4,,l1,,
59.094089999999994,4,w3,,,
59.094089999999994,3,w3,,,
59.094089999999994,2,w3,,,
59.094089999999994,1,w3,,,
59.19408,1,3-4,lb0,,
59.19408,2,3-4,lb0,,
59.19408,3,3-4,lb0,,
59.19408,4,3-4,lb0,,
59.56071,1,sj4,,,
59.69403,2,sj4,,,
59.69403,3,sj4,,,
59.69403,4,sj4,,,
60.06066,1,sj4,,,
60.193979999999996,4,w4,,,
60.193979999999996,3,w4,,,
60.193979999999996,2,w4,,,
60.42729,1,4-1,,,
60.42729,2,4-1,,,
60.42729,3,4-1,,,
60.42729,4,4-1,,,
60.79392,1,1-2,,,
60.79392,2,1-2,,,
60.79392,3,1-2,,,
60.79392,4,1-2,,,
61.19388,1,hj2,,,
61.19388,2,hj2,,,
61.19388,3,hj2,,,
61.19388,4,hj2,,,
61.72716,MOT_mc_stage_color_00,b-flash,,
61.72716,MOT_mc_light_center_00,l4,,
61.72716,MOT_mc_bg_black_00,b45-65,,
61.72716,2,,,,D40
61.72716,3,,,,D40
61.72716,4,,,,D40
62.06046,MOT_mc_bg_black_00,b65-80,,
62.06046,1,,,,D20
62.06046,2,,,,D80
62.06046,3,,,,D80
62.06046,4,,,,D80
62.12712,1,2-3,,b-1,
62.12712,2,2-3,,b-1,
62.12712,3,2-3,,b-1,
62.12712,4,2-3,,b-1,
62.52708,1,sj3,,,
62.52708,2,sj3,,,
62.52708,3,sj3,,,
62.52708,4,sj3,,,
62.86038,1,sj3,,,
62.86038,2,sj3,,,
62.86038,3,sj3,,,
62.86038,4,sj3,,,
63.29367,1,3-4,,,
63.29367,2,3-4,,,
63.29367,3,3-4,,,
63.29367,4,3-4,,,
63.59364,1,lp4,,,
63.59364,2,lp4,,,
63.59364,3,lp4,,,
63.59364,4,lp4,,,
64.39356,2,4-1,,,
64.39356,3,4-1,,,
64.39356,4,4-1,,,
64.69353,1,4-1,,,
65.02683,1,lp1,,,
65.02683,2,lp1,,,
65.02683,3,lp1,,,
65.02683,4,lp1,,,
65.42679,1,j1-2,,,
65.42679,2,j1-2,,,
65.42679,3,j1-2,,,
65.42679,4,j1-2,,,
65.72676,1,j2-3,,,
66.19337999999999,1,j3-4,,,
66.19337999999999,2,j2-3,,,
66.19337999999999,3,j2-3,,,
66.19337999999999,4,j2-3,,,
66.52668,1,lp4,,,
66.52668,2,lp3,,,
66.52668,3,lp3,,,
66.52668,4,lp3,,,
66.85998,1,4-1,,,
66.85998,2,3-4,,,
66.85998,3,3-4,,,
66.85998,4,3-4,,,
67.19328,1,lp1,,,
67.19328,2,lp4,,,
67.19328,3,lp4,,,
67.19328,4,lp4,,,
67.55991,3,j4-1,,,
67.55991,4,j4-1,,,
67.89321,1,j1-2,,,
68.25984,2,j4-1,,,
68.62647,4,w1,,,
68.62647,3,w1,,,
68.62647,1,j2-3,,,
68.95976999999999,1,j3-4,,,
68.95976999999999,2,j1-2,,,
68.95976999999999,3,j1-2,,,
68.95976999999999,4,j1-2,,,
69.45971999999999,1,lp4,,,
69.45971999999999,2,lp2,,,
69.45971999999999,3,lp2,,,
69.45971999999999,4,lp2,,,
70.42629,1,4-1,,,
70.42629,2,2-3,,,
70.42629,3,2-3,,,
70.42629,4,2-3,,,
70.79292,1,lp1,,,
70.79292,2,lp3,,,
70.79292,3,lp3,,,
70.79292,4,lp3,,,
71.35952999999999,2,3-4,,,
71.35952999999999,3,3-4,,,
71.72616,2,4-1,,,
71.72616,3,4-1,,,
72.09279,2,lp1,,,
72.09279,3,lp1,,,
72.62607,1,1-2,,,
72.62607,4,3-4,,,
73.02602999999999,1,2-3,,,
73.02602999999999,4,4-1,,,
73.39265999999999,1,lp3,,,
73.39265999999999,4,lp1,,,
74.52588,1,3-4,,,
74.52588,2,1-2,,,
74.52588,3,1-2,,,
74.52588,4,1-2,,,
74.85918,1,j4-1,,,
74.85918,2,j2-3,,,
74.85918,3,j2-3,,,
74.85918,4,j2-3,,,
75.3258,1,1-2,,,
75.3258,2,3-4,,,
75.3258,3,3-4,,,
75.3258,4,3-4,,,
75.85907999999999,1,j2-3,,,
75.85907999999999,2,j4-1,,,
75.85907999999999,3,j4-1,,,
75.85907999999999,4,j4-1,,,
76.39236,1,lp3,,,
76.39236,2,lp1,,,
76.39236,3,lp1,,,
76.39236,4,lp1,,,
77.15894999999999,1,j3-4,,,
77.15894999999999,2,j1-2,,,
77.15894999999999,3,j1-2,,,
77.15894999999999,4,j1-2,,,
77.72556,1,4-1,,,
77.72556,2,2-3,,,
77.72556,3,2-3,,,
77.72556,4,2-3,,,
78.12552,1,lp1,,,
78.12552,2,lp3,,,
78.12552,3,lp3,,,
78.12552,4,lp3,,,
78.75878999999999,1,hj1,,,
78.75878999999999,2,hj3,,,
78.75878999999999,3,hj3,,,
78.75878999999999,4,hj3,,,
79.49204999999999,4,j3-4,,,
79.52538,2,j3-4,,,
79.55870999999999,1,j1-2,,,
79.59204,3,j3-4,,,
79.89201,MOT_mc_stage_color_00,b-flash,,
79.99199999999999,4,j4-1,,,
80.02533,2,j4-1,,,
80.05866,1,j2-3,,,
80.09199,3,j4-1,,,
80.3253,MOT_mc_stage_color_00,r-flash,,
80.3253,MOT_mc_light_center_00,l4,,
80.59194,1,3-4,,,
80.59194,2,1-2,,,
80.59194,3,1-2,,,
80.59194,4,1-2,,,
81.19188,2,,l1,,
81.19188,3,,l1,,
81.35853,1,,r1,,
81.35853,4,,r1,,
81.52517999999999,4,w2,,,
81.52517999999999,3,w2,,,
81.52517999999999,2,w2,,,
81.52517999999999,1,w4,,,
81.55851,2,,lb0,,
81.55851,3,,lb0,,
81.72516,1,,rb0,,
81.72516,4,,rb0,,
81.85848,MOT_mc_stage_color_00,y-flash,,
81.85848,MOT_mc_light_center_00,l1,,
81.85848,MOT_mc_bg_black_00,b80-65,,
81.85848,1,4-1,,,L0
81.85848,2,,,,L60
81.85848,3,,,,L60
81.85848,4,,,,L60
82.35843,1,1-2,,,
82.69172999999999,1,lp2,,,
83.15835,1,2-3,l1,,
83.49164999999999,1,lp3,,,
84.39156,1,3-4,lb0,,
84.69153,1,lp4,,,
85.12482,1,4-1,,,
85.69143,1,hj1,,,
86.29137,1,1-2,,,
86.29137,2,2-3,,,
86.29137,3,2-3,,,
86.29137,4,2-3,,,
86.82464999999999,1,,,f0,
86.82464999999999,2,,,f0,
86.82464999999999,3,,,f0,
86.82464999999999,4,,,f0,
86.92464,MOT_mc_stage_color_00,y-flash,,
87.22461,4,w3,,,
87.22461,3,w3,,,
87.22461,2,w3,,,
87.22461,1,w2,,,
87.39126,1,2-3,,,
87.39126,2,3-4,,,
87.39126,3,3-4,,,
87.39126,4,3-4,,,
88.02453,1,3-4,,,
88.02453,2,4-1,,,
88.02453,3,4-1,,,
88.02453,4,4-1,,,
88.35782999999999,1,j4-1,,,
88.35782999999999,4,j1-2,,,
88.39116,2,j1-2,,,
88.39116,3,j1-2,,,
88.75779,1,lp1,,,
88.75779,2,lp2,,,
88.75779,3,lp2,,,
88.75779,4,lp2,,,
89.39106,1,1-2,,,
89.39106,2,2-3,,,
89.39106,3,2-3,,,
89.39106,4,2-3,,,
89.72435999999999,1,lp2,,,
89.72435999999999,2,lp3,,,
89.72435999999999,3,lp3,,,
89.72435999999999,4,lp3,,,
90.39095999999999,1,2-3,,,
90.75759,1,sj3,,,
91.25753999999999,1,j3-4,,,
91.62416999999999,1,lp4,,,
92.05745999999999,1,4-1,,,
92.39076,1,lp1,,,
92.82405,1,1-2,,,
93.12402,1,j2-3,,,
93.55731,1,lp3,,,
93.92394,4,sp3-4,,,
93.9906,2,sp3-4,,,
94.05726,1,sp3-4,,,
94.12392,3,sp3-4,,,
94.49055,MOT_mc_stage_color_00,b-flash,,
94.52387999999999,1,j4-1,,,
94.52387999999999,2,j4-1,,,
94.52387999999999,3,j4-1,,,
94.52387999999999,4,j4-1,,,
94.85718,1,1-2,l1,,
94.85718,2,1-2,l1,,
94.85718,3,1-2,l1,,
94.85718,4,1-2,l1,,
95.02382999999999,MOT_mc_stage_color_00,r-flash,,
95.19048,1,lp2,,,
95.19048,2,lp2,,,
95.19048,3,lp2,,,
95.19048,4,lp2,,,
95.45711999999999,MOT_mc_stage_color_00,b-flash,,
