0.03333,MOT_mc_bg_black_00,seat100-0,,
2.73306,MOT_mc_speaker_00,temp4,,
5.13282,MOT_mc_stage_color_00,r-flash,,
5.13282,MOT_mc_speaker_00,temp1,,
5.13282,1,1-2,,f1,
5.13282,1,,,,L0
5.13282,2,,,,D20
5.13282,3,,,,D20
5.13282,4,,,,D20
5.13282,5,,,,D20
5.43279,1,2-3,,,
6.13272,1,3-4,,,
6.79932,1,4-1,,,
7.09929,2,1-2,,,
7.09929,3,1-2,,,
7.332599999999999,4,1-2,,,
7.332599999999999,5,1-2,,,
7.732559999999999,1,1-2,,,
8.03253,3,w2,,,
8.03253,2,w2,,,
8.23251,1,2-3,,,
8.265839999999999,5,w2,,,
8.265839999999999,4,w2,,,
8.73246,1,sj3,,,
9.23241,1,3-4,,,
9.49905,2,2-3,,,
9.49905,3,2-3,,,
9.83235,4,2-3,,,
9.83235,5,2-3,,,
10.03233,1,4-1,,,
10.43229,3,w3,,,
10.43229,2,w3,,,
10.46562,1,hj1,,,
10.46562,2,lp3,,,
10.46562,3,lp3,,,
10.46562,4,lp3,,,
10.46562,5,lp3,,,
11.13222,1,1-2,,,
11.46552,1,2-3,,,
11.9988,1,sj3,,,
11.9988,2,3-4,,,
11.9988,3,3-4,,,
11.9988,4,3-4,,,
11.9988,5,3-4,,,
12.49875,1,w3,,,
12.56541,1,3-4,,,
12.56541,2,4-1,,,
12.56541,3,4-1,,,
12.56541,4,4-1,,,
12.56541,5,4-1,,,
12.9987,1,4-1,,,
13.331999999999999,1,sp1-2,,,
13.39866,MOT_mc_stage_color_00,b-flash,,
13.49865,5,w1,,,
13.49865,4,w1,,,
13.49865,3,w1,,,
13.49865,2,w1,,,
13.59864,2,sp1-2,,,
13.59864,3,sp1-2,,,
13.631969999999999,MOT_mc_stage_color_00,b-flash,,
13.89861,4,sp1-2,,,
13.89861,5,sp1-2,,,
13.931939999999999,MOT_mc_stage_color_00,b-flash,,
14.065259999999999,1,j2-3,,,
14.09859,MOT_mc_stage_color_00,r-flash,,
14.29857,2,j2-3,,,
14.29857,3,j2-3,,,
14.3319,MOT_mc_stage_color_00,r-flash,,
14.63187,4,j2-3,,,
14.63187,5,j2-3,,,
14.665199999999999,MOT_mc_stage_color_00,r-flash,,
14.9985,1,hj3,,,
15.365129999999999,3,w3,,,
15.365129999999999,2,w3,,,
15.69843,5,w3,,,
15.69843,4,w3,,,
15.765089999999999,1,3-4,,,
16.09839,1,4-1,,,
16.09839,2,3-4,,,
16.09839,3,3-4,,,
16.09839,4,3-4,,,
16.09839,5,3-4,,,
16.43169,1,,,b0,
16.43169,1,,,,D20
16.76499,MOT_mc_stage_color_00,r-flash,,
16.76499,1,1-2,,,
16.76499,2,4-1,,,
16.76499,3,4-1,,,
17.03163,5,w4,,,
