0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,b65,,
2.0664599999999997,MOT_mc_stage_color_00,r-flash,,
2.0664599999999997,1,1-2,,,
2.0664599999999997,2,1-2,,,
2.0664599999999997,3,1-2,,,
2.0664599999999997,4,1-2,,,
2.0664599999999997,5,1-2,,,
2.0664599999999997,2,,,,D20
2.0664599999999997,3,,,,D20
2.0664599999999997,4,,,,D20
2.0664599999999997,5,,,,D20
2.46642,1,2-3,,f1,
2.83305,1,3-4,,,
2.9997,5,w2,,,
2.9997,4,w2,,,
2.9997,3,w2,,,
2.9997,2,w2,,,
3.16635,1,j4-1,,,
3.73296,1,1-2,,,
3.9996,2,2-3,,,
3.9996,3,2-3,,,
3.9996,4,2-3,,,
3.9996,5,2-3,,,
4.29957,1,hj2,,,
4.93284,5,w3,,,
4.93284,4,w3,,,
4.93284,3,w3,,,
4.93284,2,w3,,,
5.099489999999999,1,,l1,,
5.53278,1,2-3,lb0,,
5.89941,1,3-4,,,
5.89941,2,3-4,,,
5.89941,3,3-4,,,
5.89941,4,3-4,,,
5.89941,5,3-4,,,
6.49935,MOT_mc_stage_color_00,r-flash,,
6.69933,1,4-1,,,
6.83265,5,w4,,,
6.83265,4,w4,,,
6.83265,3,w4,,,
6.83265,2,w4,,,
7.032629999999999,1,j1-2,,,
7.032629999999999,2,4-1,,,
7.032629999999999,3,4-1,,,
7.032629999999999,4,4-1,,,
7.032629999999999,5,4-1,,,
7.6659,1,2-3,,,
7.6659,2,1-2,,,
7.6659,3,1-2,,,
7.96587,5,w1,,,
7.96587,4,1-2,,,
7.96587,5,1-2,,,
8.265839999999999,1,3-4,,,
8.59914,3,w2,,,
8.59914,2,w2,,,
8.665799999999999,1,4-1,,,
8.89911,5,w2,,,
8.89911,4,w2,,,
8.96577,1,1-2,,,
8.96577,4,2-3,,,
8.96577,5,2-3,,,
9.23241,2,2-3,,,
9.23241,3,2-3,,,
9.43239,1,,r1,,
9.799019999999999,1,2-3,,,
9.899009999999999,5,w3,,,
9.899009999999999,4,w3,,,
10.16565,3,w3,,,
10.16565,2,w3,,,
10.16565,1,3-4,rb0,,
10.498949999999999,1,hj4,,,
10.498949999999999,2,3-4,,,
10.498949999999999,3,3-4,,,
10.498949999999999,4,3-4,,,
10.498949999999999,5,3-4,,,
10.898909999999999,MOT_mc_stage_color_00,r-flash,,
11.43219,5,w4,,,
11.43219,4,w4,,,
11.43219,3,w4,,,
11.43219,2,w4,,,
11.49885,1,4-1,,,
11.832149999999999,1,1-2,,,
11.832149999999999,2,4-1,,,
11.832149999999999,3,4-1,,,
11.832149999999999,4,4-1,,,
11.832149999999999,5,4-1,,,
12.29877,1,hj2,,,
12.76539,5,w1,,,
12.76539,4,w1,,,
12.76539,3,w1,,,
12.76539,2,w1,,,
12.79872,1,2-3,,,
13.132019999999999,1,3-4,,,
13.132019999999999,2,1-2,,,
13.132019999999999,3,1-2,,,
13.132019999999999,4,1-2,,,
13.132019999999999,5,1-2,,,
14.065259999999999,5,w2,,,
